gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
MYO15B,cg22287064,0.376461,TSS200,cg25032094,0.216682,TSS1500
N4BP2L1,cg01373189,0.399647,TSS1500,cg01373189,0.234124,TSS1500
NAT8L,cg19300568,0.417049,TSS1500,cg19300568,0.265662,TSS1500
NCRNA00092,cg19113375,0.421498,TSS1500,cg19113375,0.215426,TSS1500
NDRG2,cg20902783,0.382203,TSS1500,cg20902783,0.26888,TSS1500
NEU1,cg22753340,0.368031,TSS1500,cg00397479,0.297361,TSS1500
NFATC3,cg00402172,0.401666,TSS1500,cg05226168,0.341607,TSS1500
NIPAL4,cg23483765,0.401623,TSS200,cg25090510,0.216127,TSS200
NKX2-6,cg03694713,0.388187,TSS1500,cg10603004,0.300297,TSS1500
NUAK1,cg18525352,0.405271,TSS200,cg23555120,0.261935,TSS200
PACSIN3,cg08300419,0.378946,TSS1500,cg24779587,0.293409,TSS1500
PAQR9,cg00970325,0.409072,TSS1500,cg00970325,0.246819,TSS1500
PDE4B,cg22488256,0.412705,TSS200,cg16294013,0.247551,TSS200
PDGFRB,cg12727795,0.398444,TSS1500,cg25110734,0.28223,TSS1500
PDPN,cg18877506,0.374348,TSS1500,cg18877506,0.228002,TSS1500
PFKP,cg07198194,0.492088,TSS1500,cg06188744,0.23049,TSS1500
PLEKHA6,cg04705659,0.368472,TSS200,cg24864241,0.282033,TSS200
PLTP,cg24182521,0.370575,TSS1500,cg24182521,0.230744,TSS1500
PON3,cg23230584,0.45761,TSS200,cg15500865,0.246528,TSS1500
PPT2,cg14130039,0.494888,TSS200,cg14130039,0.269611,TSS200
PROM1,cg04203238,0.463698,TSS200,cg26260038,0.301578,TSS200
PYCARD,cg12100791,0.404665,TSS200,cg01059100,0.268153,TSS1500
RARRES1,cg18349298,0.388754,TSS1500,cg08697665,0.231269,TSS1500
RBP1,cg15229124,0.375481,TSS1500,cg15229124,0.348018,TSS1500
REC8,cg16425038,0.375855,TSS200,cg03431846,0.284074,TSS200
RNF152,cg07980518,0.474605,TSS200,cg07980518,0.358753,TSS200
SEMA5A,cg03702236,0.422518,TSS1500,cg03702236,0.293348,TSS1500
SGIP1,cg00920348,0.432432,TSS1500,cg17162576,0.316395,TSS1500
SIX2,cg02711647,0.476962,TSS1500,cg20318845,0.220036,TSS1500
SLC13A3,cg06263461,0.464005,TSS200,cg06263461,0.284514,TSS200
SLC17A8,cg06563300,0.444188,TSS200,cg06563300,0.257524,TSS200
SLC25A39,cg09691340,0.533619,TSS1500,cg09691340,0.252956,TSS1500
SLC2A2,cg24302235,0.484132,TSS1500,cg14777768,0.35246,TSS1500
SLC4A11,cg10748765,0.385706,TSS1500,cg10748765,0.232361,TSS1500
SLC6A3,cg16703956,0.480517,TSS1500,cg14502484,0.329108,TSS1500
SLCO4C1,cg19788741,0.443478,TSS200,cg04621020,0.236372,TSS200
SLFN11,cg18108623,0.43629,TSS1500,cg18108623,0.235173,TSS1500
SNORD123,cg18334392,0.44272,TSS1500,cg18334392,0.251974,TSS1500
SOSTDC1,cg06363129,0.526654,TSS200,cg11417025,0.298562,TSS200
SPRR2C,cg07804289,-0.37288,TSS1500,cg07804289,-0.217511,TSS1500
SPRY4,cg14619259,0.45166,TSS1500,cg24393055,0.263994,TSS1500
TAC1,cg17437939,0.499635,TSS200,cg11873482,0.336832,TSS200
TCEA2,cg12176783,0.427871,TSS200,cg12176783,0.2132,TSS200
TET2,cg08924430,0.436395,TSS1500,cg08924430,0.294079,TSS1500
TUBA4B,cg08640923,0.445316,TSS200,cg08378442,0.313386,TSS1500
TXNRD1,cg17395064,0.438005,TSS200,cg17395064,0.277445,TSS200
UFSP1,cg15575433,0.405119,TSS1500,cg15575433,0.227668,TSS1500
VIPR2,cg08614290,0.364331,TSS1500,cg08614290,0.254076,TSS1500
WDR86,cg16482474,0.418772,TSS1500,cg19831077,0.276677,TSS1500
WIPF1,cg13999188,0.401969,TSS1500,cg13651986,0.255788,TSS1500
ZNF577,cg16731240,0.564187,TSS200,cg23010048,0.293426,TSS200
