ID,gene,t,P.Value,F1,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,logFC,AveExpr
cg09523275,NKAPL,25.79727499,2.82E-110,0.971128609,6,28227093,F,II,TSS200,island,TSS200-island,chr6:28226979-28227483,,,high-CpG:28335047-28335084,,,0.422250522,0.603445417
cg16634404,COL11A2,25.59563004,5.62E-109,0.96,6,33161438,F,II,TSS1500,shore,TSS1500-shore,chr6:33159991-33160263,TRUE,,,rs2975108,,0.346509536,0.719787635
cg06429887,FITM1,25.39257506,1.14E-107,0.849164554,14,24600500,F,II,TSS200,shore,TSS200-shore,chr14:24601498-24601700,,,,rs7152133,,0.172265853,0.86767627
cg15618978,TRIM59,25.31713089,3.48E-107,0.94095941,3,160167990,F,I,TSS1500,island,TSS1500-island,chr3:160167184-160168200,,,,,,0.340924986,0.554395549
cg02311725,HCK,25.28812655,5.35E-107,0.856967766,20,30639816,F,II,TSS1500,shore,TSS1500-shore,chr20:30639908-30640786,,,,,,0.306187097,0.631414242
cg12537162,ITGB3,24.98445546,4.77E-105,0.936865713,17,45330878,F,II,TSS1500,shore,TSS1500-shore,chr17:45330928-45331766,,,,,,0.239016508,0.790915807
cg12651761,LLGL1,24.94753928,8.22E-105,0.956764296,17,18128022,F,II,TSS1500,shore,TSS1500-shore,chr17:18128577-18128821,,,,,,0.210906853,0.859862746
cg15154229,CPA1,24.87933924,2.25E-104,0.909090909,7,130020011,R,II,TSS1500,shore,TSS1500-shore,chr7:130021511-130021726,,TRUE,,,,0.264855298,0.842509597
cg19403534,PRLHR,24.73239172,1.97E-103,0.903546982,10,120355419,R,II,TSS1500,island,TSS1500-island,chr10:120353692-120355821,TRUE,TRUE,,,,0.387257291,0.66136981
cg24136205,ZIC5,24.65671323,6.00E-103,0.808620525,13,100624293,R,I,TSS200,island,TSS200-island,chr13:100620241-100624348,,,,,,0.254691249,0.480207305
cg04374393,SOX14,24.62137017,1.01E-102,0.916897507,3,137483503,R,II,TSS200,island,TSS200-island,chr3:137482964-137484454,,,,,,0.297737418,0.584692068
cg10661615,PRLHR,24.61897732,1.05E-102,0.890567544,10,120355262,F,II,TSS200,island,TSS200-island,chr10:120353692-120355821,TRUE,TRUE,,rs35347546,,0.379543824,0.554569297
cg25262528,NT5E,24.47548046,8.65E-102,0.833978828,6,86158972,R,II,TSS1500,shore,TSS1500-shore,chr6:86159425-86160395,,,,,,0.415577014,0.655407043
cg01298514,VEGFA,24.47398002,8.84E-102,0.967935475,6,43736807,R,II,TSS1500,shore,TSS1500-shore,chr6:43737632-43739852,,,,,,0.296558353,0.818843569
cg24848035,RGS22,24.46219027,1.05E-101,0.942761894,8,101118525,F,I,TSS200,island,TSS200-island,chr8:101117922-101118693,,TRUE,,rs2980532,,0.397815207,0.589097408
cg20008734,IFITM3,24.27785346,1.58E-100,0.946938776,11,321324,F,II,TSS1500,shelf,TSS1500-shelf,chr11:318361-319052,,,,rs11828350,,0.266697106,0.754773091
cg16516490,CTSK,24.23157584,3.12E-100,0.801969657,1,150781194,F,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.111233914,0.90919147
cg20624923,PRLHR,24.19342649,5.46E-100,0.905495006,10,120355427,R,II,TSS1500,island,TSS1500-island,chr10:120353692-120355821,TRUE,TRUE,,,,0.410340856,0.622809685
cg10411510,AHR,24.13519347,1.28E-99,0.837209302,7,17337427,R,II,TSS1500,shore,TSS1500-shore,chr7:17338252-17339101,,,,,rs11976648,0.156585335,0.914232737
cg10266490,ACOT11,24.12142253,1.57E-99,0.928667564,1,55013709,R,II,TSS200,opensea,TSS200-opensea,,,,,,,0.397852777,0.609750969
cg15842276,MTNR1B,24.01806183,7.15E-99,0.949349404,11,92702648,R,II,TSS200,shore,TSS200-shore,chr11:92702789-92703434,,TRUE,,,,0.328928851,0.597826486
cg05963740,INPP1,23.8416967,9.46E-98,0.863193452,2,191207609,R,II,TSS1500,shore,TSS1500-shore,chr2:191208306-191209000,,,,,,0.172350279,0.861209028
cg26904702,SLC27A3,23.81486683,1.40E-97,0.91053585,1,153746899,R,II,TSS1500,shore,TSS1500-shore,chr1:153747655-153748698,,,,,,0.294129977,0.745355728
cg01722932,MTNR1B,23.80594634,1.60E-97,0.944073884,11,92702653,R,I,TSS200,shore,TSS200-shore,chr11:92702789-92703434,,TRUE,,,,0.188049693,0.570054428
cg07105285,MTNR1B,23.77313085,2.58E-97,0.963888889,11,92702663,R,I,TSS200,shore,TSS200-shore,chr11:92702789-92703434,,TRUE,,,,0.289669854,0.453670843
cg18694169,NKAPL,23.6673074,1.21E-96,0.984334204,6,28227079,R,I,TSS200,island,TSS200-island,chr6:28226979-28227483,,,high-CpG:28335047-28335084,,,0.358086029,0.445415284
cg00529958,ZIC5,23.61883191,2.46E-96,0.887840764,13,100624288,R,I,TSS200,island,TSS200-island,chr13:100620241-100624348,,,,,,0.288774105,0.487289388
cg19399165,EMILIN1,23.53647951,8.18E-96,0.977242303,2,27301252,F,I,TSS200,opensea,TSS200-opensea,,TRUE,TRUE,,rs34903248,,0.264534464,0.672168965
cg01031101,NKAPL,23.51687262,1.09E-95,0.972691808,6,28227091,F,I,TSS200,island,TSS200-island,chr6:28226979-28227483,,,high-CpG:28335047-28335084,,,0.388582129,0.527830155
cg00548268,NPTX2,23.45384777,2.73E-95,0.941208389,7,98245830,R,II,TSS1500,island,TSS1500-island,chr7:98245805-98247759,,,,,,0.352464975,0.607931605
cg05803237,MTNR1B,23.40878247,5.26E-95,0.932186828,11,92702628,R,II,TSS200,shore,TSS200-shore,chr11:92702789-92703434,,TRUE,,,,0.319092414,0.629760209
cg14900246,MERTK,23.31908875,1.94E-94,0.893543675,2,112655153,R,I,TSS1500,shore,TSS1500-shore,chr2:112655491-112655727,,,,,,0.29208919,0.710597838
cg23208513,RGS22,23.26834216,4.07E-94,0.951175007,8,101118377,R,I,TSS200,island,TSS200-island,chr8:101117922-101118693,,TRUE,high-CpG:101187366-101187681,,,0.361512824,0.478871892
cg14410016,HOXD9,23.20089015,1.08E-93,0.859398336,2,176986659,F,I,TSS1500,island,TSS1500-island,chr2:176986424-176988291,,TRUE,,,,0.28259701,0.632748501
cg03576469,CCDC8,23.12564742,3.24E-93,0.94880505,19,46917061,F,II,TSS200,shore,TSS200-shore,chr19:46915311-46915802,TRUE,,,,,0.492202121,0.604431171
cg20785796,SATB2,22.95768976,3.71E-92,0.933701657,2,200326721,R,I,TSS1500,island,TSS1500-island,chr2:200320502-200329681,,,,,,0.319557697,0.684591199
cg18247055,SPAG6,22.92850943,5.66E-92,0.817129262,10,22634226,R,I,TSS200,island,TSS200-island,chr10:22634000-22634862,,,,,,0.300784293,0.532591859
cg13880167,PLAT,22.92121872,6.29E-92,0.945770805,8,42065645,R,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.214241259,0.847350127
cg00172849,COL11A1,22.89777564,8.83E-92,0.862110168,1,103574532,F,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.336462862,0.669664403
cg10829629,MMRN2,22.88730492,1.03E-91,0.884513223,10,88717494,F,II,TSS200,opensea,TSS200-opensea,,,TRUE,,,rs73353632,0.220638754,0.780515241
cg04791129,IGFBP6,22.84194467,1.98E-91,0.900784656,12,53490632,R,II,TSS1500,shore,TSS1500-shore,chr12:53491572-53491955,TRUE,,,,,0.256504905,0.655574298
cg08695558,MIRLET7A3,22.83387875,2.23E-91,0.904347826,22,46507614,R,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.226297254,0.786366591
cg02531437,PRLHR,22.80731656,3.27E-91,0.962466488,10,120355260,F,I,TSS200,island,TSS200-island,chr10:120353692-120355821,TRUE,TRUE,,rs35347546,,0.310991086,0.45243022
cg16310003,HPD,22.78422888,4.57E-91,0.905237052,12,122297080,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.280216195,0.760233756
cg12377139,SPAG6,22.60084659,6.48E-90,0.931818182,10,22634218,R,I,TSS200,island,TSS200-island,chr10:22634000-22634862,,,,,,0.349293944,0.570359531
cg14838970,PPFIBP2,22.56856963,1.03E-89,0.924238848,11,7533817,F,II,TSS1500,shore,TSS1500-shore,chr11:7534554-7535727,,,,rs75193499,,0.269174325,0.742127069
cg11618529,ZNF132,22.5094086,2.43E-89,0.815077714,19,58952108,R,II,TSS1500,island,TSS1500-island,chr19:58951214-58952250,TRUE,,,,,0.318523519,0.560615413
cg06615154,S100A3,22.50474507,2.59E-89,0.937252754,1,153522553,F,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.242810389,0.805879629
cg06825512,APCDD1,22.46831995,4.39E-89,0.967806617,18,10453969,F,II,TSS1500,shore,TSS1500-shore,chr18:10454082-10454296,TRUE,,,,,0.343501075,0.752602928
cg20051292,RGS22,22.46435981,4.64E-89,0.858873188,8,101118512,F,II,TSS200,island,TSS200-island,chr8:101117922-101118693,,TRUE,,rs2980532,,0.39934477,0.576188516
cg13102889,HES5,22.43586398,7.00E-89,0.907728079,1,2463136,F,II,TSS1500,shore,TSS1500-shore,chr1:2460760-2462010,,,,,,0.216068286,0.784080695
cg05355225,CA3,22.39095642,1.34E-88,0.916652106,8,86350568,F,I,TSS1500,shore,TSS1500-shore,chr8:86350765-86351196,,TRUE,,,,0.414807989,0.592428459
cg22921760,SALL2,22.31558281,3.96E-88,0.935528121,14,22005368,R,II,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.28438022,0.663272527
cg26935168,RPL22,22.22500069,1.46E-87,0.947082768,1,6260346,R,II,TSS1500,shore,TSS1500-shore,chr1:6259178-6259883,,,,,,0.31827678,0.614262315
cg08274637,DLEU7,22.17475498,3.00E-87,0.903597122,13,51417923,F,I,TSS200,island,TSS200-island,chr13:51417371-51418149,,,,,,0.301380755,0.710388213
cg22517388,CARTPT,22.16660843,3.37E-87,0.901849218,5,71014918,R,II,TSS200,island,TSS200-island,chr5:71014917-71015715,,,,,,0.256734015,0.681888622
cg05617469,ZIC5,22.11763765,6.81E-87,0.809385064,13,100624281,R,II,TSS200,island,TSS200-island,chr13:100620241-100624348,,,,,,0.301892613,0.578371994
cg03241461,SVIL,22.09652603,9.22E-87,0.881896396,10,29924258,R,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.205294317,0.824942076
cg10253847,NKAPL,22.05186549,1.75E-86,0.967658473,6,28227085,R,I,TSS200,island,TSS200-island,chr6:28226979-28227483,,,high-CpG:28335047-28335084,,,0.384325842,0.420120632
cg23016129,SPAG6,22.0451458,1.93E-86,0.860943168,10,22634224,R,I,TSS200,island,TSS200-island,chr10:22634000-22634862,,,,,,0.27002967,0.46216579
cg18693673,ZSCAN18,22.00394147,3.48E-86,0.925660744,19,58629975,R,II,TSS200,island,TSS200-island,chr19:58629309-58630241,,,,,,0.420193272,0.539359328
cg12264626,CA3,21.98565527,4.52E-86,0.816212793,8,86350381,R,II,TSS1500,shore,TSS1500-shore,chr8:86350765-86351196,,TRUE,,,,0.383320143,0.671825377
cg00690082,STAT5A,21.95228505,7.29E-86,0.898573873,17,40438511,R,II,TSS1500,shore,TSS1500-shore,chr17:40440188-40441014,,,,,,0.307921287,0.626631527
cg21040575,MIR497,21.92673175,1.05E-85,0.898952895,17,6921465,R,I,TSS200,shelf,TSS200-shelf,chr17:6925400-6927527,,,,,,0.272847136,0.639430527
cg19264571,APCDD1,21.92631197,1.06E-85,0.960768615,18,10454085,F,II,TSS1500,island,TSS1500-island,chr18:10454082-10454296,TRUE,,,,,0.272760977,0.791955973
cg13408152,FSTL1,21.86324537,2.61E-85,0.896929441,3,120170474,R,II,TSS1500,island,TSS1500-island,chr3:120169202-120170519,TRUE,,,,,0.307379423,0.624787596
cg10119075,ITIH5,21.84302595,3.48E-85,0.961281709,10,7709738,F,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.492633055,0.593547188
cg02520020,SERPING1,21.83375272,3.97E-85,0.933593522,11,57364890,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.317736474,0.756162143
cg00091633,FSTL1,21.78557164,7.91E-85,0.928301233,3,120170383,R,I,TSS1500,island,TSS1500-island,chr3:120169202-120170519,TRUE,,,,,0.25234901,0.710900498
cg03520644,COL11A1,21.74066466,1.50E-84,0.945355191,1,103574523,F,I,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.361942841,0.558151717
cg07448060,MAGI2,21.67032992,4.10E-84,0.953020134,7,79083753,F,I,TSS1500,island,TSS1500-island,chr7:79082948-79083850,TRUE,,,,,0.354467898,0.450097594
cg11346237,CPA1,21.61861381,8.57E-84,0.911491584,7,130019736,F,II,TSS1500,shore,TSS1500-shore,chr7:130021511-130021726,,TRUE,,,,0.212576518,0.78543899
cg14449575,HAPLN4,21.60242585,1.08E-83,0.925705269,19,19373743,F,II,TSS200,shore,TSS200-shore,chr19:19371675-19372393,,,,,,0.261459006,0.612474134
cg06195280,XAF1,21.54392823,2.48E-83,0.882496343,17,6658706,F,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.266058312,0.740077397
cg03462322,MPG,21.51960723,3.51E-83,0.85948647,16,126397,F,II,TSS1500,shore,TSS1500-shore,chr16:127448-128631,,TRUE,,,,0.294020644,0.731602954
cg12610471,SPAG6,21.49295784,5.13E-83,0.84522314,10,22634199,R,I,TSS200,island,TSS200-island,chr10:22634000-22634862,,,,,,0.330179024,0.554690578
cg23236370,ADAMTS12,21.42761092,1.30E-82,0.933929549,5,33892705,F,II,TSS1500,shore,TSS1500-shore,chr5:33892191-33892403,TRUE,,,,,0.329072349,0.786871682
cg13364410,HAPLN4,21.3779421,2.63E-82,0.875891583,19,19373755,F,II,TSS200,shore,TSS200-shore,chr19:19371675-19372393,,,,,,0.3271641,0.57416446
cg07445246,TCL1A,21.35945314,3.42E-82,0.93896659,14,96180653,R,I,TSS200,island,TSS200-island,chr14:96180256-96180848,,,,,,0.365089823,0.564365944
cg21275283,MYO15A,21.30340582,7.59E-82,0.885708335,17,18011513,R,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.253500796,0.77331027
cg00962755,PHLDA3,21.29168431,8.96E-82,0.889217134,1,201439001,F,I,TSS1500,shore,TSS1500-shore,chr1:201437519-201438648,,,,,,0.254612101,0.798224861
cg01287975,TAC1,21.23846791,1.91E-81,0.824353515,7,97361241,R,II,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.419814684,0.623647563
cg08139855,CSF1,21.19034274,3.77E-81,0.886151595,1,110452372,F,II,TSS1500,shore,TSS1500-shore,chr1:110453143-110453889,,,,,,0.154785077,0.865461862
cg04658021,PER1,21.17162486,4.91E-81,0.906859579,17,8056967,R,II,TSS1500,shore,TSS1500-shore,chr17:8054550-8055835,TRUE,TRUE,,,,0.346357703,0.650552968
cg11234328,UTF1,21.13345355,8.43E-81,0.918994953,10,135043586,R,II,TSS200,island,TSS200-island,chr10:135043221-135044560,,,,,,0.340528029,0.511142356
cg10030791,SERPING1,21.13330902,8.45E-81,0.820053598,11,57364888,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.336892543,0.645106128
cg20655350,GPBAR1,21.07864202,1.83E-80,0.87150838,2,219124263,F,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.214952455,0.785017698
cg02905900,ACOT11,21.06912033,2.09E-80,0.865889213,1,55013517,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,,,rs79477509,,0.263358662,0.447252474
cg08971171,MIR25,21.05345075,2.61E-80,0.903225806,7,99691611,F,I,TSS1500,opensea,TSS1500-opensea,,,,,rs72631827,,0.182678607,0.822601031
cg03422911,RYR2,21.03659712,3.32E-80,0.858536585,1,237205295,R,II,TSS1500,island,TSS1500-island,chr1:237205126-237206644,TRUE,,,,,0.392143681,0.637356832
cg27553890,SSH1,21.00096711,5.49E-80,0.866156058,12,109221424,R,II,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.174970914,0.756097865
cg17384889,NKAPL,20.98422992,6.95E-80,0.940397351,6,28227068,R,I,TSS200,island,TSS200-island,chr6:28226979-28227483,,,high-CpG:28335047-28335084,,,0.375181736,0.432238501
cg27527922,RPL22,20.97216976,8.24E-80,0.930041152,1,6260181,R,II,TSS1500,shore,TSS1500-shore,chr1:6259178-6259883,,,,,,0.375069442,0.572835323
cg27494647,RARRES2,20.94965859,1.13E-79,0.912288876,7,150038898,F,I,TSS200,island,TSS200-island,chr7:150037459-150039031,TRUE,,,,,0.370545458,0.623712137
cg17991695,GCM2,20.90012923,2.28E-79,0.86927137,6,10882974,F,II,TSS1500,island,TSS1500-island,chr6:10882926-10883149,,,,,,0.358517497,0.549229914
cg13846270,DLEU7,20.84529867,4.93E-79,0.925414365,13,51417929,F,I,TSS200,island,TSS200-island,chr13:51417371-51418149,,,,,,0.330121624,0.590355407
cg11934419,LAMA4,20.82314582,6.73E-79,0.916452985,6,112575850,R,II,TSS200,shore,TSS200-shore,chr6:112575091-112575483,,,low-CpG:112682038-112682667,,,0.39006979,0.62150258
cg20798152,CARTPT,20.76690236,1.49E-78,0.91887947,5,71014900,R,II,TSS200,shore,TSS200-shore,chr5:71014917-71015715,,,,,,0.292651545,0.56508616
cg23490796,DES,20.7242871,2.71E-78,0.922459893,2,220282914,R,II,TSS200,shore,TSS200-shore,chr2:220283200-220283750,TRUE,TRUE,,,rs2854886,0.26316333,0.68449087
cg20829347,SOX1,20.6793539,5.09E-78,0.930070943,13,112720927,R,II,TSS1500,island,TSS1500-island,chr13:112720564-112723582,,,,,,0.303215579,0.439283212
cg01757312,SOX1,20.6666045,6.08E-78,0.925125434,13,112720565,R,II,TSS1500,island,TSS1500-island,chr13:112720564-112723582,,,,,,0.338381399,0.596395026
cg06222062,PLA2G5,20.65312197,7.35E-78,0.916553288,1,20396690,R,II,TSS200,opensea,TSS200-opensea,,,,,,,0.333375145,0.604336422
cg04778012,STAG3,20.59734742,1.61E-77,0.839226151,7,99775508,F,I,TSS200,island,TSS200-island,chr7:99774733-99775583,,,high-CpG:99613314-99613542,,,0.365909465,0.530985146
cg03514843,EMILIN1,20.57073154,2.34E-77,0.928750285,2,27301195,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.212738167,0.757807103
cg00401972,CDH5,20.47577357,8.83E-77,0.851113716,16,66400404,F,II,TSS200,opensea,TSS200-opensea,,,,,,,0.37951538,0.639935507
cg17971328,SEMA4A,20.39206976,2.85E-76,0.907385698,1,156122730,R,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.268175078,0.787889243
cg13857025,NCOR2,20.35260277,4.94E-76,0.914984709,12,125020460,R,II,TSS1500,shelf,TSS1500-shelf,chr12:125023589-125023809,,,,,,0.235060228,0.796730953
cg20732478,HOXD8,20.30923833,9.06E-76,0.941850942,2,176993643,R,I,TSS1500,island,TSS1500-island,chr2:176993479-176995557,TRUE,TRUE,,,,0.292873786,0.408457546
cg23290344,NEFM,20.308507,9.15E-76,0.927426956,8,24771466,F,I,TSS1500,island,TSS1500-island,chr8:24770908-24772547,TRUE,,,,,0.3866697,0.470776147
cg18653451,CCDC8,20.30829786,9.18E-76,0.928029015,19,46917018,F,I,TSS200,shore,TSS200-shore,chr19:46915311-46915802,TRUE,,,,,0.326823258,0.451730827
cg17463145,MAGI2,20.28193267,1.33E-75,0.901006711,7,79084011,F,II,TSS1500,shore,TSS1500-shore,chr7:79082174-79082427,,,,,,0.365899356,0.607829043
cg11911305,APOC1P1,20.27381273,1.48E-75,0.81867995,19,45428924,R,II,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.240688307,0.728422412
cg07560510,CA3,20.2552205,1.92E-75,0.850934045,8,86350592,F,II,TSS1500,shore,TSS1500-shore,chr8:86350765-86351196,,TRUE,,,,0.414116625,0.526822682
cg00539360,VEGFA,20.24310551,2.28E-75,0.882237429,6,43737136,F,II,TSS1500,shore,TSS1500-shore,chr6:43737632-43739852,,,,,,0.264012321,0.7198555
cg14777768,SLC2A2,20.24239695,2.30E-75,0.970536373,3,170746265,F,II,TSS1500,island,TSS1500-island,chr3:170746072-170746292,TRUE,TRUE,,,,0.45994109,0.559738894
cg05965387,DLEU7,20.23506407,2.55E-75,0.862318393,13,51418053,R,II,TSS200,island,TSS200-island,chr13:51417371-51418149,,,,,,0.220413099,0.806729354
cg05426601,CPA1,20.22609936,2.89E-75,0.956097561,7,130019715,F,I,TSS1500,shore,TSS1500-shore,chr7:130021511-130021726,,TRUE,,,,0.196711871,0.812036693
cg03708990,OSBPL7,20.20068223,4.11E-75,0.901569187,17,45899469,R,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.225675752,0.714195355
cg05616010,ZSCAN18,20.20062613,4.12E-75,0.881212897,19,58630089,F,I,TSS1500,island,TSS1500-island,chr19:58629309-58630241,,,,,,0.262767277,0.708686464
cg13933080,SPAG6,20.14513053,8.92E-75,0.918238567,10,22634145,F,I,TSS1500,island,TSS1500-island,chr10:22634000-22634862,,,,,,0.291021176,0.614383667
cg17478203,STAT5A,20.08764913,1.98E-74,0.907346396,17,40438393,R,II,TSS1500,shore,TSS1500-shore,chr17:40440188-40441014,,,,,,0.226982332,0.724790162
cg24259244,ZIC5,20.0672467,2.63E-74,0.839191141,13,100624279,R,II,TSS200,island,TSS200-island,chr13:100620241-100624348,,,,,,0.262443665,0.572478862
cg18759209,BMP7,20.02455182,4.76E-74,0.919220056,20,55842071,R,I,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,TRUE,,,,,0.418275784,0.489037664
cg06710648,DAB1,19.9850647,8.24E-74,0.872180451,1,58716377,F,II,TSS200,shore,TSS200-shore,chr1:58715272-58716095,,,,,,0.314106127,0.654990871
cg26465391,ZNF154,19.96737243,1.05E-73,0.939947781,19,58220773,F,II,TSS200,shore,TSS200-shore,chr19:58220189-58220517,TRUE,,,,,0.408791062,0.582428336
cg11625005,TERT,19.79729802,1.11E-72,0.801094506,5,1295737,F,I,TSS1500,island,TSS1500-island,chr5:1289275-1295970,,,,,,0.221435325,0.699787377
cg05390307,FEZ1,19.79257004,1.18E-72,0.934190881,11,125366499,F,II,TSS1500,shore,TSS1500-shore,chr11:125365137-125366319,TRUE,,,rs12295146,,0.242137525,0.780690614
cg17496788,DDR2,19.78886132,1.25E-72,0.837193911,1,162601807,R,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.153237739,0.891205856
cg01594949,NRARP,19.77854597,1.44E-72,0.94676259,9,140197890,F,II,TSS1500,shore,TSS1500-shore,chr9:140195501-140197475,,,,,,0.279769508,0.728530081
cg08582356,CA3,19.77157885,1.58E-72,0.926174497,8,86351018,F,II,TSS200,island,TSS200-island,chr8:86350765-86351196,,,,rs2072696,,0.399570179,0.492542041
cg18388559,VPS18,19.68585928,5.17E-72,0.872752743,15,41186038,F,II,TSS1500,shore,TSS1500-shore,chr15:41186255-41187169,,,,,,0.247424477,0.698470088
cg05863502,CACNA1B,19.67634226,5.89E-72,0.843630484,9,140771990,R,I,TSS1500,island,TSS1500-island,chr9:140771300-140773513,,,high-CpG:139891799-139892298,,,0.37651941,0.52220535
cg17437939,TAC1,19.6728229,6.19E-72,0.909713884,7,97361252,R,II,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.437729259,0.598536762
cg14021880,EMILIN1,19.64888645,8.61E-72,0.89085744,2,27301369,R,II,TSS200,shelf,TSS200-shelf,chr2:27305312-27305612,TRUE,TRUE,,,,0.179359686,0.850169215
cg03111498,VSX1,19.62701568,1.16E-71,0.917355372,20,25062860,R,I,TSS200,island,TSS200-island,chr20:25061761-25062928,TRUE,,,,,0.291810924,0.407014772
cg09293816,FCGRT,19.61362916,1.40E-71,0.834577973,19,50015532,F,II,TSS200,shore,TSS200-shore,chr19:50016531-50016851,TRUE,,,,,0.346437274,0.641543533
cg10343742,SOX14,19.61304648,1.41E-71,0.858303005,3,137483506,R,II,TSS200,island,TSS200-island,chr3:137482964-137484454,,,,,,0.279585508,0.46938174
cg20585869,NEFM,19.59975745,1.69E-71,0.925242362,8,24772333,F,I,TSS200,island,TSS200-island,chr8:24770908-24772547,TRUE,,,,,0.313885227,0.384541388
cg22365906,ANKS1B,19.59595595,1.78E-71,0.887693342,12,99548546,R,II,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.235369812,0.773889476
cg04733537,TMEM132D,19.56914486,2.58E-71,0.908330292,12,130388748,F,I,TSS1500,island,TSS1500-island,chr12:130387609-130389139,,,,,,0.345229404,0.438119651
cg12297642,LACTB,19.54244264,3.73E-71,0.904944763,15,63413538,F,II,TSS1500,shore,TSS1500-shore,chr15:63413918-63414852,,,,,,0.209908424,0.813660313
