node1,node2,combined_score
NEUROD1,SLC2A2,735
PROC,A2M,871
HPX,A2M,707
SERPING1,A2M,746
TAC1,PENK,785
VCAN,FBN1,959
COL1A2,FBN1,930
STAR,CYP11B2,759
TWIST1,FOXC2,746
LEP,MED25,900
CCL2,CSF1,789
PDGFRB,CSF1,791
CD80,CSF1,955
CTSK,CSF1,729
EGFR,CSF1,830
CSF2,CSF1,868
IL13,CSF1,705
GAL,GALR2,999
GALR1,GALR2,823
SESN2,ATP6V0C,900
TCIRG1,ATP6V0C,986
ATP6V0D1,ATP6V0C,997
WNT3A,CTHRC1,940
P2RX5,P2RX7,857
TLR2,P2RX7,745
ISL1,OLIG2,816
SOX8,OLIG2,724
CSPG4,OLIG2,746
CEACAM5,CALCA,759
GRP,CALCA,806
GAL,CALCA,829
UCHL1,CALCA,717
TAC1,CALCA,917
PPP1R1B,PDE4B,917
ADCY8,PDE4B,836
VCAN,DSE,930
CSPG4,DSE,908
TCIRG1,ATP6V0A2,803
ATP6V0D1,ATP6V0A2,990
ATP6V0C,ATP6V0A2,995
CYP26C1,ALDH1A3,970
SOX8,FOXL2,744
STAR,MC2R,752
CYP11B2,MC2R,726
TAC1,TAC4,934
PDGFRB,FGF3,760
EGFR,FGF3,785
ISL1,GATA4,908
HNF1A,GATA4,748
BMP10,GATA4,946
SOX17,GATA4,866
FOXL2,GATA4,714
TBX21,PDCD1,703
CD80,PDCD1,965
BTLA,PDCD1,708
PPP2R5A,PPP2R2C,858
PABPC1,LARP1,970
SSH1,LIMK1,939
FES,LIMK1,903
CCR1,CXCL14,751
PVALB,CHAT,785
SLC5A7,CHAT,785
ACHE,CHAT,927
TAC1,CHAT,757
EDNRA,EDN3,999
PYCARD,NLRP3,999
TLR2,NLRP3,793
P2RX7,NLRP3,918
TBX21,IL17F,711
IL23A,IL17F,969
FGF2,IL17F,912
IL13,IL17F,715
IL17RA,IL17F,999
ISL1,PAX4,742
NEUROD1,PAX4,841
SLC2A2,PAX4,718
UCN,CRHR2,998
TBX21,STAT5A,752
IL23A,STAT5A,925
CCND2,STAT5A,952
PDGFRB,STAT5A,980
EGFR,STAT5A,998
STAT5B,STAT5A,943
CSF2,STAT5A,968
PRKCB,STAT5A,914
LEP,STAT5A,792
LEP,ADIPOR1,834
FOXC2,SOX18,704
BRD4,HOXA9,701
HOXA10,HOXA9,856
ISL1,OTX2,806
WNT1,OTX2,741
NEUROD1,OTX2,733
FGF8,OTX2,871
SIX6,OTX2,832
SOX1,OTX2,737
FOXG1,OTX2,745
CDH17,CDH5,712
VWF,CDH5,888
MCAM,CDH5,730
TLR2,HMGB1,999
SMARCB1,HMGB1,923
CFTR,SCNN1B,755
PDGFRB,PDGFA,997
FGF2,PDGFA,855
ERBB3,PDGFA,726
EGFR,PDGFA,808
ADCY8,ENTPD2,728
WNT3A,APCDD1,767
ADCY8,PDE4C,812
GRIA4,HTR3A,789
HTR1A,HTR3A,768
MRAS,RASSF1,826
HCST,RAET1E,805
GABARAP,MAP1LC3C,914
SPI1,PAX5,765
RUNX1,PAX5,806
EBF1,PAX5,898
PVALB,GAD1,914
CDO1,GAD1,904
CHAT,GAD1,734
ADIPOR1,GAD1,921
PTPRR,PTPN5,828
NOTCH3,WWP2,853
MALT1,MAPK10,800
NEUROD1,ELAVL3,782
OLIG2,ELAVL3,735
SEMA3C,PLXNA4,886
RHOD,PLXNA4,862
FES,PLXNA4,834
LIMK1,PLXNA4,913
CCND2,TRRAP,914
PITX2,TRRAP,900
HS6ST1,SULF2,707
GPC1,SULF2,742
HOXA5,HOXA4,766
KALRN,MYLK,738
MYL9,MYLK,988
PKP1,DSC3,948
PEG3,PLAGL1,744
HTR3A,HTR4,718
EIF2AK2,XAF1,701
BST2,XAF1,939
SLC6A2,DRD2,713
PPP1R1B,DRD2,779
SLC6A3,DRD2,997
PHOX2A,KIF21A,828
CEACAM5,KRT19,862
HOXA1,HOXB1,825
LNX1,PPP1R14C,740
FGF2,CNTF,781
EGFR,CNTF,724
LEP,CNTF,903
FMN2,RGS7,737
RGS12,RGS7,925
PKD2,RYR2,913
PPP2R5A,RYR2,798
CACNA1C,RYR2,986
PITX2,LEFTY2,872
TBX21,HLX,871
BST2,IRF6,906
SMARCB1,IRF6,900
GRHL3,IRF6,817
HMGB1,IRF6,929
XAF1,IRF6,900
CRP,C4BPA,773
RGS12,RGS17,916
RGS7,RGS17,916
NT5E,ADORA1,805
CYP4F2,PTGS2,929
CCL2,PTGS2,774
ALOX12,PTGS2,951
EGFR,PTGS2,706
PLA2G1B,PTGS2,890
CACNA1C,CACNA1E,764
VWF,DDR2,729
FADD,USP21,902
PYCARD,AIM2,999
NLRP3,AIM2,998
PYCARD,IFI16,814
SPI1,MNDA,724
CD80,CD1B,775
CD1A,CD1B,815
CSF2,CD1B,744
CD80,CD1C,827
CD1A,CD1C,808
CSF2,CD1C,759
CD1B,CD1C,731
CD80,CD1D,805
EGFR,CD1D,753
CSF2,CD1D,741
CD1C,CD1D,731
MITF,IL6R,901
CSF2,IL6R,778
IL13,IL6R,773
LEP,IL6R,715
CNTF,IL6R,928
MYH7B,TPM3,860
MYL9,TPM3,794
MYLK,TPM3,772
ISL1,NKX6-2,787
NEUROD1,NKX6-2,809
SLC2A2,NKX6-2,744
OLIG2,NKX6-2,810
GABARAP,BNIP3,992
HMGB1,S100A12,791
MNDA,S100A9,741
S100A12,S100A9,995
KRT1,IVL,852
SPRR1B,IVL,939
KRT1,FLG,864
PKP1,FLG,706
DSC3,FLG,722
IVL,FLG,913
OTP,SIM1,807
BTLA,VTCN1,979
ISL1,TBX18,732
GATA4,TBX18,810
KCNMA1,KCNA3,759
KIF5B,KCNA3,726
KCNH5,KCNA3,767
NEFM,INA,719
HTR3A,HTR1B,712
ADAMTS3,COL11A1,940
COL1A2,COL11A1,954
DDR2,COL11A1,742
MITF,LMO4,900
IL6R,LMO4,900
VWF,HPSE2,701
GPC1,HPSE2,924
PLAGL1,DIRAS3,739
CACNA1C,CACNA1B,832
CACNA1E,CACNA1B,844
DGKG,PLCE1,720
MRAS,PLCE1,836
PRKCB,PLCE1,823
PIP5K1A,PLCE1,930
CHAT,CPT2,726
CCL2,CD40,796
TLR2,CD40,751
CD80,CD40,954
CD1A,CD40,714
CSF2,CD40,848
STAT5A,CD40,946
MAPK10,CD40,932
C4BPA,CD40,965
CD1B,CD40,720
CD1C,CD40,758
CD1D,CD40,802
CDH5,TIE1,731
PDGFRB,PLAU,922
EGFR,PLAU,962
ADCY8,GLP1R,707
LEP,GLP1R,719
TIE1,ANGPTL2,796
SCTR,GHRH,717
GHSR,GHRH,801
VIPR2,GHRH,780
LEP,GHRH,764
GHRHR,GHRH,997
CALCA,GHRH,731
WNT10A,DKK1,841
WNT2,DKK1,884
SFRP5,DKK1,735
SFRP2,DKK1,776
WNT3A,DKK1,988
DKK2,DKK1,909
WIF1,DKK1,820
WNT1,DKK1,973
AXIN2,DKK1,778
NKX2-1,SPDEF,754
MGA,RING1,804
BUB1B,RING1,720
ZFP42,RING1,701
NID2,HSPG2,992
LAMA4,HSPG2,706
HS6ST1,HSPG2,947
HS3ST2,HSPG2,919
GPC1,HSPG2,876
FGF2,HSPG2,997
VCAN,HSPG2,943
ACHE,HSPG2,737
MMP14,HSPG2,952
CSPG4,HSPG2,948
FBN1,HSPG2,808
PDGFA,HSPG2,736
HPSE2,HSPG2,926
ADAMTS3,COL11A2,929
COL1A2,COL11A2,934
COL11A1,COL11A2,907
HLA-DOA,HLA-DMA,982
S100A12,ALDOB,704
ADAMTS3,COL5A2,930
COL1A2,COL5A2,993
COL12A1,COL5A2,807
FBN1,COL5A2,870
COL11A1,COL5A2,886
COL11A2,COL5A2,776
GPC1,TGFBR1,915
FBN1,TGFBR1,773
DTX1,NOTCH4,781
NOTCH3,NOTCH4,761
PTGS2,PLA2G5,777
NKX2-1,FOXE1,788
MYF6,PAX7,843
VWF,F7,886
CPA1,PTF1A,809
TLX3,PTF1A,702
ONECUT1,PTF1A,773
PAX4,PTF1A,712
NKX6-2,PTF1A,801
PTF1A,VSX1,701
ISL1,POU4F1,865
ATOH1,POU4F1,772
EDNRA,EDNRB,908
EDN3,EDNRB,999
FTMT,FXN,795
TNFAIP1,KLHL21,901
NOTCH3,HES5,969
NEUROD1,HES5,722
NOTCH4,HES5,961
OLIG2,ID4,810
CD80,TNFRSF4,844
PDCD1,TNFRSF4,740
AHR,CYP1A1,993
CYP26C1,CYP1A1,928
UGT2B7,CYP1A1,879
ALDH1A3,CYP1A1,935
GSTO2,CYP1A1,707
SPRR1B,KRT6A,752
FGF4,KL,710
FGF6,KL,718
FGF23,KL,999
FGF2,KL,705
WNT1,KL,886
FGF8,KL,724
FGF3,KL,708
TBX21,IRF4,731
SPI1,IRF4,997
BST2,IRF4,924
SMARCB1,IRF4,902
NLRP3,IRF4,968
HMGB1,IRF4,913
PAX5,IRF4,832
XAF1,IRF4,903
IRF6,IRF4,909
NEUROD1,PDX1,835
ONECUT1,PDX1,961
SLC2A2,PDX1,790
PTF1A,PDX1,858
TFF1,GREB1,841
HCST,SIRPB1,728
PROC,TMPRSS6,789
TM4SF4,TMPRSS6,706
F7,TMPRSS6,791
VIPR2,GNG7,715
CACNA1C,GNG7,908
DRD2,GNG7,703
FGF2,FGFBP1,978
FGF3,FGFBP1,920
HSPG2,FGFBP1,851
PDGFRB,FGF9,745
EGFR,FGF9,762
GATA4,FGF9,792
KL,FGF9,822
LGALS3BP,CD9,751
MCAM,CD9,747
PDPN,CD9,964
MMP14,CD9,773
MYO15A,GJB2,801
PSCA,MSLN,723
GSTO2,GPX3,777
SOD3,GPX3,969
CFTR,KRT18,735
BMP10,ACVRL1,999
TGFBR1,ACVRL1,949
ADAMTS8,ADAMTS20,909
ADAMTS16,ADAMTS20,916
ADAMTS5,ADAMTS20,909
ADAMTS3,ADAMTS20,918
NID2,LAMA1,792
LAMA4,LAMA1,927
GPC1,LAMA1,900
ERBB3,LAMA1,901
EGFR,LAMA1,906
HSPG2,LAMA1,840
CACNA1C,GNG4,909
ADCY8,GNG4,730
PRKCB,GNG4,722
GLP1R,GNG4,709
IFI16,LRRFIP1,810
MYF6,PAX3,784
ZIC1,PAX3,786
MITF,PAX3,772
PAX7,PAX3,811
EGFR,SNX9,752
OLIG2,MAG,756
CDC6,HOXD13,835
SPRR1B,SPRR2A,977
IVL,SPRR2A,840
TREM2,TMEM119,719
LRRC4,NTNG2,999
UCHL1,GAP43,719
ELAVL3,GAP43,735
MAG,GAP43,706
REG1A,REG3A,831
SOX18,NR2F2,868
EGFR,EFEMP1,884
TGFB1I1,GIT1,845
CRP,GPT,882
CX3CL1,CXCL1,747
CCL22,CXCL1,966
CCL2,CXCL1,989
CXCL6,CXCL1,822
TLR2,CXCL1,721
CCR1,CXCL1,852
CSF2,CXCL1,981
CCL11,CXCL1,840
IL13,CXCL1,742
CSF1,CXCL1,704
PTGS2,CXCL1,847
CFTR,CXCL12,907
CCL2,CXCL12,819
FGF2,CXCL12,741
STAT5B,CXCL12,934
CCR1,CXCL12,871
CCL11,CXCL12,969
SSH1,CXCL12,902
CXCL14,CXCL12,856
STAT5A,CXCL12,936
HMGB1,CXCL12,991
CXCL1,CXCL12,731
SESN2,ATP6V1C1,900
TCIRG1,ATP6V1C1,957
ATP6V0D1,ATP6V1C1,994
ATP6V0C,ATP6V1C1,997
ATP6V0A2,ATP6V1C1,970
BMP10,BMP7,918
SOSTDC1,BMP7,990
FBN1,BMP7,911
GATA4,BMP7,929
TGFBR1,BMP7,712
HHIP,GLI3,709
FGF8,GLI3,718
ALX4,GLI3,707
HOXD13,GLI3,736
PVALB,CCK,894
GRP,CCK,944
GAL,CCK,841
CARTPT,CCK,793
LEP,CCK,965
TAC1,CCK,916
CALCA,CCK,744
CNN1,MYH11,908
MYL9,MYH11,989
MYLK,MYH11,982
TPM3,MYH11,788
SFRP5,DKK3,705
SFRP2,DKK3,735
DKK2,DKK3,856
WIF1,DKK3,743
DKK1,DKK3,818
NT5C1A,AMPD3,795
NT5E,AMPD3,775
ADARB2,AMPD3,783
PRKCB,CARD11,982
MALT1,CARD11,999
TNFRSF4,CARD11,726
CCL2,INS,741
CRP,INS,912
GRP,INS,764
PPP2R5A,INS,905
PDGFRB,INS,891
FGF2,INS,874
CACNA1C,INS,936
ERBB3,INS,781
EGFR,INS,942
NEUROD1,INS,718
KIF5B,INS,917
PCSK1,INS,958
LEP,INS,936
SLC2A2,INS,876
CALCA,INS,839
ADIPOR1,INS,859
PDGFA,INS,858
CACNA1E,INS,836
NKX6-2,INS,706
CACNA1B,INS,838
GLP1R,INS,871
GHRH,INS,710
PDX1,INS,977
GPT,INS,857
CCK,INS,789
NGB,MB,870
RIPK3,CAMK2A,806
CACNA1C,CAMK2A,784
SLC6A3,CAMK2A,880
GRIA4,CAMK2A,964
ADCY8,CAMK2A,805
IFNGR2,CAMK2A,907
RYR2,CAMK2A,875
MYO15A,CDH23,830
GJB2,CDH23,744
CLDN16,CLDN14,740
CFTR,DLG4,822
KALRN,DLG4,989
LRRC4,DLG4,902
KCNA5,DLG4,903
PCDH10,DLG4,849
GRIA4,DLG4,978
LLGL1,DLG4,973
PTPN5,DLG4,774
VANGL2,DLG4,782
SV2A,DLG4,745
KCNA3,DLG4,987
HPCA,DLG4,774
CAMK2A,DLG4,852
BST2,IFITM3,961
XAF1,IFITM3,931
IRF6,IFITM3,910
IRF4,IFITM3,915
TBX21,RUNX3,993
RUNX1,RUNX3,904
MGA,CHD8,920
BRD4,CHD8,959
CACNA1C,FKBP1A,784
FABP5,FKBP1A,794
RYR2,FKBP1A,995
CACNA1E,FKBP1A,731
CACNA1B,FKBP1A,728
TGFBR1,FKBP1A,999
ACVRL1,FKBP1A,934
BMP7,FKBP1A,914
AHR,NCOR2,895
STAT5B,NCOR2,826
RUNX1,NCOR2,805
STAT5A,NCOR2,977
NR2F2,NCOR2,881
IL23A,POMC,900
GRP,POMC,710
VIPR2,POMC,708
FGF2,POMC,961
GAL,POMC,735
CARTPT,POMC,856
PCSK1,POMC,966
LEP,POMC,907
TAC1,POMC,763
PENK,POMC,962
CYP11B2,POMC,739
CALCA,POMC,814
MC2R,POMC,998
IL17F,POMC,900
CRHR2,POMC,742
SERPINA6,POMC,747
GLP1R,POMC,816
GHRH,POMC,831
CCK,POMC,777
INS,POMC,878
GATA4,ZFPM2,999
NR2F2,ZFPM2,912
PVALB,NPY,889
GHSR,NPY,907
GRP,NPY,743
GAL,NPY,954
CARTPT,NPY,895
LEP,NPY,977
HTR1A,NPY,841
TAC1,NPY,911
GALR2,NPY,728
CALCA,NPY,878
CHAT,NPY,708
GAD1,NPY,745
DRD2,NPY,826
ADORA1,NPY,742
HTR1B,NPY,802
GHRH,NPY,756
CCK,NPY,928
INS,NPY,853
POMC,NPY,960
LMO2,ETV2,703
FOXC2,ETV2,913
PRKG2,SLC8A1,811
RYR2,SLC8A1,745
PROC,F11,957
FLRT2,UNC5D,974
CX3CL1,IL6,718
TBX21,IL6,714
CCL22,IL6,967
CCL2,IL6,994
CXCL6,IL6,803
IL23A,IL6,968
CRP,IL6,916
TLR2,IL6,885
PDGFRB,IL6,785
CD80,IL6,829
FGF2,IL6,975
EGFR,IL6,867
IFNGR2,IL6,745
STAT5B,IL6,759
MITF,IL6,923
CSF2,IL6,991
CCL11,IL6,830
IL13,IL6,987
LEP,IL6,877
A2M,IL6,875
CSF1,IL6,836
NLRP3,IL6,785
IL17F,IL6,976
STAT5A,IL6,760
HMGB1,IL6,756
CNTF,IL6,856
PTGS2,IL6,913
IL6R,IL6,999
VENTX,IL6,900
LMO4,IL6,900
CD40,IL6,846
GPT,IL6,769
CXCL1,IL6,996
CXCL12,IL6,762
INS,IL6,880
POMC,IL6,967
HPX,TF,728
ATP6V0A2,TF,713
FBN1,LTBP1,718
NKX2-1,SFTPB,796
CD1A,CD207,867
CD1B,CD207,860
CD1C,CD207,891
CD1D,CD207,843
CNR2,ZC3H12D,918
TCIRG1,SH3BP4,900
ATP6V0D1,SH3BP4,906
ATP6V0C,SH3BP4,900
ATP6V1C1,SH3BP4,901
GCNT2,FUT2,933
PVALB,SLC12A5,706
TRIM67,DCC,835
UNC5D,DCC,931
HHIP,GLI2,759
MTSS1,GLI2,955
GLI3,GLI2,919
TFF1,AGR2,769
SPDEF,AGR2,724
EEF1A2,PTPN6,803
BLNK,PTPN6,964
LILRA2,PTPN6,829
EGFR,PTPN6,963
IFNGR2,PTPN6,911
STAT5B,PTPN6,956
PDPN,PTPN6,906
LILRB1,PTPN6,968
BTLA,PTPN6,819
PDCD1,PTPN6,922
STAT5A,PTPN6,951
PTPN5,PTPN6,906
CXCL12,PTPN6,906
PDGFRB,BCAR1,925
EGFR,BCAR1,952
PRKCB,BCAR1,904
MMP14,BCAR1,979
CSF1,BCAR1,913
TGFB1I1,BCAR1,740
CXCL12,BCAR1,921
DCC,BCAR1,929
EGFR,JAK3,870
IFNGR2,JAK3,747
STAT5B,JAK3,999
CSF2,JAK3,723
PRKCB,JAK3,909
FES,JAK3,935
STAT5A,JAK3,998
IL6R,JAK3,940
CD40,JAK3,997
IL6,JAK3,961
PTPN6,JAK3,948
FGF4,FGFR1,992
PROKR2,FGFR1,709
FGF6,FGFR1,992
FGF23,FGFR1,999
TWIST1,FGFR1,736
GPC1,FGFR1,935
FGF2,FGFR1,999
FGF11,FGFR1,754
HTR1A,FGFR1,993
FGF8,FGFR1,999
CSF1,FGFR1,700
FLRT2,FGFR1,722
FGF3,FGFR1,949
PDGFA,FGFR1,809
KL,FGFR1,999
FGF9,FGFR1,980
INS,FGFR1,890
PKD2,PACS2,824
SPP2,AHSG,875
PROC,AHSG,797
CRP,AHSG,708
HPX,AHSG,823
TF,AHSG,879
PENK,OPRM1,907
POMC,OPRM1,997
CX3CL1,CXCR6,791
CCL22,CXCR6,742
CCL2,CXCR6,784
CCL1,CXCR6,729
CXCL6,CXCR6,721
CCL11,CXCR6,714
CXCL1,CXCR6,763
CXCL12,CXCR6,854
OPCML,NTM,804
PVALB,RGS4,705
EGFR,RGS4,725
RGS12,RGS4,920
RGS7,RGS4,940
RGS17,RGS4,913
FGF2,NTF3,854
EGFR,NTF3,703
PTPRO,NTF3,906
CNTF,NTF3,805
PABPC1,GSPT1,999
HOXA5,FOXA2,725
NEUROD1,FOXA2,713
SOX17,FOXA2,912
ONECUT1,FOXA2,846
SOX1,FOXA2,732
GATA4,FOXA2,882
OTX2,FOXA2,911
NKX2-1,FOXA2,833
NKX6-2,FOXA2,718
PDX1,FOXA2,970
NID2,LAMA2,810
LAMA4,LAMA2,931
HSPG2,LAMA2,775
LAMA1,LAMA2,904
F2RL3,GNA13,902
EDNRA,GNA13,830
CDH5,GNA13,743
EDNRB,GNA13,765
GNG7,GNA13,715
GNG4,GNA13,721
CXCL12,GNA13,900
FEZF2,SATB2,818
COL1A2,P4HA3,926
COL12A1,P4HA3,927
COL11A1,P4HA3,912
COL11A2,P4HA3,909
COL5A2,P4HA3,926
COL23A1,P4HA3,906
TYR,DDC,940
SLC6A3,DDC,798
TPO,DDC,914
ISL1,PAX6,887
FGF2,PAX6,751
POU4F2,PAX6,715
WNT1,PAX6,721
NEUROD1,PAX6,897
MITF,PAX6,888
SOX17,PAX6,741
ATOH1,PAX6,729
FGF8,PAX6,747
SIX6,PAX6,848
SOX1,PAX6,878
OLIG2,PAX6,869
GATA4,PAX6,710
FOXG1,PAX6,845
PDX1,PAX6,928
GLI3,PAX6,708
INS,PAX6,962
FOXA2,PAX6,784
SATB2,PAX6,701
MPG,ESR1,930
AHR,ESR1,998
TWIST1,ESR1,863
NR0B2,ESR1,980
ERBB3,ESR1,743
EGFR,ESR1,996
POU4F2,ESR1,986
TFF1,ESR1,992
TERT,ESR1,949
TRIM59,ESR1,921
STAT5A,ESR1,976
MAPK10,ESR1,824
LMO4,ESR1,929
LCOR,ESR1,971
POU4F1,ESR1,961
GREB1,ESR1,984
NR2F2,ESR1,953
CXCL12,ESR1,948
INS,ESR1,771
NCOR2,ESR1,999
BCAR1,ESR1,995
GNA13,ESR1,963
SMARCB1,TBL1XR1,727
CPT2,TBL1XR1,901
CYP1A1,TBL1XR1,901
NCOR2,TBL1XR1,997
GALNT5,MUC6,902
ATOH1,MUC6,736
GALNT13,MUC6,900
ALDOB,FBP1,975
HLA-DOA,HLA-DPB1,947
CTSK,HLA-DPB1,905
PDCD1,HLA-DPB1,918
CTSA,HLA-DPB1,900
HLA-DMA,HLA-DPB1,978
PTPN6,HLA-DPB1,907
NCOR2,HDAC9,881
TBL1XR1,HDAC9,721
DNAH5,DCTN2,926
KIF5B,DCTN2,806
KIF2A,DCTN2,704
FGF2,GDNF,836
CNTF,GDNF,863
BCAR1,GDNF,901
NTF3,GDNF,877
GRHL2,CLDN4,738
FADD,MAP2K4,928
MAPK10,MAP2K4,989
CD40,MAP2K4,959
BCAR1,MAP2K4,913
PRKG2,MRVI1,983
