Model,ID1,ID2,ID3,ID4,average_accuracy,AUC,f1_score,AVG_accuracy,AVG_AUC,AVG_f1_score,,,Cluster1,Cluster2,Cluster3,Cluster4
Decision Tree,cg24848035,cg09554951,cg13545212,cg24604013,0.968539326,0.938014541,0.98488665,0.975730337,0.940024591,0.986936195,,,,,,
Decision Tree,cg18710784,cg09554951,cg05863502,cg14231297,0.97752809,0.960547418,0.988650694,0.976179775,0.940024591,0.986933175,,,,,,
Decision Tree,cg24848035,cg14502484,cg04574090,cg01146232,0.970786517,0.972441997,0.991172762,0.977078652,0.939906982,0.988720068,,,,,,
Decision Tree,cg01158680,cg10266490,cg17152757,cg14231297,0.975280899,0.961803699,0.989924433,0.974831461,0.939773335,0.986685869,,,,,,
Decision Tree,cg01158680,cg09554951,cg00421624,cg14231297,0.97752809,0.939270822,0.986163522,0.976629214,0.939773335,0.986693276,,,,,,
Decision Tree,cg26405020,cg03520644,cg13545212,cg14231297,0.979775281,0.969929434,0.988621997,0.976179775,0.939773335,0.98667667,,,,,,
Decision Tree,cg09293816,cg19619405,cg00421624,cg14231297,0.979775281,0.969929434,0.988621997,0.976179775,0.939773335,0.986683979,,,,,,
Decision Tree,cg24848035,cg03520644,cg00421624,cg14231297,0.970786517,0.90861221,0.983729662,0.979325843,0.939655725,0.988475926,,,,,,
Decision Tree,cg24848035,cg14502484,cg05863502,cg16126280,0.984269663,0.964316262,0.992462312,0.978876405,0.939655725,0.988463949,,,,,,
Decision Tree,cg24848035,cg14502484,cg05863502,cg06274159,0.979775281,0.951165401,0.988679245,0.979325843,0.939655725,0.988459725,,,,,,
Decision Tree,cg18710784,cg14502484,cg17152757,cg14231297,0.97752809,0.940527104,0.987437186,0.975730337,0.939522079,0.986423711,,,,,,
Decision Tree,cg09293816,cg19619405,cg17152757,cg14231297,0.97752809,0.931145087,0.987468672,0.978876405,0.939404469,0.988211879,,,,,,
Decision Tree,cg07445246,cg16294013,cg13545212,cg14231297,0.968539326,0.92486368,0.981084489,0.975730337,0.939270822,0.986171426,,,,,,
Decision Tree,cg24848035,cg16294013,cg13545212,cg24604013,0.97752809,0.94990912,0.987405542,0.978426966,0.939153213,0.987958314,,,,,,
Decision Tree,cg07445246,cg14502484,cg05863502,cg14231297,0.97752809,0.919250508,0.984962406,0.978876405,0.938901957,0.987698011,,,,,,
Decision Tree,cg27494647,cg19619405,cg13545212,cg14231297,0.979775281,0.969929434,0.988621997,0.974382023,0.93876831,0.98565532,,,,,,
Decision Tree,cg07445246,cg09554951,cg00421624,cg14231297,0.973033708,0.940527104,0.987437186,0.976629214,0.9386507,0.987455185,,,,,,
Decision Tree,cg09293816,cg14502484,cg13545212,cg14231297,0.975280899,0.94990912,0.987405542,0.977078652,0.9386507,0.987454817,,,,,,
Decision Tree,cg04037038,cg14502484,cg00421624,cg14231297,0.984269663,0.941783385,0.988707654,0.978426966,0.9386507,0.987451816,,,,,,
Decision Tree,cg04037038,cg16294013,cg05863502,cg14231297,0.975280899,0.959291137,0.987373737,0.976629214,0.938399444,0.987209499,,,,,,
Decision Tree,cg07445246,cg22881914,cg05863502,cg14231297,0.973033708,0.940527104,0.987437186,0.975730337,0.938148188,0.986938219,,,,,,
Decision Tree,cg01158680,cg14502484,cg13545212,cg14231297,0.984269663,0.971185716,0.98989899,0.977078652,0.938148188,0.986951139,,,,,,
Decision Tree,cg22877509,cg14502484,cg05863502,cg14231297,0.982022472,0.961803699,0.989924433,0.976629214,0.938148188,0.986948601,,,,,,
Decision Tree,cg24848035,cg03520644,cg17152757,cg24604013,0.968539326,0.94990912,0.987405542,0.977977528,0.938030578,0.988721313,,,,,,
Decision Tree,cg24848035,cg19619405,cg17152757,cg01146232,0.979775281,0.928632524,0.984924623,0.981123596,0.938030578,0.988720037,,,,,,
Decision Tree,cg26405020,cg19619405,cg17152757,cg24604013,0.968539326,0.935501978,0.982323232,0.973033708,0.938014541,0.984887728,,,,,,
Decision Tree,cg01158680,cg09554951,cg04574090,cg14231297,0.982022472,0.940527104,0.987437186,0.977078652,0.937896931,0.986704506,,,,,,
Decision Tree,cg24848035,cg16294013,cg17152757,cg13267264,0.982022472,0.941783385,0.988707654,0.979775281,0.937779322,0.988482037,,,,,,
Decision Tree,cg24848035,cg10266490,cg05863502,cg24604013,0.968539326,0.920506789,0.986232791,0.977977528,0.937779322,0.988469109,,,,,,
Decision Tree,cg24848035,cg14502484,cg13545212,cg01146232,0.975280899,0.948652839,0.986128625,0.979325843,0.937779322,0.988467699,,,,,,
Decision Tree,cg04037038,cg14502484,cg13545212,cg14231297,0.979775281,0.940527104,0.987437186,0.976179775,0.937645675,0.986432871,,,,,,
Decision Tree,cg24848035,cg03520644,cg13545212,cg14231297,0.982022472,0.940527104,0.987437186,0.979775281,0.937528066,0.98822241,,,,,,
Decision Tree,cg24848035,cg09554951,cg04574090,cg24604013,0.975280899,0.917994226,0.983688833,0.979775281,0.937528066,0.988214991,,,,,,
Decision Tree,cg27494647,cg10266490,cg17152757,cg14231297,0.979775281,0.952421683,0.989949749,0.974831461,0.937394419,0.986179761,,,,,,
Decision Tree,cg22877509,cg10266490,cg17152757,cg14231297,0.970786517,0.929888806,0.986198243,0.974382023,0.937394419,0.986174412,,,,,,
Decision Tree,cg09293816,cg19619405,cg04574090,cg14231297,0.970786517,0.927376243,0.983647799,0.975280899,0.937394419,0.986181969,,,,,,
Decision Tree,cg04037038,cg19619405,cg17152757,cg24604013,0.964044944,0.960547418,0.988650694,0.968539326,0.937260772,0.984118161,,,,,,
Decision Tree,cg26405020,cg16294013,cg13545212,cg14231297,0.970786517,0.948652839,0.986128625,0.973932584,0.937143163,0.985932471,,,,,,
Decision Tree,cg07445246,cg14502484,cg00421624,cg14231297,0.982022472,0.911124773,0.986267166,0.979325843,0.937025553,0.987713019,,,,,,
Decision Tree,cg26405020,cg09554951,cg13545212,cg14231297,0.986516854,0.973698279,0.992443325,0.977977528,0.937025553,0.98772788,,,,,,
Decision Tree,cg24848035,cg10266490,cg17152757,cg01146232,0.975280899,0.939270822,0.986163522,0.981123596,0.936907944,0.989483589,,,,,,
Decision Tree,cg18710784,cg16294013,cg05863502,cg14231297,0.975280899,0.947396557,0.984848485,0.974831461,0.936891906,0.985669326,,,,,,
Decision Tree,cg18710784,cg16294013,cg17152757,cg14231297,0.970786517,0.927376243,0.983647799,0.974382023,0.936891906,0.985668263,,,,,,
Decision Tree,cg27494647,cg19619405,cg17152757,cg14231297,0.982022472,0.94990912,0.987405542,0.975280899,0.936891906,0.985672029,,,,,,
Decision Tree,cg01158680,cg16294013,cg05863502,cg14231297,0.975280899,0.960547418,0.988650694,0.973483146,0.936891906,0.985668054,,,,,,
Decision Tree,cg07445246,cg03520644,cg17152757,cg14231297,0.973033708,0.939270822,0.986163522,0.977078652,0.936774297,0.987457551,,,,,,
Decision Tree,cg07445246,cg19619405,cg04574090,cg14231297,0.975280899,0.927376243,0.983647799,0.978426966,0.936774297,0.987457091,,,,,,
Decision Tree,cg18710784,cg14502484,cg13545212,cg14231297,0.973033708,0.948652839,0.986128625,0.973483146,0.93664065,0.98541162,,,,,,
Decision Tree,cg04037038,cg16294013,cg04574090,cg14231297,0.975280899,0.936758259,0.983606557,0.974831461,0.93664065,0.985421403,,,,,,
Decision Tree,cg24848035,cg09554951,cg17152757,cg13267264,0.970786517,0.940527104,0.987437186,0.975730337,0.936523041,0.987211637,,,,,,
Decision Tree,cg24848035,cg03520644,cg00421624,cg24604013,0.968539326,0.926119962,0.982367758,0.977078652,0.936523041,0.987193015,,,,,,
Decision Tree,cg26405020,cg14502484,cg05863502,cg14231297,0.984269663,0.943039666,0.989974937,0.97752809,0.93652304,0.98719353,,,,,,
Decision Tree,cg26405020,cg14502484,cg17152757,cg24604013,0.964044944,0.947396557,0.984848485,0.971685393,0.936389394,0.985151334,,,,,,
Decision Tree,cg01158680,cg14502484,cg00421624,cg14231297,0.984269663,0.941783385,0.988707654,0.97752809,0.936271785,0.986949945,,,,,,
Decision Tree,cg01158680,cg03520644,cg13545212,cg14231297,0.975280899,0.959291137,0.987373737,0.976179775,0.936271785,0.986953494,,,,,,
Decision Tree,cg22877509,cg09554951,cg05863502,cg14231297,0.984269663,0.960547418,0.988650694,0.97752809,0.936271784,0.986954259,,,,,,
Decision Tree,cg22877509,cg14502484,cg00421624,cg14231297,0.979775281,0.953677964,0.991217064,0.975280899,0.936020528,0.986695574,,,,,,
Decision Tree,cg24848035,cg10266490,cg04574090,cg24604013,0.97752809,0.941783385,0.988707654,0.978876405,0.935902919,0.988478483,,,,,,
Decision Tree,cg07445246,cg14502484,cg17152757,cg14231297,0.961797753,0.926119962,0.982367758,0.974382023,0.935769272,0.986435782,,,,,,
Decision Tree,cg09293816,cg10266490,cg17152757,cg14231297,0.979775281,0.920506789,0.986232791,0.976629214,0.935769272,0.986446306,,,,,,
Decision Tree,cg24848035,cg14502484,cg04574090,cg16126280,0.975280899,0.941783385,0.988707654,0.977977528,0.935651663,0.988221783,,,,,,
