gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
GFRAL,cg11823729,-0.417113,TSS1500,cg20650484,-0.373234,TSS1500
GPR26,cg16783279,0.456132,TSS1500,cg04549162,0.359815,TSS200
GRIK3,cg19206040,0.420259,TSS1500,cg19206040,0.367233,TSS1500
GSC2,cg23774356,0.428391,TSS200,cg06695663,0.390456,TSS200
HBBP1,cg20785459,-0.442773,TSS1500,cg20785459,-0.430264,TSS1500
HMGCLL1,cg07369569,-0.423381,TSS1500,cg07369569,-0.360751,TSS1500
HPVC1,cg23860325,-0.474367,TSS1500,cg21336434,-0.36675,TSS1500
IKZF1,cg07589773,0.541016,TSS1500,cg07589773,0.469398,TSS1500
INA,cg24680586,0.427983,TSS200,cg23642747,0.407532,TSS1500
IRX4,cg07882671,0.4835,TSS200,cg24876960,0.402456,TSS1500
ITGA8,cg08361126,0.454487,TSS1500,cg08361126,0.382202,TSS1500
KCNA1,cg20392607,0.553413,TSS1500,cg04891086,0.372976,TSS1500
KCNG1,cg24924779,0.409491,TSS1500,cg15081220,0.360323,TSS1500
KIFC3,cg27026192,0.408765,TSS1500,cg27026192,0.411694,TSS1500
KRTAP24-1,cg09892262,-0.417379,TSS1500,cg09892262,-0.365645,TSS1500
KY,cg22889573,0.48632,TSS200,cg12307306,0.370173,TSS200
LOC286094,cg00937286,-0.402758,TSS1500,cg00937286,-0.371156,TSS1500
LOC441666,cg23853165,-0.394354,TSS1500,cg08967936,-0.384012,TSS1500
LPPR4,cg26164310,0.527055,TSS200,cg26164310,0.420527,TSS200
LRRFIP1,cg15674193,0.45298,TSS1500,cg02367660,0.353533,TSS1500
MIR124-3,cg02650317,0.56585,TSS1500,cg03387135,0.376177,TSS200
MIR548I4,cg16341266,-0.479529,TSS1500,cg16341266,-0.407067,TSS1500
MMP23A,cg06943420,0.402595,TSS1500,cg06943420,0.369841,TSS1500
MMP26,cg12493906,-0.423871,TSS200,cg12493906,-0.373962,TSS200
NALCN,cg04117435,0.512955,TSS1500,cg10774877,0.436097,TSS200
NBLA00301,cg15707093,0.414016,TSS1500,cg15707093,0.361505,TSS1500
NDRG4,cg04190807,0.445935,TSS1500,cg04942472,0.366903,TSS1500
NPR3,cg07663789,0.440463,TSS1500,cg06028303,0.39916,TSS200
NTM,cg20881910,0.416098,TSS1500,cg23699196,0.397444,TSS1500
OR10J5,cg26043322,-0.41633,TSS1500,cg26043322,-0.363035,TSS1500
PCDH10,cg04035209,0.461828,TSS1500,cg01408654,0.41767,TSS200
PDE4B,cg22488256,0.436237,TSS200,cg10552807,0.353312,TSS1500
PIGB,cg19991916,-0.500759,TSS1500,cg19991916,-0.442966,TSS1500
PODN,cg04765848,0.429059,TSS1500,cg04765848,0.374262,TSS1500
PPP1R16B,cg11172693,0.475834,TSS200,cg11172693,0.421176,TSS200
PTPN5,cg07717429,0.47914,TSS200,cg06671842,0.381084,TSS200
RASGRF1,cg11806630,0.455712,TSS1500,cg25673084,0.352989,TSS1500
RIMS4,cg21656205,0.458273,TSS1500,cg27361134,0.374069,TSS1500
SALL1,cg00177451,0.511174,TSS1500,cg14115575,0.437297,TSS1500
SCN7A,cg05331214,-0.430252,TSS1500,cg06746492,-0.372046,TSS1500
SHISA2,cg16572375,0.433775,TSS1500,cg16572375,0.367228,TSS1500
SIRPD,cg11295724,-0.39988,TSS200,cg17423978,-0.352091,TSS1500
SIRPG,cg23295754,-0.441368,TSS1500,cg13408605,-0.35144,TSS1500
SLC18A3,cg23987444,0.506439,TSS1500,cg08996579,0.417098,TSS1500
SLC4A11,cg21304453,0.403151,TSS1500,cg23413506,0.405164,TSS1500
SLC6A15,cg18023283,0.613513,TSS1500,cg03064067,0.459502,TSS1500
SLITRK5,cg25081106,0.53136,TSS1500,cg15778745,0.501955,TSS1500
SORCS1,cg24403845,0.573519,TSS200,cg24403845,0.445498,TSS200
SOX17,cg24928391,0.494733,TSS200,cg24928391,0.363322,TSS200
SOX21,cg27442308,0.519173,TSS1500,cg23111830,0.36292,TSS200
ST6GALNAC5,cg13823136,0.539703,TSS200,cg15100100,0.38004,TSS200
SUB1,cg18721397,-0.424597,TSS1500,cg04225902,-0.36105,TSS1500
SUNC1,cg03609427,-0.43116,TSS200,cg07298482,-0.430921,TSS200
TBX5,cg03843000,0.436018,TSS1500,cg26196480,0.359102,TSS200
THBS4,cg10784386,0.416167,TSS200,cg10784386,0.382681,TSS200
TMEM196,cg18505401,0.477489,TSS200,cg18505401,0.374904,TSS200
TRDN,cg14462830,-0.407154,TSS1500,cg14462830,-0.389757,TSS1500
TRPC6,cg23650423,0.480799,TSS200,cg27296293,0.385911,TSS200
TWIST1,cg00240432,0.557915,TSS200,cg04917226,0.429755,TSS1500
TYR,cg25941151,-0.436443,TSS200,cg09125508,-0.418349,TSS1500
UNC5C,cg12584684,0.611823,TSS1500,cg20377606,0.462576,TSS200
UNC5D,cg08000065,0.410333,TSS200,cg13561879,0.385917,TSS1500
UNCX,cg20870512,0.469277,TSS200,cg20870512,0.367171,TSS200
VSTM2B,cg18802754,0.426994,TSS1500,cg18802754,0.404056,TSS1500
WDR8,cg04021697,0.40731,TSS1500,cg04021697,0.403241,TSS1500
WDR86,cg17362861,0.535716,TSS200,cg21532325,0.412655,TSS1500
ZNF132,cg03735888,0.482796,TSS200,cg13877915,0.441011,TSS200
ZNF135,cg08701621,0.509551,TSS200,cg08701621,0.492388,TSS200
ZNF229,cg09896900,0.487901,TSS200,cg09896900,0.361157,TSS200
ZNF334,cg27385032,0.50984,TSS200,cg07139762,0.402121,TSS200
ZNF793,cg14732998,0.475885,TSS200,cg17332326,0.37578,TSS1500
