gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
SHISA2,cg16572375,0.427693,TSS1500,cg16572375,0.364231,TSS1500
SIRPG,cg23295754,-0.444737,TSS1500,cg13408605,-0.352674,TSS1500
SLC18A3,cg23987444,0.505533,TSS1500,cg08996579,0.397917,TSS1500
SLC4A11,cg21304453,0.39881,TSS1500,cg23413506,0.405481,TSS1500
SLC6A15,cg18023283,0.618118,TSS1500,cg03064067,0.455136,TSS1500
SLC6A2,cg01277542,0.449299,TSS1500,cg10362591,0.433823,TSS1500
SLITRK5,cg25081106,0.534956,TSS1500,cg15778745,0.49554,TSS1500
SORCS1,cg24403845,0.576736,TSS200,cg26554592,0.433425,TSS200
SOX21,cg27442308,0.52009,TSS1500,cg02736420,0.386964,TSS200
ST6GALNAC5,cg13823136,0.537089,TSS200,cg15100100,0.37657,TSS200
SUB1,cg18721397,-0.423025,TSS1500,cg12600337,-0.364771,TSS1500
SUNC1,cg03609427,-0.434527,TSS200,cg07298482,-0.431947,TSS200
THBS4,cg10784386,0.41182,TSS200,cg10784386,0.355406,TSS200
TMEM196,cg18505401,0.475934,TSS200,cg18505401,0.365099,TSS200
TRDN,cg14462830,-0.408807,TSS1500,cg14462830,-0.387719,TSS1500
TRPC6,cg23650423,0.473307,TSS200,cg27296293,0.39044,TSS200
TWIST1,cg00240432,0.559137,TSS200,cg04917226,0.395716,TSS1500
UNC5C,cg12584684,0.617455,TSS1500,cg20377606,0.454193,TSS200
UNC5D,cg08000065,0.414853,TSS200,cg13561879,0.378525,TSS1500
VSTM2B,cg18802754,0.423689,TSS1500,cg18802754,0.409652,TSS1500
WDR8,cg04021697,0.407756,TSS1500,cg04021697,0.439231,TSS1500
WDR86,cg17362861,0.535263,TSS200,cg21532325,0.426152,TSS1500
ZNF132,cg24366702,0.48585,TSS200,cg13877915,0.431532,TSS200
ZNF135,cg08701621,0.509002,TSS200,cg08701621,0.477655,TSS200
ZNF334,cg27385032,0.517221,TSS200,cg07139762,0.39206,TSS200
ZNF793,cg14732998,0.480303,TSS200,cg17332326,0.372846,TSS1500
