GO,ID,dbeta,gene,"J,J","J,CZ","J,ER","J,F1","CZ,J","CZ,CZ","CZ,ER","CZ,F1","ER,J","ER,CZ","ER,ER","ER,F1","F1,J","F1,CZ","F1,ER","F1,F1","J,J_rank","J,CZ_rank","J,ER_rank","J,F1_rank","CZ,J_rank","CZ,CZ_rank","CZ,ER_rank","CZ,F1_rank","ER,J_rank","ER,CZ_rank","ER,ER_rank","ER,F1_rank","F1,J_rank","F1,CZ_rank","F1,ER_rank","F1,F1_rank",train_AUC,test_AUC,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,methylation_level,regulation
3,cg00421624,0.35754829,SLC27A3,0.5825,0.57,0.64,0.64,0.59045,0.603,0.672,0.672,0.398002827,0.344818793,0.256124969,0.256124969,0.746224329,0.768152866,0.819512195,0.819512195,344,346,257.5,287,357,352,252.5,281,374,357,243.5,265,369,351,250.5,279,0.853676745,0.78505,0.337994895,0.791644947,19.23025467,2.69E-69,2.83E-67,146.9255745,0.49120504,0.829199935,0.337994895,1,153746588,R,II,TSS1500,shore,TSS1500-shore,chr1:153747655-153748698,,,,,,Hyper,Up
2,cg10266490,0.403402408,ACOT11,0.675,0.675,0.675,0.675,0.7009,0.7009,0.7009,0.7009,0.232002155,0.232002155,0.232002155,0.232002155,0.836895522,0.836895522,0.836895522,0.836895522,259,258,231,255,250,250,224,246,230,230,210,227,243,243,221,240,0.915826801,0.8288,0.397852777,0.609750969,24.12142253,1.57E-99,7.40E-97,216.3102905,0.256104056,0.653956834,0.397852777,1,55013709,R,II,TSS200,opensea,TSS200-opensea,,,,,,,Hyper,Up
2,cg19619405,0.446403635,ADAMTS20,0.74,0.74,0.6775,0.74,0.756,0.756,0.70005,0.756,0.188679623,0.188679623,0.242706098,0.188679623,0.868965517,0.868965517,0.834634873,0.868965517,173,170.5,223.5,167.5,170,167,225,163.5,149.5,153.5,230,156.5,164.5,164.5,228,162.5,0.784727777,0.8761,0.445127076,0.510165688,19.12475612,1.13E-68,1.16E-66,145.4911718,0.114497176,0.559624252,0.445127076,12,43945892,F,I,TSS200,island,TSS200-island,chr12:43944719-43946285,,,,rs275603,rs71455455,Hyper,Up
2,cg03520644,0.356679775,COL11A1,0.6375,0.6375,0.6475,0.6375,0.6666,0.6666,0.6754,0.6666,0.270566535,0.270566535,0.261641453,0.270566535,0.814167939,0.814167939,0.819908953,0.814167939,299,298.5,250.5,294,295,294.5,251,294,287,289.5,252,290,290,290.5,248,290,0.909507812,0.7992,0.361942841,0.558151717,21.74066466,1.50E-84,3.34E-82,181.9246612,0.236424747,0.598367588,0.361942841,1,103574523,F,I,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,Hyper,Up
2,cg09554951,0.35840087,KCNQ1DN,0.8525,0.8525,0.86,0.8525,0.8525,0.8525,0.8624,0.8525,0.1475,0.1475,0.121655251,0.1475,0.920377868,0.920377868,0.927311828,0.920377868,26,26,20,25.5,32.5,32.5,20,32.5,69.5,70.5,36,69.5,33.5,33.5,22,33.5,0.791393377,0.946425,0.197768392,0.53863754,9.370423805,5.67E-20,4.15E-19,34.02543769,0.362843414,0.560611806,0.197768392,11,2890725,R,I,TSS1500,island,TSS1500-island,chr11:2890388-2891337,,,,,,Hyper,Up
2,cg22881914,0.446659199,NID2,0.5175,0.5175,0.5175,0.5175,0.5691,0.5691,0.5757,0.5691,0.36000868,0.36000868,0.341183602,0.36000868,0.750049423,0.750049423,0.758747941,0.750049423,373.5,369.5,344,364,372,368,336,363,366,363,324,360,368,365,332,360,0.870767344,0.78215,0.409052664,0.582789344,13.83578998,1.30E-39,2.99E-38,78.88230969,0.219186976,0.62823964,0.409052664,14,52536147,R,II,TSS1500,island,TSS1500-island,chr14:52534581-52536722,TRUE,,,,,Hyper,Up
2,cg16294013,0.378901949,PDE4B,0.7975,0.7975,0.7975,0.7975,0.80775,0.80775,0.80775,0.80775,0.143200035,0.143200035,0.143200035,0.143200035,0.898748261,0.898748261,0.898748261,0.898748261,82,80.5,68,77.5,78,78,68,75,63,64,62,63,74,74,66,71,0.903908708,0.87685,0.376388809,0.442948549,15.69101745,3.18E-49,1.22E-47,100.8982119,0.108380719,0.484769528,0.376388809,1,66258022,R,II,TSS200,shore,TSS200-shore,chr1:66258440-66258918,,,,,,Hyper,Up
2,cg14502484,0.460474666,SLC6A3,0.5325,0.5325,0.5225,0.5325,0.58275,0.58275,0.5729,0.58275,0.343593146,0.343593146,0.356659852,0.343593146,0.760522023,0.760522023,0.752577997,0.760522023,364.5,359.5,340,355.5,362.5,358.5,337.5,354.5,358.5,354.5,337.5,349.5,360.5,358.5,336.5,351.5,0.861942089,0.8429,0.378089064,0.442745732,17.26228836,6.89E-58,4.10E-56,120.7590681,0.106666564,0.484755628,0.378089064,5,1446208,F,I,TSS1500,island,TSS1500-island,chr5:1444678-1446648,TRUE,,,rs2735852,,Hyper,Up
1,cg09293816,0.3644523098334973,FCGRT,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7876,0.7876,0.7876,0.7876,0.1594521871910197,0.1594521871910197,0.1594521871910197,0.1594521871910197,0.8874366197183099,0.8874366197183099,0.8874366197183099,0.8874366197183099,116.5,115.5,91.5,111.5,113.0,112.0,89.0,107.0,90.0,92.0,81.0,90.0,110.0,109.0,89.0,105.0,0.8989761638137898,0.8203250000000001,0.346437273517655,0.641543533327885,19.6136291638464,1.3987683227559899e-71,1.6385823402044198e-69,152.165341583842,0.333599290201082,0.680036563718736,0.346437273517654,19,50015532,F,II,TSS200,shore,TSS200-shore,chr19:50016531-50016851,True,,,,,Hyper,Up
1,cg26405020,0.3690032323414888,FES,0.74,0.74,0.74,0.74,0.756,0.756,0.756,0.756,0.188679622641132,0.188679622641132,0.188679622641132,0.188679622641132,0.8689655172413793,0.8689655172413793,0.8689655172413793,0.8689655172413793,173.0,170.5,146.5,167.5,170.0,167.0,144.5,163.5,149.5,153.5,138.0,156.5,164.5,164.5,143.0,162.5,0.6762651309123874,0.7732,0.373747707369203,0.543356126904875,17.8889774488542,1.84903668572441e-61,1.32022673114763e-59,128.949034031842,0.211135942576695,0.584883649945898,0.373747707369203,15,91427363,F,II,TSS1500,shore,TSS1500-shore,chr15:91427540-91427905,True,,,,,Hyper,Up
1,cg04037038,0.3683693722461723,FRZB,0.675,0.675,0.675,0.675,0.6981,0.6981,0.6981,0.6981,0.2437724348649781,0.2437724348649781,0.2437724348649781,0.2437724348649781,0.8335522388059702,0.8335522388059702,0.8335522388059702,0.8335522388059702,257.0,256.0,228.0,252.5,255.0,255.0,229.5,251.0,248.0,249.0,231.5,246.0,251.0,253.0,230.5,249.0,0.9029221991148084,0.8394499999999998,0.335562417497304,0.37324925424171,11.6050684262083,4.102013482557e-29,5.2165581587615095e-28,54.8729825359559,0.0749715497996619,0.410533967296966,0.335562417497304,2,183732062,R,I,TSS1500,island,TSS1500-island,chr2:183731819-183732093,True,,,,,Hyper,Up
1,cg01158680,0.4073946771569954,MAGI2,0.6375000000000002,0.6375000000000002,0.6375000000000002,0.6375000000000002,0.6688500000000001,0.6688500000000001,0.6688500000000001,0.6688500000000001,0.2621187707891214,0.2621187707891214,0.2621187707891214,0.2621187707891214,0.8169160305343511,0.8169160305343511,0.8169160305343511,0.8169160305343511,297.0,295.5,261.0,290.5,288.0,288.0,261.0,287.0,273.0,276.0,255.0,276.0,285.0,285.0,259.0,284.0,0.7714765637498,0.7887000000000001,0.400918228063138,0.466653982650067,16.1998174221791,5.566297845871721e-52,2.4578768502731297e-50,107.217269305564,0.110282224371722,0.51120045243486,0.400918228063138,7,79083997,R,II,TSS1500,shore,TSS1500-shore,chr7:79082174-79082427,,,,,,Hyper,Up
1,cg18710784,0.4134293453131063,OPCML,0.7974999999999999,0.7174999999999998,0.7174999999999998,0.7174999999999998,0.80605,0.7371,0.7371,0.7371,0.1546164609606622,0.2015099253138664,0.2015099253138664,0.2015099253138664,0.8968567454798332,0.8583406113537119,0.8583406113537119,0.8583406113537119,82.0,199.5,170.5,194.5,81.0,196.0,167.0,191.0,80.0,175.0,156.0,173.0,82.0,191.0,162.0,187.0,0.868421052631579,0.8330749999999999,0.367406690215914,0.444992947804712,13.9879050875291,2.26434071549094e-40,5.42507304475315e-39,80.6224041377104,0.118409223168343,0.485815913384258,0.367406690215915,11,132813563,R,II,TSS1500,island,TSS1500-island,chr11:132813562-132814395,,,,,,Hyper,Up
1,cg27494647,0.4199243365622295,RARRES2,0.6349999999999998,0.6349999999999998,0.6349999999999998,0.6349999999999998,0.6682999999999999,0.6682999999999999,0.6682999999999999,0.6682999999999999,0.2581181899828062,0.2581181899828062,0.2581181899828062,0.2581181899828062,0.8174923547400611,0.8174923547400611,0.8174923547400611,0.8174923547400611,304.0,304.0,265.0,299.0,290.0,290.0,262.0,289.0,267.0,270.0,247.0,270.0,284.0,284.0,257.0,283.0,0.7846744520876658,0.7547749999999999,0.370545457678151,0.623712137135612,20.949658590427,1.13181098455945e-79,1.9739311438665697e-77,170.73268677734,0.294338396977256,0.664883854655406,0.37054545767815,7,150038898,F,I,TSS200,island,TSS200-island,chr7:150037459-150039031,True,,,,,Hyper,Up
1,cg24848035,0.4359278126134535,RGS22,0.6475,0.6475,0.5549999999999999,0.6475,0.67855,0.67855,0.5984999999999999,0.67855,0.2493115520789199,0.2493115520789199,0.3332041416309227,0.2493115520789199,0.823732928679818,0.823732928679818,0.7697749196141478,0.823732928679818,280.5,280.5,321.5,278.5,276.0,276.0,321.0,274.0,257.0,259.0,319.0,257.0,271.0,271.0,320.0,270.0,0.8348530901722392,0.8412500000000002,0.397815206520279,0.589097407861623,24.4621902682092,1.05151950171455e-101,5.58598499864165e-99,221.30107857112,0.235483890954709,0.633299097474988,0.397815206520279,8,101118525,F,I,TSS200,island,TSS200-island,chr8:101117922-101118693,,True,,rs2980532,,Hyper,Up
1,cg22877509,0.4298632268460982,RUSC1,0.7150000000000001,0.7150000000000001,0.7025000000000001,0.7150000000000001,0.7314,0.7314,0.7222500000000001,0.7314,0.2200568108466538,0.2200568108466538,0.2213735530726288,0.2200568108466538,0.8529446064139942,0.8529446064139942,0.8484581497797357,0.8529446064139942,202.0,201.0,192.5,196.5,206.0,206.0,193.5,201.5,210.0,212.0,197.5,211.5,209.0,209.0,194.5,205.5,0.809550471924492,0.7835000000000002,0.389065989909023,0.512550388044495,15.5732665654372,1.36135080214889e-48,5.0300349414708505e-47,99.4520510424581,0.166713952569809,0.555779942478831,0.389065989909022,1,155290607,R,II,TSS200,island,TSS200-island,chr1:155290606-155291001,True,,,,,Hyper,Up
1,cg07445246,0.3762944703912054,TCL1A,0.7549999999999999,0.7549999999999999,0.7250000000000001,0.7799999999999998,0.7595,0.7595,0.7435999999999999,0.7871999999999999,0.2258871399615303,0.2258871399615303,0.1960229578391266,0.1843908891458578,0.8655270655270655,0.8655270655270655,0.8621449275362317,0.8844943820224719,145.5,142.5,162.0,107.0,165.5,163.0,160.0,112.0,224.5,224.0,149.0,142.0,176.5,175.0,159.0,116.0,0.7994187596651202,0.8848499999999998,0.365089823076832,0.5643659444658,21.359453144435,3.4237937156569e-82,6.78749308943347e-80,176.514024218347,0.239841657286394,0.604931480363226,0.365089823076832,14,96180653,R,I,TSS200,island,TSS200-island,chr14:96180256-96180848,,,,,,Hyper,Up
