ID,gene,dbeta,feature,cluster
cg06169131,FGF8,0.215335,TSS1500,2
cg08714753,FJX1,0.322908,TSS200,4
cg16493531,FLOT1,0.223535,TSS1500,3
cg01537995,FLRT2,0.266484,TSS200,3
cg04617948,FOXI2,0.247666,TSS1500,1
cg00188748,FPGS,0.218036,TSS1500,1
cg23369529,GADD45A,0.223791,TSS1500,1
cg00307214,GALNTL1,0.210484,TSS1500,1
cg12242450,GCNT2,0.216433,TSS200,1
cg09994356,GDAP1L1,0.265455,TSS200,1
cg09350274,GFRA3,0.293177,TSS200,4
cg12914657,GIMAP1,0.210939,TSS200,1
cg12080909,GIT1,0.325646,TSS1500,4
cg25524962,GJA3,0.224146,TSS1500,4
cg02483271,GLI3,0.258999,TSS1500,4
cg14615784,GPR150,0.254078,TSS1500,4
cg01616225,GPR56,0.27706,TSS200,4
cg06223162,GPR88,0.25428,TSS200,4
cg13081720,GPX3,0.28773,TSS200,2
cg18145505,GREM1,0.269768,TSS1500,2
cg22176324,GRHL3,0.340236,TSS1500,1
cg24506221,GSTM1,0.250444,TSS200,1
cg14686113,GSX2,0.21621,TSS1500,1
cg18394340,H2AFY,0.230812,TSS1500,1
cg01561916,HAAO,0.30951,TSS1500,1
cg03628719,HAPLN3,0.253208,TSS200,2
cg11321459,HDAC9,0.260916,TSS1500,1
cg09827752,HES5,0.247547,TSS200,1
cg26621699,HHIP,0.226073,TSS1500,3
cg14088357,HIF3A,0.299554,TSS1500,4
cg10474350,HOXA7,0.262373,TSS1500,1
cg08962452,HOXC11,0.242588,TSS200,1
cg09030672,HSF4,0.22894,TSS200,1
cg14993276,ICAM4,0.242092,TSS200,3
cg14151259,ID4,0.219983,TSS1500,1
cg24865779,IFNGR2,0.282023,TSS200,1
cg12781915,IGF2BP2,0.256458,TSS1500,1
cg13385210,IGFBP4,0.248625,TSS1500,2
cg02309273,INPP5B,0.23203,TSS200,1
cg10119075,ITIH5,0.322129,TSS1500,2
cg17932631,ITPRIPL1,0.258137,TSS1500,3
cg10101773,JDP2,0.247387,TSS1500,1
cg22165175,KCNA2,0.218096,TSS1500,4
cg21415530,KCNK9,0.22922,TSS1500,4
cg27365825,KCNS3,0.286551,TSS1500,4
cg16617366,KIAA0427,0.210062,TSS1500,1
cg07429623,KLHDC8A,0.258523,TSS200,3
cg19884658,KLHL21,0.236392,TSS1500,1
cg20104456,KLK13,0.300921,TSS200,2
cg07947016,KLK2,-0.214381,TSS1500,2
cg20640433,LAMA2,0.26922,TSS200,2
cg19820372,LAYN,0.331979,TSS200,4
cg26412532,LDB1,0.230071,TSS1500,1
cg07793207,LGI1,0.248766,TSS200,3
cg04918402,LIMD2,0.211282,TSS1500,3
cg00028013,LOXL1,0.215523,TSS200,2
cg26117023,LOXL3,0.257545,TSS1500,3
cg14563260,LPAR1,0.338919,TSS1500,4
cg07263235,LPL,0.21977,TSS200,4
cg09242181,LRP4,0.248667,TSS1500,3
cg12136608,LRRN1,0.281768,TSS1500,3
cg25315362,LSAMP,0.2199,TSS200,3
cg26530485,LUZP1,0.236539,TSS1500,4
cg02864688,MAD2L2,0.225142,TSS1500,1
cg02779016,MAP1A,0.215996,TSS200,3
cg14578894,MAPK10,0.241845,TSS200,3
cg23733123,MARVELD1,0.270151,TSS1500,3
cg15639684,MCOLN2,0.29199,TSS1500,3
cg13702629,MEGF11,0.263326,TSS1500,3
cg20431135,MFAP4,0.249898,TSS1500,2
cg03061435,MFSD4,0.262438,TSS1500,4
cg11673244,MIR130B,0.306316,TSS1500,2
cg10382221,MIR152,0.247042,TSS200,2
cg08030987,MIR575,0.240747,TSS1500,2
cg20582655,MIR9-1,0.210536,TSS200,1
cg07964848,MKX,0.264666,TSS1500,1
cg17326090,MN1,0.314607,TSS1500,1
cg09137696,MT1A,0.245594,TSS200,1
cg15355146,MYCL1,0.222262,TSS1500,1
cg18660345,MYL9,0.218718,TSS1500,1
cg00465319,MYLK,0.23364,TSS200,3
cg14916079,NANOS1,0.243068,TSS1500,1
cg19300568,NAT8L,0.263193,TSS1500,1
cg18128969,NCAM2,0.272997,TSS1500,3
cg20902783,NDRG2,0.271904,TSS1500,1
cg00397479,NEU1,0.294824,TSS1500,1
cg05226168,NFATC3,0.355432,TSS1500,1
cg22881914,NID2,0.236509,TSS1500,3
cg25090510,NIPAL4,0.218552,TSS200,3
cg10603004,NKX2-6,0.302057,TSS1500,1
cg03018496,NR2F2,0.216671,TSS200,1
cg23555120,NUAK1,0.26544,TSS200,1
cg26786795,OR4K2,0.215248,TSS200,4
cg01763749,P2RX6,0.243695,TSS1500,4
cg24779587,PACSIN3,0.301845,TSS1500,3
cg00970325,PAQR9,0.242023,TSS1500,4
cg26487157,PCBP1,0.249288,TSS1500,4
cg16294013,PDE4B,0.242767,TSS200,3
cg25110734,PDGFRB,0.279495,TSS1500,3
cg12564285,PDLIM4,0.21876,TSS1500,1
cg18877506,PDPN,0.221844,TSS1500,3
cg26582768,PDZD7,0.222344,TSS1500,3
cg04658021,PER1,0.230903,TSS1500,1
cg06188744,PFKP,0.238373,TSS1500,3
cg05815196,PLA2G3,0.220891,TSS200,4
cg12091331,PLAT,0.259153,TSS200,2
cg20219035,PLBD1,0.270906,TSS200,2
cg24864241,PLEKHA6,0.275921,TSS200,3
cg24182521,PLTP,0.245143,TSS1500,2
cg18235000,PNMA2,0.315985,TSS1500,1
cg17330251,PON1,0.246292,TSS200,2
cg15500865,PON3,0.251338,TSS1500,2
cg20134151,PPP1R14C,0.230905,TSS1500,2
cg14130039,PPT2,0.269175,TSS200,1
cg10630155,PROM1,0.314491,TSS200,3
cg25837803,PTGS2,0.213743,TSS1500,3
cg12100791,PYCARD,0.277962,TSS200,1
cg09555736,RAB11FIP3,0.21275,TSS1500,1
cg18456459,RAB31,0.26482,TSS1500,1
cg19529551,RAB6B,0.231074,TSS1500,1
cg00578638,RAPGEFL1,0.212911,TSS200,4
cg08697665,RARRES1,0.232751,TSS1500,2
cg04540383,RASSF1,0.272407,TSS1500,1
cg08148891,RASSF10,0.245727,TSS1500,1
cg17558126,RASSF5,0.258727,TSS1500,1
cg03671802,RAX,0.24937,TSS1500,1
cg15229124,RBP1,0.34319,TSS1500,1
cg11479165,RBPMS2,0.291507,TSS1500,1
cg03431846,REC8,0.288898,TSS200,1
cg19767131,RIN3,0.232678,TSS1500,4
cg07980518,RNF152,0.351353,TSS200,1
cg04111435,RTN3,0.212723,TSS1500,3
cg08574629,RUSC1,0.23622,TSS200,1
cg19237879,SCUBE2,0.220402,TSS1500,2
cg15339720,SDC1,0.246282,TSS1500,3
cg03702236,SEMA5A,0.296331,TSS1500,3
cg19630689,SERPINA12,0.241958,TSS1500,2
cg00514407,SERPINE2,0.284619,TSS1500,2
cg07452306,SFXN5,0.246267,TSS1500,4
cg17162576,SGIP1,0.320147,TSS1500,3
cg20318845,SIX2,0.219758,TSS1500,1
cg06263461,SLC13A3,0.288058,TSS200,4
cg18624900,SLC16A12,0.22255,TSS1500,4
cg06563300,SLC17A8,0.249466,TSS200,4
cg09691340,SLC25A39,0.271815,TSS1500,1
cg10519140,SLC29A1,0.222934,TSS200,4
cg14777768,SLC2A2,0.357102,TSS1500,4
cg20408693,SLC38A2,0.230797,TSS1500,4
cg11331445,SLC38A4,0.224989,TSS200,4
cg10748765,SLC4A11,0.23685,TSS1500,4
cg14502484,SLC6A3,0.319918,TSS1500,4
cg04621020,SLCO4C1,0.229251,TSS200,4
cg18108623,SLFN11,0.229525,TSS1500,1
cg18334392,SNORD123,0.256794,TSS1500,1
cg27150417,SNX21,0.235532,TSS1500,1
cg09581551,SOBP,0.246883,TSS1500,1
cg07220448,SOSTDC1,0.290607,TSS200,2
cg22970435,SPATS1,0.269459,TSS200,3
cg24393055,SPRY4,0.258499,TSS1500,3
cg03220455,ST6GALNAC2,0.216131,TSS1500,1
cg21447550,SUSD4,0.218742,TSS1500,4
cg19713460,SYNGR1,0.253495,TSS1500,3
cg11873482,TAC1,0.31927,TSS200,4
cg21708058,TACC1,0.252225,TSS200,3
cg12420900,TACC2,0.303996,TSS1500,3
cg19797376,TAL1,0.228347,TSS200,1
cg19914919,TANK,0.216253,TSS1500,1
cg24110050,TCTEX1D1,0.237619,TSS1500,1
cg08924430,TET2,0.282419,TSS1500,1
cg11196237,TLX1,0.257054,TSS200,1
cg05787556,TLX3,0.24564,TSS1500,1
cg08762247,TMEM100,0.230572,TSS200,3
cg18284089,TMEM154,0.213782,TSS200,3
cg24287239,TNFSF11,0.210265,TSS200,3
cg26607748,TPM2,0.231972,TSS200,1
cg21241889,TRAF1,0.231441,TSS1500,3
cg17347389,TRIM9,0.216093,TSS1500,3
cg08378442,TUBA4B,0.309911,TSS1500,1
cg15878619,TUBB,0.232381,TSS1500,1
cg03507241,TUBB6,0.212979,TSS1500,1
cg17395064,TXNRD1,0.283422,TSS200,1
cg15575433,UFSP1,0.23331,TSS1500,3
cg08614290,VIPR2,0.255862,TSS1500,4
cg01698298,VWCE,0.21612,TSS200,1
cg00700485,WFDC2,0.346088,TSS200,2
cg26342637,WFDC5,0.220946,TSS200,2
cg13651986,WIPF1,0.254106,TSS1500,1
cg04683149,WISP1,0.236534,TSS200,2
cg16868298,WNT16,0.24813,TSS200,2
cg11142826,WNT3,0.217456,TSS200,3
cg03950476,ZCCHC11,0.218305,TSS1500,1
cg03795847,ZNF167,0.245995,TSS200,1
cg04020309,ZNF496,0.219572,TSS1500,1
cg16731240,ZNF577,0.295614,TSS200,1
