gene,dbeta,feature,ID,cluster
CD300LG,-0.1579562475296767,TSS200,cg07945335,1
CD68,-0.1352440496165064,TSS200,cg15095917,1
CDA,-0.1032442414147642,TSS200,cg04087271,2
CDO1,0.1084887136134846,TSS200,cg11036833,2
CEACAM1,-0.1159782335492976,TSS200,cg11811510,1
CEACAM20,-0.1052096800337373,TSS1500,cg17384457,1
CEACAM21,-0.1312691188643629,TSS200,cg23241878,1
CEACAM4,-0.1216811967155912,TSS1500,cg21529807,1
CEACAM6,-0.117647499997773,TSS200,cg21126943,1
CENPN,-0.1135791104684589,TSS1500,cg06002197,4
CFHR5,-0.1089451428477772,TSS1500,cg21475781,2
CFTR,-0.114873607200667,TSS1500,cg09181792,1
CHL1,0.1196717502726565,TSS200,cg08421685,1
CHRNA6,-0.1600688198799472,TSS200,cg20539142,1
CLDN1,-0.1172245066710828,TSS1500,cg03623835,1
CLDN10,0.1025336459249133,TSS1500,cg18470456,1
CLEC4G,-0.104876476935062,TSS1500,cg21278129,1
CLIP4,0.1150366884632887,TSS200,cg03135351,2
CMYA5,0.1029314933282431,TSS1500,cg09481121,2
CNDP2,-0.1184596715437347,TSS1500,cg27029518,2
CNGB3,-0.1212569929557203,TSS1500,cg23301462,1
CNTFR,-0.1010817128297136,TSS1500,cg02825887,1
CNTN6,-0.1455163455343832,TSS1500,cg16857113,1
COL22A1,-0.1079941443198149,TSS1500,cg00464788,2
COL7A1,-0.107443424481455,TSS1500,cg18656024,2
COLEC12,-0.1055696648459092,TSS1500,cg19461621,2
COTL1,-0.1525619042038807,TSS1500,cg06528601,2
COX19,-0.1065022238586527,TSS200,cg09125316,2
CPLX3,-0.1061677385394525,TSS1500,cg21389569,1
CPT1A,-0.1251922870511855,TSS1500,cg25890640,1
CST5,-0.1063444376181908,TSS1500,cg22262704,2
CYP11B2,-0.113253724673055,TSS200,cg11324259,2
CYP26C1,0.1163989777694324,TSS1500,cg07225966,2
DARC,-0.1311605070458376,TSS1500,cg18552413,1
DARS,-0.1189510356168546,TSS1500,cg18110444,2
DCD,-0.1399545603108535,TSS1500,cg15016120,2
DCPS,-0.109182024621334,TSS200,cg17494733,4
DDX4,-0.1053048012987138,TSS1500,cg09637885,2
DEFB123,-0.1067566978249092,TSS200,cg11861491,2
DEFB128,-0.1292259661699762,TSS1500,cg23781075,2
DHCR24,-0.1382478227237445,TSS1500,cg17901584,2
DHX15,-0.1089405078746774,TSS1500,cg08739282,4
DLC1,-0.1095911910957519,TSS1500,cg00933411,1
DLGAP2,-0.1014125946554537,TSS1500,cg11691504,1
DLGAP4,-0.1201588406976758,TSS1500,cg10401741,1
DMBT1,-0.1059750246180967,TSS1500,cg07858728,2
DMKN,-0.1235842671220864,TSS200,cg16677448,2
DNAH6,-0.1156808431087266,TSS1500,cg09321363,2
DPPA5,-0.1224498445878753,TSS200,cg23414861,2
DUS1L,-0.1056479465039124,TSS1500,cg07343027,2
DYSF,-0.188003511124213,TSS1500,cg15294851,1
E2F6,-0.1190199780359705,TSS1500,cg17726575,4
EBPL,-0.108299306133956,TSS1500,cg04663916,2
EDN3,-0.1082912937618571,TSS200,cg20910807,2
EEF1E1,-0.1293788404153419,TSS1500,cg20780880,2
EIF2AK1,-0.1017871087610241,TSS1500,cg17570276,2
EIF3G,-0.1004590504359251,TSS1500,cg19766988,2
ELF5,-0.1004281702610755,TSS200,cg26129339,4
ELN,-0.1469140747316795,TSS200,cg03897712,2
ELOVL3,-0.120155388432097,TSS1500,cg00431050,2
EMCN,-0.1060071597287604,TSS1500,cg10512376,1
EMR3,-0.1214442919701143,TSS200,cg15746620,1
EN2,-0.1016508190814442,TSS1500,cg12034383,4
ENC1,-0.1068066751966641,TSS1500,cg18892446,2
ENPP2,-0.1242641828781951,TSS1500,cg06998282,1
ENTPD1,-0.1157580163085446,TSS1500,cg10381771,1
ERG,-0.1007951669226528,TSS200,cg17274064,4
ESM1,-0.1156101142094246,TSS1500,cg16462183,2
ESR1,-0.121120902174302,TSS1500,cg21608605,2
EXOC1,-0.109635136213018,TSS1500,cg18463607,1
EZR,-0.1088794905753382,TSS1500,cg01627594,2
F11R,-0.1013238244708161,TSS1500,cg05754905,1
FABP5,-0.1039755727768145,TSS1500,cg10563714,1
FAM123A,0.1044723184979411,TSS200,cg03369269,1
FAM135A,-0.1184181321596327,TSS1500,cg23194609,2
FAM135B,0.165038306755257,TSS200,cg06383163,2
FAM170B,-0.1285891431533542,TSS200,cg14924620,2
FAM35A,0.1185722474780854,TSS1500,cg00167275,4
FCGBP,-0.1007587056066523,TSS1500,cg19103704,2
FCHO1,-0.1013200671713921,TSS1500,cg18329931,1
FCN1,-0.1100364565568168,TSS1500,cg17357062,2
FER1L4,-0.1051796500185339,TSS200,cg06575425,1
FEV,-0.1120698076503776,TSS1500,cg18664514,4
FFAR2,-0.1285374283381921,TSS200,cg18755094,1
FGF17,-0.1445058676885645,TSS200,cg26069514,2
FGF8,0.1429027903824305,TSS1500,cg25209842,2
FHL2,-0.101254416710956,TSS200,cg22454769,4
FKBP2,-0.1052679643696682,TSS1500,cg12423493,2
FOXI1,-0.1244178774797419,TSS1500,cg21503476,4
FRMD6,-0.1109608109522526,TSS1500,cg00820637,2
FRZB,-0.1025467476008892,TSS1500,cg07721625,2
FSHB,-0.1530439573087065,TSS1500,cg15159060,2
FUCA1,-0.1176114642942044,TSS1500,cg22614927,2
GATAD2B,-0.1645895029950181,TSS1500,cg08202226,4
GGH,-0.1013226560671339,TSS1500,cg04220482,2
GINS4,-0.1065592799331972,TSS1500,cg04472726,4
GLIPR1L2,-0.1305142350396939,TSS1500,cg20291222,1
GLP1R,-0.1114312235163106,TSS1500,cg19772011,1
GLP2R,-0.1107283376019139,TSS1500,cg19806995,1
GLRX,-0.3977269723299289,TSS1500,cg22689909,2
GLTSCR2,-0.1199689645459738,TSS1500,cg15444387,4
GMEB1,-0.1056094081027931,TSS1500,cg11336539,4
GNPDA1,-0.1090665068948309,TSS1500,cg00145118,2
GNS,-0.1034609777927567,TSS1500,cg00626466,2
GP5,-0.1027856858011781,TSS1500,cg00094913,1
GPIHBP1,-0.1108236784027924,TSS1500,cg08293483,1
GPR132,-0.1054834833776457,TSS200,cg19828516,1
GRAMD3,-0.1022879972936111,TSS1500,cg08569425,2
GRIK5,-0.1163902023192852,TSS1500,cg03100024,1
GRXCR1,-0.1135973077304956,TSS200,cg10469791,2
GSTM2,0.1403302156350864,TSS1500,cg12647497,2
GSTO2,-0.1343243386265185,TSS1500,cg26589669,2
GSTP1,-0.123019691727023,TSS1500,cg25866895,2
GTF2A1L,-0.1113203144580757,TSS1500,cg00451397,4
GTF2IRD1,-0.1452262996167118,TSS1500,cg07645228,4
HAO2,-0.118565671935128,TSS1500,cg18791730,2
HAPLN4,-0.1237455931097608,TSS1500,cg03719032,2
HEPHL1,-0.1210212345312964,TSS1500,cg27227042,1
HIC1,-0.1021413322082294,TSS1500,cg10948797,4
HIGD1A,-0.1090638371305931,TSS1500,cg14508777,2
HIST3H2A,-0.1457443494555666,TSS1500,cg07225598,4
HIST3H2BB,-0.1164276632216309,TSS1500,cg17515024,4
HIST4H4,-0.1063603139999366,TSS1500,cg13064062,4
HK2,-0.1246079686409703,TSS1500,cg05595692,2
HLA-DMB,-0.1205589956724834,TSS1500,cg00862588,1
HLA-DPA1,-0.1176448841318905,TSS200,cg13031167,1
HLA-DQA2,-0.1452471279606097,TSS200,cg20821042,1
HMHB1,-0.1018975521024567,TSS200,cg10678215,2
HOXA2,0.1039954591568971,TSS1500,cg02707071,4
HOXA7,-0.1028551143757842,TSS1500,cg02384857,4
HOXC4,-0.1260887085978378,TSS1500,cg26162108,4
HPCAL1,-0.1092243407722607,TSS1500,cg11147193,1
HRAS,-0.1248226968296073,TSS1500,cg05798318,1
HS3ST5,-0.1002279078234101,TSS1500,cg18192491,2
HSF4,0.1129368968015824,TSS200,cg07816687,4
HTR2A,-0.1611498774743517,TSS1500,cg15692052,1
HTR3D,-0.1180804895663551,TSS1500,cg00576550,1
HTRA3,-0.1500643103581474,TSS1500,cg23570923,2
HYAL4,-0.1129884275363251,TSS1500,cg15560337,2
IBSP,-0.1023448306732358,TSS200,cg10969006,2
ICA1,-0.1149926186644482,TSS200,cg16379704,2
IFITM1,-0.1004825009510827,TSS1500,cg01971407,1
IFRD1,-0.136202472603364,TSS200,cg19724567,4
IFT52,-0.1027855047866792,TSS1500,cg03539340,2
IGFL1,-0.1361084590161022,TSS200,cg25246031,2
IL21R,-0.215340671406649,TSS1500,cg08282819,1
IL23A,-0.1042487736516062,TSS1500,cg16865138,2
IL2RA,-0.1941002949700008,TSS1500,cg11127249,1
IL5RA,-0.1215448869831353,TSS1500,cg21594961,1
IMMT,-0.11123560951505,TSS1500,cg10973622,2
INHBE,-0.1106010189492087,TSS1500,cg23998391,2
INPP1,-0.1272827580447097,TSS200,cg15635368,2
INS,-0.1021111840305899,TSS1500,cg16711450,2
ISG20,-0.1301712678209646,TSS1500,cg19009305,4
ITK,-0.1157768026331823,TSS200,cg01546430,1
ITPA,-0.1069145037591985,TSS1500,cg06083669,4
IVNS1ABP,-0.1524337862705552,TSS1500,cg05377162,4
JMJD8,-0.1019493037201386,TSS1500,cg27579097,2
JPH2,-0.1653455355838776,TSS1500,cg05037622,2
KCNK16,-0.1451511134403878,TSS200,cg06543101,1
KCNK18,-0.1010803968462781,TSS200,cg24353740,1
KCNQ1DN,-0.1307655226853742,TSS1500,cg06582202,2
KCNT2,-0.1077957866742521,TSS1500,cg24040450,1
KDM1A,-0.1004726659184758,TSS1500,cg22683154,2
KHDC1L,-0.1036149034316907,TSS1500,cg00732807,2
KIAA0947,-0.1061867689311998,TSS1500,cg19632236,4
KIAA1486,-0.1070032922745649,TSS1500,cg06753901,2
KIAA1644,-0.1036001757548141,TSS1500,cg03392837,1
KIR2DL4,-0.1156880600594956,TSS200,cg00876196,1
KLK6,-0.1133849063343343,TSS1500,cg18552334,2
KLK7,-0.102118443388187,TSS1500,cg19953406,2
KPNA1,-0.1341985250337205,TSS1500,cg25564800,2
KPRP,-0.1014063867841095,TSS1500,cg11950860,2
KRR1,-0.1325773159007554,TSS1500,cg21535462,4
KRT71,-0.1088458448307433,TSS1500,cg08352148,2
KRT85,-0.1171408435153658,TSS1500,cg12689128,2
KRTAP13-1,-0.1092677560411625,TSS200,cg02764897,2
KRTAP17-1,-0.1170537050971756,TSS1500,cg26499286,2
KRTAP19-4,-0.1032113036509084,TSS200,cg06515562,2
KRTAP19-8,-0.1205436839972684,TSS1500,cg06790305,2
KRTAP20-1,-0.1005568790262355,TSS1500,cg25388528,2
KRTAP21-1,-0.1102536323970473,TSS1500,cg22405653,2
KRTAP25-1,-0.1322349483685831,TSS200,cg24145481,2
KRTDAP,-0.1114652947581561,TSS200,cg25717032,2
LAD1,-0.1031728790481943,TSS1500,cg23291161,2
LAMC2,-0.1093502073122858,TSS200,cg12552165,2
LASP1,-0.1376314124640782,TSS1500,cg04569429,2
LCE1B,-0.1370892592662582,TSS1500,cg08878744,2
LCE1C,-0.105001629806494,TSS1500,cg24304714,1
LCE1F,-0.1279935670774365,TSS1500,cg26302157,2
LCE2A,-0.1439850516795567,TSS1500,cg13974761,1
LCE2B,-0.1426692870979792,TSS1500,cg24332770,2
LDHD,-0.1147823145150581,TSS200,cg24429836,2
LELP1,-0.1287520410145782,TSS200,cg00298977,1
LHX8,-0.1062932018390728,TSS1500,cg09766820,4
LILRB1,-0.1769937359518774,TSS1500,cg05365532,1
LMAN2,-0.1191904986361975,TSS1500,cg14599956,2
LPAR5,-0.1066669967002785,TSS1500,cg06588028,2
LPIN3,-0.1098357569682248,TSS1500,cg25748108,2
LRRC34,-0.1016986599817431,TSS1500,cg03369965,2
LRRN4,-0.1151637705842085,TSS1500,cg01869233,1
LTBP1,-0.1543728526818664,TSS200,cg08357990,2
LUZP1,-0.1166157906802517,TSS1500,cg25610515,1
LXN,-0.1029959910443243,TSS1500,cg17481912,2
LY86,-0.1185894750479344,TSS200,cg09249494,2
LYG2,-0.1002521016808865,TSS1500,cg05043910,2
LYPD1,-0.1026505531557577,TSS1500,cg00937742,1
LYPLA2,-0.1048958212054375,TSS1500,cg22166883,2
MACC1,-0.1092629008539727,TSS200,cg24704593,2
MAEL,-0.101608749768458,TSS1500,cg23968893,4
MAL2,-0.1406775142182738,TSS1500,cg16780688,1
MAMSTR,-0.1005189928309584,TSS1500,cg02045294,4
MCC,-0.1626930353141638,TSS1500,cg13531667,2
MCCC2,-0.1541266125981974,TSS1500,cg21626163,2
MCF2L,-0.1014803146043396,TSS200,cg21090298,1
MED9,-0.1197059647560093,TSS1500,cg20850602,4
MEG8,-0.109914068936779,TSS1500,cg26325174,4
MEST,-0.1118328512656532,TSS1500,cg04029027,2
MET,-0.1232245481406018,TSS1500,cg24627299,1
MFN2,-0.1227058711919264,TSS1500,cg18184769,2
MFNG,-0.1039132379926776,TSS1500,cg22406469,2
MGAT4C,-0.1386950642205865,TSS200,cg00321288,2
MGST1,-0.1087937792160163,TSS1500,cg27117982,1
MIP,-0.1162211457082651,TSS1500,cg03677924,1
MIR124-3,0.1064222749913441,TSS1500,cg04927004,3
MIR1265,-0.1151054248847169,TSS1500,cg22745143,3
MIR130A,-0.1098246060820382,TSS200,cg16520038,3
MIR19A,-0.1331070443019608,TSS1500,cg07641807,3
MIR2113,-0.106902467695579,TSS1500,cg25199591,2
MIR298,-0.1044484611629901,TSS200,cg21983491,3
MIR30A,-0.1347739251748539,TSS1500,cg16506910,3
MIR329-2,-0.108159082963143,TSS200,cg06961429,3
MIR346,-0.1018779939977397,TSS200,cg16570507,3
MIR411,-0.1025040633260953,TSS1500,cg18440069,3
MIR412,-0.1068992372423149,TSS1500,cg20547131,2
MIR520C,-0.1242333313604943,TSS1500,cg17670263,3
MIR526A2,-0.1202068433313626,TSS200,cg15937784,2
MIR543,-0.1035074636390995,TSS200,cg05865548,3
MIR654,-0.1022287438366928,TSS1500,cg13995230,3
MIR655,-0.1000396503203055,TSS200,cg11116300,3
MIR663,0.1002387318532455,TSS1500,cg14345012,3
MKS1,-0.101198838673688,TSS1500,cg20903900,2
MMP13,-0.1145320033136118,TSS200,cg22658979,2
MMP9,-0.1104810619843843,TSS1500,cg21451869,2
MNDA,-0.1761560392967687,TSS1500,cg05304729,2
MPO,-0.1408473131256979,TSS1500,cg04988978,2
MRGPRD,-0.1004941671865348,TSS200,cg16659728,1
MTCH2,-0.1103998763413176,TSS1500,cg13932606,4
MTMR6,-0.1074240314971223,TSS1500,cg13555116,2
MUC16,-0.1423803645562475,TSS1500,cg15811371,1
MUC21,-0.1093120414454541,TSS1500,cg13126982,1
MYBPHL,-0.1029961567917965,TSS1500,cg04012600,2
MYH6,-0.1101890438827725,TSS1500,cg21301148,2
MYLK3,-0.1322978045516926,TSS1500,cg26680127,2
MYST1,-0.1344303243631109,TSS1500,cg06205614,4
MYT1,-0.1020249937025847,TSS1500,cg15698171,4
NALCN,0.1138574375065004,TSS200,cg23056157,1
NAPEPLD,-0.1420829986276889,TSS1500,cg08159594,2
NAPG,-0.1136332011925304,TSS1500,cg07392482,2
NDRG1,-0.1137758843652561,TSS1500,cg08691775,2
NEDD9,-0.100740906748767,TSS1500,cg26844213,2
NELL1,0.1278211955646432,TSS200,cg12071328,2
NEU1,-0.1064454573157754,TSS1500,cg19738463,2
NFAT5,-0.1274281968046959,TSS1500,cg04314652,4
NFYC,-0.1147274022315815,TSS200,cg14796708,4
NHLH1,-0.1113546313601685,TSS200,cg00881010,4
NLRP11,-0.1110409424114122,TSS1500,cg02861926,2
NLRP9,-0.1009243288678852,TSS1500,cg12280113,2
NMB,0.1282721373069747,TSS1500,cg12220058,2
NOD2,-0.117377155034133,TSS1500,cg16771652,1
NODAL,-0.1005641365434544,TSS1500,cg05893785,2
NOLC1,-0.1716120413836809,TSS200,cg01060471,4
NOS1,-0.1010383855458066,TSS1500,cg20840426,2
NPFFR1,-0.1502306662183911,TSS1500,cg13585930,1
NR1D1,-0.1553380199618005,TSS1500,cg16757984,4
NR1H4,-0.1301493288212123,TSS1500,cg09244872,4
NR2E1,0.1044016291815204,TSS1500,cg03950614,4
NR2E3,-0.1069887285393738,TSS1500,cg07931844,4
NRXN3,-0.213727417185405,TSS1500,cg16372520,1
NTNG1,-0.1024064172225373,TSS1500,cg09030212,1
OAS2,-0.1003135807762205,TSS1500,cg12560128,4
OBFC2B,-0.1189535783392713,TSS1500,cg10654546,4
ODF3,-0.1156466478700349,TSS1500,cg10335112,2
OLFM1,-0.1154102844461988,TSS1500,cg08268099,2
OR10A4,-0.1253292468390954,TSS1500,cg03898365,1
OR10J1,-0.1112624621632357,TSS1500,cg15700197,1
OR10J5,-0.1261346659088353,TSS1500,cg15015426,1
OR1E1,-0.1161241753286756,TSS1500,cg06965839,1
OR1E2,-0.1184072621440647,TSS1500,cg10231746,1
OR1F1,-0.152160386847118,TSS1500,cg26892635,1
OR1L3,-0.1005939844125971,TSS200,cg08970655,1
OR2AG1,-0.1099522107853073,TSS1500,cg04895001,1
OR2L8,-0.1284567628383682,TSS1500,cg10580513,1
OR2M2,-0.1353254779074153,TSS1500,cg22490229,1
OR4C3,-0.1103032164575411,TSS1500,cg03682622,1
OR4N5,-0.1011295899127136,TSS200,cg23234847,1
OR4X1,-0.121101429652976,TSS1500,cg22827986,1
OR52A4,-0.1103362378390112,TSS1500,cg12593634,1
OR56A3,-0.1152030153437794,TSS1500,cg25451456,1
OR56A5,-0.1095774840548937,TSS1500,cg25798460,1
OR5AU1,-0.1310327517689642,TSS1500,cg13816428,1
OR5D14,-0.1437701669374772,TSS1500,cg21052687,1
OR5D16,-0.1049969491584567,TSS1500,cg25384000,1
OR5D18,-0.1047212039501084,TSS1500,cg12750151,1
OR5H15,-0.1205000887715052,TSS1500,cg01495831,1
OR5P3,-0.1397478724952306,TSS1500,cg25541968,1
OR6B2,-0.1457716507642337,TSS1500,cg00439733,1
OR6B3,-0.1135266283432991,TSS200,cg10906826,1
OR6K3,-0.111433843284542,TSS1500,cg12811284,1
OR6N1,-0.1121463407655464,TSS1500,cg14514991,1
OR7G3,-0.1104035450599816,TSS1500,cg03494634,1
OR8K1,-0.1337175206589893,TSS1500,cg25545500,1
ORMDL3,-0.106952089213666,TSS1500,cg19511844,1
OSBP,-0.1062599314938392,TSS1500,cg11132272,2
PADI6,-0.1015485026957311,TSS1500,cg13879177,2
PARD6B,-0.105786150975012,TSS1500,cg07803218,1
PARP6,-0.1250785747316985,TSS1500,cg25274052,2
PATE1,-0.1117760463211274,TSS1500,cg19345602,2
PATE3,-0.1106380285910864,TSS1500,cg09427644,2
PCDHB10,-0.1190571239125162,TSS200,cg18131851,1
PCDHB6,-0.1124514514329393,TSS1500,cg26866168,1
PCDHB9,-0.1095541666690829,TSS1500,cg25360147,1
PCK1,-0.1001647009458765,TSS200,cg13904968,2
PCP4,-0.1073108410184861,TSS1500,cg16496024,2
PCSK1,-0.1010360392252003,TSS200,cg07145843,2
PDE2A,-0.1246307688522947,TSS1500,cg14790396,2
PDSS2,-0.1073826862819105,TSS1500,cg00766914,2
PDX1,-0.1138016859166384,TSS1500,cg11853320,4
PDYN,-0.1228618444736839,TSS200,cg19143950,1
PGAM2,-0.1014680331603174,TSS1500,cg09644332,2
PGAP1,-0.1123105014661399,TSS1500,cg07859439,2
PGLYRP4,-0.1225147154717726,TSS1500,cg02956542,2
PHF14,-0.1018024974450997,TSS1500,cg27578754,4
PHLDB1,-0.1295702776151452,TSS1500,cg08473858,2
PIPOX,-0.1282236821380214,TSS200,cg00016913,2
PKP3,-0.1169029286856925,TSS1500,cg03547062,1
PLVAP,-0.1203215856118852,TSS200,cg18302786,2
PNOC,-0.1261848737070728,TSS1500,cg19391527,1
PON3,-0.1033504928432101,TSS200,cg07121856,2
PPIL5,-0.1330628829737436,TSS1500,cg13120534,2
PPM1G,-0.1155035804177762,TSS1500,cg15661865,2
PPP1R15B,-0.109873248037225,TSS1500,cg27234786,2
PPP2CB,-0.1137794108309884,TSS1500,cg23693487,2
PPYR1,0.107560548639774,TSS200,cg25761626,1
PRKCDBP,-0.1171173449895927,TSS1500,cg12479098,2
PRNT,-0.115671046612931,TSS200,cg26097573,2
PROM1,-0.1037224741221745,TSS200,cg10630155,1
PRRG2,-0.1024958279835008,TSS1500,cg05696092,1
PRSS16,-0.1020475632924143,TSS1500,cg07081739,2
PRTN3,-0.100971079783133,TSS200,cg17004025,2
PSEN1,-0.1135772986169691,TSS1500,cg09970967,2
PTK2B,-0.1507188694844171,TSS1500,cg00337440,2
PTK6,-0.1185843552089275,TSS200,cg04626878,2
PTMA,-0.1236384595045345,TSS1500,cg07720856,4
PTP4A1,-0.1227883280163358,TSS1500,cg13770399,2
PTP4A2,-0.1467333145221982,TSS1500,cg21545720,2
PTPN13,-0.1227015047563958,TSS1500,cg18337337,2
PTPN7,-0.1326113950228997,TSS1500,cg09887955,2
PTPRH,-0.1085937605684433,TSS1500,cg11613450,2
RAB37,-0.1021861538869712,TSS1500,cg17102112,2
RAB6B,-0.1416867911082592,TSS1500,cg05506480,2
RALGAPA2,-0.1134562910803911,TSS1500,cg14083146,1
RAPGEF2,0.105181027188892,TSS1500,cg13192013,1
RASAL3,-0.1056648533505924,TSS1500,cg00719626,1
RASSF1,-0.1013064882921661,TSS1500,cg23147362,4
RBM12,-0.1020235776195851,TSS1500,cg03168614,4
RBM38,-0.1082225949862666,TSS1500,cg26453670,4
RBM4,-0.1073427702199804,TSS1500,cg10059450,4
RFFL,-0.1834804536169575,TSS1500,cg14050053,2
RFT1,-0.1081504453903117,TSS1500,cg13474998,2
RHOBTB2,-0.1258224506710494,TSS200,cg13402847,1
RINT1,-0.1482357860595722,TSS1500,cg11236311,2
RNASEH2A,-0.2242933618920069,TSS1500,cg13936387,4
RNF215,-0.1017716676354423,TSS1500,cg07074042,2
RPLP1,-0.1135314544362711,TSS1500,cg10716823,2
RPS15A,-0.1036097250793172,TSS1500,cg00399591,2
RTN3,-0.1602187308817734,TSS1500,cg04111435,2
S100A11,-0.1307604179568235,TSS1500,cg10069121,2
S100A2,-0.1077597570828512,TSS200,cg13997435,2
S100A3,-0.1268560563768322,TSS200,cg09680007,1
S100A6,-0.1045090663472722,TSS1500,cg24375627,2
S100A7L2,-0.1250311800536097,TSS1500,cg13356175,2
S100A8,-0.1080345864034586,TSS1500,cg09174555,2
S100A9,-0.1235172626711279,TSS1500,cg03514239,2
S100P,-0.1783658189906733,TSS1500,cg27027375,2
SCGB1D1,-0.1012630586885222,TSS200,cg01772980,2
SCGB1D2,-0.1190819711231864,TSS1500,cg10848367,2
SCOC,-0.1472771228899395,TSS1500,cg04761746,2
SEC14L3,-0.1021350507298219,TSS1500,cg25750901,2
SEC31B,0.1121295829413687,TSS200,cg26705561,2
SEMA3C,-0.1085412649461243,TSS1500,cg09225287,1
SEMA6B,-0.1271512183187247,TSS1500,cg12941931,1
SEPP1,-0.103890943392234,TSS1500,cg25310824,2
