ID,gene,dbeta,feature,cluster
cg08123100,KLKB1,-0.288172,TSS1500,3
cg10742225,KRT13,-0.26862,TSS1500,3
cg21558752,KRT4,-0.276665,TSS1500,3
cg04880990,KRT6A,-0.28718,TSS1500,3
cg10305797,KRTDAP,0.271836,TSS1500,3
cg18080303,LAMA4,0.275453,TSS1500,3
cg01975957,LCE1A,-0.274322,TSS1500,3
cg16320885,LCE5A,-0.296427,TSS200,3
cg00686404,LCTL,0.264054,TSS1500,3
cg00840332,LEP,0.274036,TSS200,3
cg09552641,LILRB4,-0.280621,TSS1500,1
cg12651761,LLGL1,0.299537,TSS1500,3
cg06970571,LOR,-0.305844,TSS200,3
cg16501892,LOXHD1,-0.309893,TSS1500,3
cg18930012,LRIT1,-0.270779,TSS1500,3
cg02970919,LRP2BP,0.321695,TSS1500,3
cg09242181,LRP4,0.262753,TSS1500,3
cg02121427,LRRC15,-0.27827,TSS1500,3
cg05305434,LSP1,-0.265433,TSS200,3
cg01199807,MAP1LC3C,-0.277629,TSS1500,3
cg07959747,MAT1A,-0.331808,TSS1500,3
cg00524814,MBL2,-0.296212,TSS200,3
cg08023751,MERTK,0.284271,TSS1500,3
cg09168501,METTL11B,-0.286825,TSS1500,3
cg04198912,MFSD4,-0.304395,TSS1500,3
cg25152942,MIA,0.281495,TSS1500,3
cg14771451,MICAL3,-0.281556,TSS1500,3
cg25562958,MIR1197,-0.272599,TSS1500,3
cg14416371,MIR129-2,0.315659,TSS200,3
cg19603100,MIR299,-0.272523,TSS200,3
cg14355941,MIR496,-0.284711,TSS1500,3
cg00054741,MIR523,-0.260155,TSS1500,3
cg01716465,MIR548H3,-0.284951,TSS1500,3
cg25960403,MIR572,-0.38634,TSS1500,3
cg20395967,MIR663,0.326228,TSS1500,3
cg26015115,MIR758,-0.296733,TSS1500,3
cg03290602,MIR889,-0.260472,TSS200,3
cg24428232,MIR921,-0.346934,TSS1500,3
cg02940362,MMP26,-0.28607,TSS1500,3
cg10829629,MMRN2,0.300497,TSS200,3
cg03129645,MOXD2,-0.268568,TSS1500,3
cg13828047,MPI,0.3041,TSS1500,3
cg14009075,MPPED1,0.277758,TSS1500,3
cg16659728,MRGPRD,-0.327813,TSS200,1
cg26462595,MRGPRG,-0.270927,TSS200,1
cg05803237,MTNR1B,0.30424,TSS200,1
cg00154957,MYBPHL,-0.313854,TSS1500,3
cg16006701,MYLK4,-0.283563,TSS1500,3
cg18081258,NDRG2,0.271497,TSS1500,3
cg23290344,NEFM,0.359566,TSS1500,3
cg20063106,NGDN,0.283582,TSS1500,2
cg06143658,NGEF,-0.288129,TSS200,3
cg22747746,NKX2-6,0.301606,TSS1500,2
cg07626700,NOM1,0.264031,TSS1500,2
cg05158615,NPY,0.312004,TSS1500,3
cg03958979,NR2E1,0.279263,TSS1500,2
cg01594949,NRARP,0.287639,TSS1500,2
cg04315771,NUP62,0.321618,TSS1500,3
cg20911718,NYNRIN,0.264508,TSS1500,3
cg22791045,OPCML,-0.339589,TSS1500,3
cg16013670,OPN3,-0.309056,TSS1500,1
cg06834698,OR10A3,-0.281774,TSS1500,1
cg15918355,OR10C1,-0.348501,TSS200,1
cg12068949,OR10J5,-0.288582,TSS1500,1
cg26148774,OR10P1,-0.28773,TSS1500,1
cg06565452,OR13C3,-0.338486,TSS1500,1
cg00715811,OR2W5,-0.301108,TSS1500,1
cg26082001,OR4F15,-0.283844,TSS1500,1
cg14486463,OR52B6,-0.325437,TSS200,1
cg07833852,OR52E8,-0.260493,TSS200,1
cg19265886,OR6C2,-0.267874,TSS1500,1
cg14841965,OR6T1,-0.260777,TSS1500,1
cg24174996,OR8B4,-0.266014,TSS1500,1
cg16612699,OR8B8,-0.314958,TSS1500,1
cg10337521,OR8H3,-0.264586,TSS200,1
cg27514538,OTOA,-0.309331,TSS1500,3
cg04961235,PAPOLB,0.273754,TSS200,2
cg26541780,PAQR6,0.26305,TSS200,3
cg07803218,PARD6B,-0.390118,TSS1500,3
cg11283289,PATE1,-0.281125,TSS200,3
cg15133719,PAX3,0.273953,TSS200,2
cg10196720,PCDH10,0.270827,TSS1500,3
cg17144305,PCNXL2,-0.304623,TSS1500,3
cg04518342,PDLIM4,0.271051,TSS1500,3
cg20095656,PFN3,0.29849,TSS200,3
cg09448880,PGLYRP3,-0.340871,TSS1500,3
cg01093088,PGLYRP4,-0.268046,TSS1500,3
cg11037787,PLA2G2A,-0.355497,TSS1500,3
cg26350373,PLA2G4F,-0.29111,TSS200,3
cg05897163,PPP1R1B,0.271834,TSS1500,3
cg15596666,PRAP1,0.263675,TSS200,3
cg11503711,PRB4,-0.31414,TSS1500,3
cg26206598,PREX1,-0.302431,TSS1500,3
cg15357945,PRG2,-0.313702,TSS1500,3
cg02531437,PRLHR,0.272075,TSS200,1
cg14676825,PROCA1,0.274427,TSS200,3
cg04354077,PROKR2,-0.300888,TSS200,1
cg14736058,PROM1,0.367345,TSS200,3
cg01382864,PTPRN,0.316939,TSS200,3
cg27569446,RASSF1,0.312059,TSS200,3
cg19622623,RASSF9,-0.275613,TSS1500,3
cg20441894,RETNLB,-0.302524,TSS200,3
cg17264670,RGS17,0.344431,TSS1500,3
cg23208513,RGS22,0.34738,TSS200,3
cg04374006,RHPN2,0.295499,TSS1500,3
cg03795378,RNASE10,-0.261301,TSS200,3
cg02671171,RPH3AL,-0.280937,TSS1500,3
cg07224221,RTP3,-0.29634,TSS1500,3
cg02813121,S100A12,-0.272424,TSS1500,3
cg21217846,S100A5,0.282267,TSS1500,3
cg14323984,S100P,-0.303895,TSS1500,3
cg05080154,SALL3,0.26199,TSS1500,2
cg00149708,SBK2,-0.310516,TSS1500,3
cg25774643,SCT,0.283556,TSS200,3
cg04965050,SCUBE1,0.275158,TSS1500,3
cg08960448,SEPT12,-0.29862,TSS1500,3
cg00442924,SERPINB7,-0.289438,TSS1500,3
cg04772947,SERPING1,-0.278369,TSS1500,3
cg14899960,SERTAD3,-0.287827,TSS1500,2
cg13235717,SFN,0.260552,TSS1500,3
cg22178613,SFRP2,0.28575,TSS1500,3
cg00880562,SGEF,-0.317524,TSS1500,3
cg00460049,SGIP1,0.265148,TSS1500,3
cg13407883,SIGLEC9,-0.271667,TSS1500,3
cg27252696,SIM1,0.323112,TSS1500,2
cg25737664,SIRPD,-0.304663,TSS1500,3
cg11061975,SIRPG,-0.278326,TSS1500,3
cg06236276,SLC22A2,-0.324607,TSS200,3
cg27610561,SLC2A10,-0.303822,TSS1500,3
cg14777768,SLC2A2,0.283239,TSS1500,3
cg08509840,SLC41A3,0.262729,TSS1500,3
cg21861233,SLC45A4,-0.350945,TSS1500,3
cg05862393,SLC5A12,-0.28993,TSS1500,3
cg11539674,SND1,0.291482,TSS1500,3
cg16937168,SNED1,-0.287817,TSS1500,3
cg06894549,SNORA42,-0.33143,TSS1500,2
cg26202762,SNORD115-10,-0.269403,TSS1500,2
cg18334392,SNORD123,0.284256,TSS1500,2
cg06308109,SNORD32B,-0.30166,TSS1500,2
cg19257200,SOX10,0.356449,TSS1500,2
cg04692506,SPI1,-0.271676,TSS1500,2
cg02909446,SPOCK2,-0.281549,TSS1500,3
cg18771659,SPRR1B,-0.30534,TSS1500,3
cg09169531,SPRR2A,-0.363248,TSS1500,3
cg04138756,SPRR3,-0.295534,TSS1500,3
cg08948808,SPRR4,-0.260117,TSS1500,3
cg22437284,SRC,0.337032,TSS1500,3
cg20084577,STARD13,-0.26165,TSS1500,3
cg20087519,SYCE1,0.320061,TSS200,2
cg22214414,SYCP2,-0.363874,TSS200,2
cg20888142,SYN2,0.319267,TSS200,3
cg19901801,SYT6,0.268942,TSS1500,3
cg12146447,TAC4,-0.263615,TSS1500,3
cg17985646,TBX20,0.3061,TSS200,2
cg10771262,TCF21,-0.285005,TSS1500,2
cg16262614,TF,0.33368,TSS200,3
cg02643667,TFF1,-0.269346,TSS200,3
cg21970261,TFF3,-0.348767,TSS200,3
cg08198430,TGM1,0.282229,TSS1500,3
cg26844246,TLX3,0.301098,TSS200,2
cg10820158,TMEM100,-0.275994,TSS1500,3
cg20624941,TMEM132B,-0.378692,TSS200,3
cg16527552,TMEM145,0.269545,TSS1500,3
cg04111071,TMEM196,0.297523,TSS1500,3
cg26438105,TMEM200C,-0.265623,TSS200,3
cg14982276,TMPRSS2,0.261284,TSS1500,3
cg15844374,TMPRSS5,0.311364,TSS200,3
cg13792581,TOMM34,-0.273065,TSS1500,3
cg19811231,TRAT1,-0.289653,TSS1500,3
cg04840339,TRDN,-0.272797,TSS200,3
cg01128850,TTC36,-0.280013,TSS1500,3
cg15615022,TUBA3C,-0.294819,TSS1500,3
cg05157433,UBD,-0.33417,TSS200,3
cg09355820,UBE4B,-0.304947,TSS1500,3
cg03816954,UCMA,-0.304278,TSS1500,3
cg21004633,UMODL1,-0.296767,TSS1500,3
cg13879483,USP44,0.305952,TSS1500,3
cg01298514,VEGFA,0.384254,TSS1500,3
cg04021697,WDR8,0.26323,TSS1500,3
cg17890298,WFDC13,-0.2979,TSS200,3
cg04683149,WISP1,0.271968,TSS200,3
cg03721528,WNT16,-0.271407,TSS1500,3
cg06289826,ZG16,-0.305399,TSS200,3
cg09578475,ZNF177,0.332115,TSS200,2
cg17710947,ZNF296,-0.287723,TSS1500,2
cg09478103,ZNF485,-0.34515,TSS1500,2
cg05213654,ZNRF4,-0.270404,TSS1500,3
cg17408527,ZSCAN18,0.341578,TSS200,2
