Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
CRTC1,3,cg12034943,CRTC1,0.857109557,0.857109557,90.0,90.0,80.0,0.92081267
SPAG6,3,cg12377139,SPAG6,0.854219949,0.854219949,93.0,92.0,138.0,0.928331467
ASPG,3,cg20965743,ASPG,0.851744186,0.851744186,94.0,94.0,94.0,0.700047992
TACC1,3,cg14284618,TACC1,0.849536665,0.849536665,95.0,95.0,156.0,0.931877566
AIM2,3,cg11003133,AIM2,0.844166667,0.844166667,99.0,101.0,265.0,0.759345171
SEMA4A,3,cg05047401,SEMA4A,0.842922524,0.842922524,102.0,104.0,115.0,0.848317603
PCDH8,3,cg27360326,PCDH8,0.8425,0.8425,104.0,106.0,110.0,0.684157202
CDH5,3,cg00044665,CDH5,0.84,0.84,107.0,109.5,87.0,0.7985389
MPZ,3,cg10896862,MPZ,0.84,0.84,107.0,109.5,134.0,0.763717805
CDH23,3,cg15323528,CDH23,0.8375,0.8375,111.0,114.0,93.0,0.758865248
PLTP,3,cg24182521,PLTP,0.83702796,0.83702796,112.0,115.0,242.0,0.885138378
DPYS,3,cg16783744,DPYS,0.835760435,0.835760435,113.0,116.0,95.0,0.847357756
CLDN10,3,cg25032595,CLDN10,0.8354463,0.8354463,114.0,117.0,76.0,0.866767984
RBPMS,3,cg24586039,RBPMS,0.834021739,0.834021739,117.0,120.0,99.0,0.868207753
CDO1,3,cg02792792,CDO1,0.8325,0.8325,119.0,122.5,116.0,0.806697595
CRMP1,3,cg03544320,CRMP1,0.832446809,0.832446809,120.0,124.0,154.0,0.634858423
MGAT5B,3,cg04946749,MGAT5B,0.831683673,0.831683673,122.0,126.0,102.0,0.748173626
TNFAIP8L3,3,cg05905176,TNFAIP8L3,0.83076087,0.83076087,126.0,128.0,85.0,0.817869141
MAML3,3,cg00875805,MAML3,0.829772727,0.829772727,129.0,130.0,104.0,0.659974404
FLT4,3,cg00489401,FLT4,0.826890034,0.826890034,135.0,135.0,176.0,0.892257239
COL5A2,3,cg09211763,COL5A2,0.826371173,0.826371173,136.0,136.0,96.0,0.849250787
GALNT6,3,cg21253043,GALNT6,0.826225704,0.826225704,137.0,137.0,108.0,0.902922199
MAGI2,3,cg01158680,MAGI2,0.820508658,0.820508658,142.0,142.0,119.0,0.835279689
CD1C,3,cg09149672,CD1C,0.82,0.801521739,143.0,163.0,145.0,0.786514158
LEP,3,cg00840332,LEP,0.818342776,0.818342776,145.0,143.0,122.0,0.876553085
VGLL4,3,cg27083087,VGLL4,0.81826087,0.81826087,146.0,144.0,144.0,0.910840932
RNF216,3,cg21637392,RNF216,0.811083123,0.769017632,151.0,216.0,187.0,0.874660054
PMEPA1,3,cg10100887,PMEPA1,0.8075,0.8075,156.0,153.0,114.0,0.831760252
TGFB2,3,cg07810039,TGFB2,0.807291667,0.807291667,157.0,154.0,185.0,0.79941876
ITGAM,3,cg09743950,ITGAM,0.807005076,0.807005076,158.0,155.0,140.0,0.797819016
CRYM,3,cg16596604,CRYM,0.802792135,0.802792135,163.0,160.0,143.0,0.894576868
DLEU7,3,cg17241776,DLEU7,0.802272727,0.802272727,164.0,161.0,139.0,0.791180078
FRZB,3,cg04037038,FRZB,0.801356589,0.801356589,166.0,164.0,146.0,0.873406922
ADAMTS20,3,cg19619405,ADAMTS20,0.800555556,0.800555556,167.5,166.5,195.0,0.784727777
FCGRT,3,cg09293816,FCGRT,0.7975,0.7975,174.5,173.0,107.0,0.845091452
FES,3,cg26405020,FES,0.7975,0.7975,174.5,173.0,193.0,0.640110916
LTBP2,3,cg27317046,LTBP2,0.7975,0.7975,174.5,173.0,128.0,0.713165893
NOX4,3,cg12161228,NOX4,0.7975,0.7975,174.5,173.0,82.0,0.775715885
TBL1XR1,3,cg17578639,TBL1XR1,0.7975,0.783055556,174.5,194.0,171.0,0.698154962
DSC3,3,cg11814235,DSC3,0.7925,0.7925,184.5,183.0,127.0,0.567962459
LOXL1,3,cg10974980,LOXL1,0.7925,0.7925,184.5,183.0,109.0,0.826774383
TCERG1L,3,cg06304097,TCERG1L,0.790547798,0.790547798,186.0,185.0,162.0,0.841172079
VSTM2A,3,cg21179088,VSTM2A,0.79,0.79,187.0,186.0,159.0,0.762624647
CLDN6,3,cg02732252,CLDN6,0.789166667,0.789166667,188.0,188.0,164.0,0.842558524
SFRP2,3,cg05164933,SFRP2,0.7875,0.845,190.0,99.5,81.0,0.874420093
TNR,3,cg24932457,TNR,0.785,0.785,193.5,192.5,196.0,0.500693222
FGF18,3,cg07100000,FGF18,0.781666667,0.781666667,195.0,196.0,278.0,0.660294353
APCS,3,cg21291134,APCS,0.78,0.78,197.5,198.0,253.0,0.676345118
DOCK2,3,cg08862890,DOCK2,0.78,0.78,197.5,198.0,212.0,0.612541993
GALNT7,3,cg21739530,GALNT7,0.78,0.7925,197.5,183.0,157.0,0.846931158
RUSC1,3,cg22877509,RUSC1,0.77826087,0.77826087,201.0,200.0,166.0,0.809550472
BVES,3,cg20624391,BVES,0.775,0.775,205.0,204.0,175.0,0.728203487
COL11A1,3,cg03520644,COL11A1,0.770569106,0.770569106,212.0,211.0,184.0,0.689089746
RGS20,3,cg03348397,RGS20,0.77,0.77,213.0,212.5,213.0,0.821601877
CD40,3,cg06571407,CD40,0.769183673,0.769183673,215.0,215.0,263.0,0.735775609
SPTBN1,3,cg15602548,SPTBN1,0.768043478,0.768043478,216.0,217.0,188.0,0.808910574
TCL1A,3,cg07445246,TCL1A,0.7675,0.7675,217.0,218.0,179.0,0.80464459
CAV2,3,cg16260298,CAV2,0.765543478,0.765543478,219.0,220.0,191.0,0.74766704
CPXM1,3,cg07113642,CPXM1,0.762393617,0.762393617,220.0,221.0,194.0,0.78587426
ITPKA,3,cg08680048,ITPKA,0.760721649,0.760721649,221.0,222.0,197.0,0.918199755
PDE4B,3,cg16294013,PDE4B,0.758333333,0.758333333,224.0,225.0,202.5,0.682904069
NCOR2,3,cg00765705,NCOR2,0.755,0.77,226.5,212.5,218.0,0.787180718
PPP1R7,3,cg16751493,PPP1R7,0.755,0.755,226.5,228.0,206.0,0.632298832
SCARB2,3,cg13870520,SCARB2,0.7525,0.7525,231.0,233.0,258.5,0.743267744
ID4,3,cg23165899,ID4,0.751521739,0.751521739,234.0,236.0,216.0,0.788780462
SHF,3,cg18582992,SHF,0.750188964,0.750188964,236.0,238.0,207.0,0.777608916
WWP2,3,cg26860604,WWP2,0.749160305,0.749160305,238.0,240.0,199.0,0.869860822
SRRM4,3,cg15341350,SRRM4,0.7475,0.7475,239.0,241.0,320.0,0.803498107
NID2,3,cg22881914,NID2,0.74505102,0.74505102,240.0,242.0,286.0,0.833280009
CARTPT,3,cg08351336,CARTPT,0.745,0.757777778,241.0,227.0,202.5,0.723910841
PPP1R13L,3,cg07517893,PPP1R13L,0.744166667,0.728333333,242.0,265.0,276.0,0.814509678
SST,3,cg02164046,SST,0.742189207,0.742189207,243.0,243.0,224.0,0.848690876
RGS22,3,cg24848035,RGS22,0.741126761,0.741126761,245.0,245.0,314.0,0.83485309
PIP4K2A,3,cg06974428,PIP4K2A,0.74076087,0.74076087,246.0,246.0,226.0,0.779155335
C1QL1,3,cg00164949,C1QL1,0.739174596,0.739174596,249.0,250.0,227.0,0.851490428
GNG4,3,cg09649610,GNG4,0.7375,0.7375,252.0,252.5,285.0,0.693755666
ADAMTS16,3,cg22784954,ADAMTS16,0.737340426,0.737340426,254.0,254.0,231.0,0.675358609
CADM3,3,cg06203976,CADM3,0.737091837,0.737091837,255.0,255.0,220.0,0.796512558
LEPR,3,cg00630958,LEPR,0.735833333,0.735833333,257.5,257.5,234.5,0.677518264
ACVR1,3,cg09499849,ACVR1,0.732393617,0.732393617,260.0,261.0,241.0,0.793393057
RPTOR,3,cg04191427,RPTOR,0.730862944,0.730862944,261.0,262.0,257.0,0.837999253
BMP7,3,cg18759209,BMP7,0.729333333,0.729333333,262.0,264.0,243.0,0.823228283
CDK6,3,cg07469637,CDK6,0.7275,0.730277778,264.0,263.0,290.0,0.805524449
FLRT2,3,cg01537995,FLRT2,0.726486486,0.726486486,266.0,267.0,244.0,0.819548872
ADAMTS12,3,cg26573704,ADAMTS12,0.725786447,0.725786447,268.0,269.0,246.0,0.857969392
F7,3,cg03338754,F7,0.724642857,0.724642857,271.0,272.0,247.0,0.849357436
ADCYAP1,3,cg11859607,ADCYAP1,0.722919937,0.722919937,272.0,273.0,338.0,0.839492348
PDE4C,3,cg15215348,PDE4C,0.7225,0.7225,273.5,274.5,217.0,0.735402336
SH3PXD2A,3,cg06276663,SH3PXD2A,0.722282609,0.722282609,275.0,276.0,249.0,0.680984376
SFRP5,3,cg22831607,SFRP5,0.721666667,0.721666667,276.0,277.0,239.0,0.812909934
SIAH2,3,cg13590228,SIAH2,0.720555556,0.735555556,277.0,259.0,236.0,0.780381806
CLEC14A,3,cg05057720,CLEC14A,0.719782609,0.719782609,279.0,280.0,337.0,0.671225937
PCDH17,3,cg26444528,PCDH17,0.7175,0.7175,280.5,281.5,239.0,0.754732576
RARRES2,3,cg27494647,RARRES2,0.716304348,0.716304348,282.0,283.0,255.0,0.784674452
TAMALIN,3,cg06970510,TAMALIN,0.71,0.71,285.0,285.0,261.0,0.839065749
NBEAL2,3,cg02534363,NBEAL2,0.708691099,0.708691099,286.0,286.0,279.0,0.774329441
COL11A2,3,cg08481075,COL11A2,0.706170213,0.706170213,288.0,288.0,298.0,0.909507812
DNM3,3,cg17154724,DNM3,0.705,0.705,289.0,289.0,260.0,0.7381219
RGS7,3,cg14156405,RGS7,0.703055556,0.703055556,291.0,291.0,284.0,0.585532981
TRIM71,3,cg12338417,TRIM71,0.699473684,0.69,295.0,302.5,267.0,0.82485469
MYT1,3,cg21367256,MYT1,0.694642857,0.694642857,298.0,298.0,273.0,0.806404309
DPYSL2,3,cg07581623,DPYSL2,0.693333333,0.693333333,300.5,300.5,315.0,0.817122594
CCND2,3,cg13391820,CCND2,0.69,0.546630435,302.5,357.0,349.0,0.769983469
PACS2,3,cg12425861,PACS2,0.688888889,0.681944444,305.0,310.0,282.0,0.890524183
IGFBP4,3,cg03635766,IGFBP4,0.688055556,0.688055556,307.0,306.0,322.0,0.436436837
IGF2BP1,3,cg02745847,IGF2BP1,0.6825,0.72076087,310.0,278.0,251.0,0.798432251
RGS17,3,cg17264670,RGS17,0.679734043,0.679734043,311.0,311.0,344.0,0.638617821
NOTCH3,3,cg21514227,NOTCH3,0.67877551,0.472244898,312.0,367.0,363.0,0.804564603
EEF1A2,3,cg26186239,EEF1A2,0.670780856,0.670780856,315.0,314.0,303.0,0.845091452
CD1D,3,cg24432768,CD1D,0.665543478,0.665543478,316.0,315.0,335.0,0.276302458
ADAM19,3,cg13667243,ADAM19,0.66,0.66,319.0,318.0,345.0,0.759825095
HAPLN4,3,cg22694191,HAPLN4,0.652287234,0.652287234,321.0,320.0,299.0,0.752199648
DAB2,3,cg12290311,DAB2,0.650833333,0.650833333,323.0,322.0,301.0,0.736202208
CPEB1,3,cg24319381,CPEB1,0.64356383,0.64356383,327.0,326.0,305.0,0.730176505
ANGPTL2,3,cg08076018,ANGPTL2,0.640833333,0.640833333,329.0,328.0,355.0,0.822161787
CYYR1,3,cg19678828,CYYR1,0.640459184,0.640459184,330.0,329.0,339.0,0.762704634
MAP3K11,3,cg19811337,MAP3K11,0.6375,0.6375,331.0,330.0,310.0,0.771476564
EZR,3,cg22871253,EZR,0.636437659,0.636437659,332.0,331.0,311.0,0.917133259
PENK,3,cg04127342,PENK,0.635,0.635,334.0,333.0,366.5,0.774516077
SYN2,3,cg15873301,SYN2,0.6325,0.6325,335.0,334.0,334.0,0.873406922
TSSK6,3,cg25352836,TSSK6,0.625,0.625,337.0,336.0,343.0,0.849330774
AHNAK,3,cg25272143,AHNAK,0.622393617,0.622393617,339.0,338.0,318.0,0.758545299
FMN2,3,cg15031661,FMN2,0.620971867,0.620971867,340.0,339.0,319.0,0.879805898
DDR2,3,cg19313373,DDR2,0.619897959,0.619897959,342.0,340.0,321.0,0.954114008
PDPN,3,cg18877506,PDPN,0.6125,0.685,343.5,308.0,288.0,0.751399776
STIM1,3,cg13782615,STIM1,0.611734694,0.611734694,345.0,343.0,348.0,0.799578734
EPHB1,3,cg15000071,EPHB1,0.595,0.595,350.0,348.0,352.0,0.856662934
USP44,3,cg07783282,USP44,0.580406091,0.580406091,351.0,349.0,336.0,0.942969125
UTF1,3,cg09053680,UTF1,0.57627551,0.57627551,352.0,350.0,359.0,0.869354237
L1TD1,3,cg23049458,L1TD1,0.575189873,0.575189873,353.0,351.0,340.0,0.812136725
BCAS3,3,cg10588135,BCAS3,0.566666667,0.566666667,355.0,353.0,364.0,0.788913774
FMNL2,3,cg24749089,FMNL2,0.565,0.565,356.0,354.0,342.0,0.814962939
CAPZB,3,cg25839439,CAPZB,0.553333333,0.532307692,358.0,359.0,354.0,0.848210953
FGF8,3,cg06169131,FGF8,0.54845953,0.54845953,359.0,356.0,361.0,0.863808457
GCK,3,cg13476133,GCK,0.546492147,0.546492147,360.0,358.0,370.0,0.842371887
NHERF1,3,cg06389019,NHERF1,0.529081633,0.529081633,362.0,361.0,360.0,0.861942089
AJAP1,3,cg26231761,AJAP1,0.5225,0.5225,365.0,364.0,371.0,0.780675092
EFEMP1,3,cg05385513,EFEMP1,0.505185185,0.505185185,367.0,366.0,333.0,0.865221565
SCT,3,cg25774643,SCT,0.467849462,0.467849462,368.0,368.0,346.0,0.832213513
CD247,3,cg05799811,CD247,0.392222222,0.392222222,371.0,371.0,369.0,0.792166587
HCK,3,cg17508991,HCK,0.355751812,0.355751812,372.0,372.0,372.0,0.794219592
ATXN1,3,cg24067911,ATXN1,0.341479592,0.341479592,374.0,374.0,374.0,0.86028902
RASSF1,3,cg04540383,RASSF1,-0.022727273,0.067939394,375.0,375.0,375.0,0.795712686
RALYL,3,cg04842146,RALYL,0.89605236,0.89605236,45.0,44.0,36.0,0.795499387
AFAP1L1,3,cg09651145,AFAP1L1,0.809009309,0.809009309,155.0,152.0,283.0,0.880445795
SPHKAP,3,cg12001304,SPHKAP,0.8,0.8,169.5,168.5,149.5,0.783821255
AFAP1,3,cg23750206,AFAP1,0.710543478,0.710543478,284.0,284.0,264.0,0.725430598
MPPED2,3,cg13342435,MPPED2,0.774710744,0.774710744,207.0,206.0,180.0,0.910094385
