Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
MSC,3,cg23710218,MSC,0.707446809,0.707446809,287.0,287.0,294.0,0.828454114
MYF6,3,cg05860723,MYF6,0.8875,0.8875,54.0,54.0,44.0,0.78387458
NEUROD1,3,cg06714480,NEUROD1,1.0,1.0,1.0,1.0,1.0,0.866474697
NFIL3,3,cg07084627,NFIL3,0.810277778,0.810277778,152.0,149.0,165.0,0.813843118
NKX2-1,3,cg23906738,NKX2-1,0.524895833,0.524895833,363.0,362.0,357.0,0.870767344
NKX2-2,3,cg22474464,NKX2-2,0.7375,0.739946809,252.0,249.0,341.0,0.767077268
NKX2-8,3,cg18396984,NKX2-8,0.835,0.835,115.0,118.0,351.0,0.800485256
NKX6-2,3,cg11174855,NKX6-2,0.980392157,0.980392157,4.0,5.0,12.0,0.860235696
NR1H3,3,cg24909660,NR1H3,0.5225,0.5225,365.0,364.0,358.0,0.74756039
NR1I2,3,cg12702981,NR1I2,0.698488372,0.698488372,296.0,295.0,258.5,0.784381166
NR5A2,3,cg06880420,NR5A2,0.830769231,0.871794872,125.0,74.0,62.0,0.944648856
ONECUT2,3,cg25547580,ONECUT2,0.8956743,0.8956743,47.0,46.0,49.0,0.856876233
OTX1,3,cg07974511,OTX1,0.6475,0.6475,325.0,324.0,332.0,0.806724257
OTX2,3,cg13023623,OTX2,0.818832796,0.782670963,144.0,195.0,173.0,0.868421053
PAX2,3,cg04436818,PAX2,0.881283069,0.881283069,61.0,61.0,111.0,0.814616328
PAX3,3,cg15133719,PAX3,0.923705722,0.923705722,26.0,25.0,20.0,0.875113315
PAX5,3,cg13482308,PAX5,0.694444444,0.694444444,299.0,299.0,274.0,0.816296059
PAX6,3,cg18372607,PAX6,0.607208672,0.607208672,348.0,347.0,330.0,0.84551805
PAX9,3,cg04415798,PAX9,0.787282609,0.787282609,191.0,190.0,172.0,0.762651309
PBX1,3,cg26026748,PBX1,0.805,0.805,159.5,156.5,137.0,0.757185517
PDX1,3,cg26299169,PDX1,0.775,0.775,205.0,204.0,169.0,0.71001973
PHOX2A,3,cg18722841,PHOX2A,0.753317721,0.753317721,229.0,231.0,210.0,0.877192982
PITX1,3,cg00396667,PITX1,0.909547739,0.909547739,34.0,34.0,26.0,0.891670666
PITX2,3,cg05835105,PITX2,0.726170213,0.726170213,267.0,268.0,245.0,0.71556551
POU4F1,3,cg08097882,POU4F1,0.786358913,0.786358913,192.0,191.0,168.0,0.912360689
POU4F2,3,cg06083330,POU4F2,0.752467532,0.752467532,232.0,234.0,214.0,0.91070762
PRDM13,3,cg17302155,PRDM13,0.67826087,0.67826087,313.0,312.0,295.0,0.70391404
PRDM14,3,cg13267264,PRDM14,0.737045455,0.737045455,256.0,256.0,280.0,0.705033861
PRDM16,3,cg03082523,PRDM16,0.854636591,0.853410121,92.0,93.0,78.0,0.898309604
PTF1A,3,cg06550984,PTF1A,0.913842239,0.913842239,33.0,33.0,215.0,0.800671892
RARB,3,cg21646032,RARB,0.750555556,0.750555556,235.0,237.0,209.0,0.820135445
RFX1,3,cg18642503,RFX1,0.8625,0.8625,84.0,84.0,72.0,0.806324321
RUNX1,3,cg15242225,RUNX1,0.824244186,0.824244186,138.0,138.0,133.0,0.771663201
SALL1,3,cg01146232,SALL1,0.81763285,0.81763285,148.0,146.0,126.0,0.878686077
SALL2,3,cg00800229,SALL2,0.868586957,0.868586957,75.0,75.0,189.0,0.825147976
SALL3,3,cg10717463,SALL3,0.934383202,0.934383202,17.0,17.0,35.0,0.822961659
SIM1,3,cg27252696,SIM1,0.71127551,0.698367347,283.0,296.5,289.0,0.895723351
SIX3,3,cg00097146,SIX3,0.78,0.78,197.5,198.0,277.0,0.659254519
SIX6,3,cg13019491,SIX6,0.636326531,0.636326531,333.0,332.0,312.0,0.748920173
SMYD3,3,cg25025181,SMYD3,0.777045455,0.777045455,202.0,201.0,177.0,0.780488455
SOX1,3,cg24604013,SOX1,0.87628866,0.87628866,70.0,69.0,25.0,0.797632379
SOX14,3,cg16428251,SOX14,0.645,0.645,326.0,325.0,287.0,0.761531488
SOX17,3,cg08044097,SOX17,0.675,0.675,314.0,313.0,291.0,0.751319789
STAT5A,3,cg20388732,STAT5A,0.8801646,0.846188067,65.0,98.0,132.0,0.889617661
TBX15,3,cg02177231,TBX15,0.795,0.795,181.0,179.0,130.0,0.808563963
TBX18,3,cg06733419,TBX18,0.83998227,0.83998227,109.0,112.0,89.0,0.820322082
TCF7L1,3,cg07847030,TCF7L1,0.81524428,0.81524428,149.0,147.0,155.0,0.667839812
TLX1,3,cg14861089,TLX1,0.956852792,0.956852792,6.0,6.0,4.0,0.884738442
TLX2,3,cg21185289,TLX2,0.779183673,0.80127551,200.0,165.0,147.0,0.874766704
TLX3,3,cg26844246,TLX3,0.829931973,0.829931973,128.0,129.0,103.0,0.78398123
WT1,3,cg10244666,WT1,0.880102041,0.880102041,66.0,65.0,52.0,0.724684051
ZBTB46,3,cg18369516,ZBTB46,0.701666667,0.701666667,293.0,293.0,252.0,0.857302832
ZFP42,3,cg06274159,ZFP42,0.620547945,0.608767123,341.0,346.0,329.0,0.884258519
ZIC1,3,cg04738965,ZIC1,0.814249364,0.814249364,150.0,148.0,90.0,0.890070922
ZIC4,3,cg16768018,ZIC4,0.81,0.81,154.0,151.0,120.5,0.800005332
ZIC5,3,cg20985450,ZIC5,0.804281984,0.804281984,161.0,158.0,269.0,0.826214472
ZNF521,3,cg21183523,ZNF521,0.684021739,0.684021739,309.0,309.0,296.0,0.835199701
ZSCAN18,3,cg14231297,ZSCAN18,0.7375,0.7375,252.0,252.5,271.0,0.769130272
BHLHE23,3,cg26492446,BHLHE23,0.79326087,0.79326087,183.0,181.0,250.0,0.801551752
