Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
PPP1R13L,1,cg07517893,PPP1R13L,0.744166667,0.728333333,242.0,265.0,276.0,0.814509678
PPP1R14A,1,cg02571816,PPP1R14A,0.770867347,0.770867347,211.0,210.0,182.0,0.787127393
PPP1R7,1,cg16751493,PPP1R7,0.755,0.755,226.5,228.0,206.0,0.632298832
PRKCB,1,cg03306374,PRKCB,0.870786517,0.893726592,74.0,47.0,38.0,0.916386711
PRR5,1,cg26995244,PRR5,0.8,0.8,169.5,168.5,149.5,0.854316643
PTN,1,cg08991965,PTN,0.831521739,0.831521739,124.0,127.0,129.0,0.82829414
RAB11FIP1,1,cg14089503,RAB11FIP1,0.950405716,0.950405716,10.0,10.0,11.0,0.847011145
RAB22A,1,cg26029902,RAB22A,0.932249322,0.874579946,18.0,71.0,59.0,0.835999573
RAD54B,1,cg25305774,RAD54B,0.893013819,0.893013819,48.0,48.0,40.0,0.879219325
RARRES2,1,cg27494647,RARRES2,0.716304348,0.716304348,282.0,283.0,255.0,0.784674452
RASSF1,1,cg04540383,RASSF1,-0.022727273,0.067939394,375.0,375.0,375.0,0.795712686
RBM47,1,cg10019467,RBM47,0.860526316,0.860526316,87.0,87.0,87.0,0.882338826
RBPMS,1,cg24586039,RBPMS,0.834021739,0.834021739,117.0,120.0,99.0,0.868207753
RECK,1,cg12717594,RECK,0.703884514,0.703884514,290.0,290.0,326.0,0.875139978
RGS12,1,cg19974227,RGS12,0.914036939,0.914036939,32.0,32.0,92.0,0.867514531
RGS17,1,cg17264670,RGS17,0.679734043,0.679734043,311.0,311.0,344.0,0.638617821
RGS2,1,cg05374271,RGS2,0.925531915,0.925531915,24.0,23.0,13.0,0.818642351
RGS20,1,cg03348397,RGS20,0.77,0.77,213.0,212.5,213.0,0.821601877
RGS22,1,cg24848035,RGS22,0.741126761,0.741126761,245.0,245.0,314.0,0.83485309
RGS7,1,cg14156405,RGS7,0.703055556,0.703055556,291.0,291.0,284.0,0.585532981
RPTOR,1,cg04191427,RPTOR,0.730862944,0.730862944,261.0,262.0,257.0,0.837999253
RUSC1,1,cg22877509,RUSC1,0.77826087,0.77826087,201.0,200.0,166.0,0.809550472
SCARB2,1,cg13870520,SCARB2,0.7525,0.7525,231.0,233.0,258.5,0.743267744
SCT,1,cg25774643,SCT,0.467849462,0.467849462,368.0,368.0,346.0,0.832213513
SEMA4A,1,cg05047401,SEMA4A,0.842922524,0.842922524,102.0,104.0,115.0,0.848317603
SERPING1,1,cg15918732,SERPING1,0.947368421,0.947368421,11.0,11.0,15.0,0.789260385
SFRP2,1,cg05164933,SFRP2,0.7875,0.845,190.0,99.5,81.0,0.874420093
SFRP5,1,cg22831607,SFRP5,0.721666667,0.721666667,276.0,277.0,239.0,0.812909934
SH3PXD2A,1,cg06276663,SH3PXD2A,0.722282609,0.722282609,275.0,276.0,249.0,0.680984376
SHF,1,cg18582992,SHF,0.750188964,0.750188964,236.0,238.0,207.0,0.777608916
SHISA3,1,cg14866200,SHISA3,0.831658291,0.789346734,123.0,187.0,163.0,0.76321122
SLITRK1,1,cg16727923,SLITRK1,0.623010204,0.623010204,338.0,337.0,317.0,0.809443822
SPAG6,1,cg12377139,SPAG6,0.854219949,0.854219949,93.0,92.0,138.0,0.928331467
SPTBN1,1,cg15602548,SPTBN1,0.768043478,0.768043478,216.0,217.0,188.0,0.808910574
SRGAP3,1,cg00907288,SRGAP3,0.896704136,0.896704136,44.0,43.0,205.0,0.839998934
SRRM4,1,cg15341350,SRRM4,0.7475,0.7475,239.0,241.0,320.0,0.803498107
SST,1,cg02164046,SST,0.742189207,0.742189207,243.0,243.0,224.0,0.848690876
ST7,1,cg00764217,ST7,0.847866419,0.847866419,96.0,96.0,237.0,0.806910894
STAG3,1,cg04778012,STAG3,0.702272727,0.702272727,292.0,292.0,254.0,0.813469845
SYN2,1,cg15873301,SYN2,0.6325,0.6325,335.0,334.0,334.0,0.873406922
TAC1,1,cg17437939,TAC1,0.776223404,0.776223404,203.0,202.0,192.0,0.808377326
TACC1,1,cg14284618,TACC1,0.849536665,0.849536665,95.0,95.0,156.0,0.931877566
TBL1XR1,1,cg17578639,TBL1XR1,0.7975,0.783055556,174.5,194.0,171.0,0.698154962
TCERG1L,1,cg06304097,TCERG1L,0.790547798,0.790547798,186.0,185.0,162.0,0.841172079
TCL1A,1,cg07445246,TCL1A,0.7675,0.7675,217.0,218.0,179.0,0.80464459
TGFB2,1,cg07810039,TGFB2,0.807291667,0.807291667,157.0,154.0,185.0,0.79941876
TGFBR3,1,cg17080882,TGFBR3,0.902857143,0.902857143,38.0,37.0,28.0,0.902308964
TIMP2,1,cg05306745,TIMP2,0.625901876,0.625901876,336.0,335.0,316.0,0.830560444
TMEM45B,1,cg18282388,TMEM45B,0.8275,0.84,133.5,109.5,87.0,0.736708793
TNFAIP8L3,1,cg05905176,TNFAIP8L3,0.83076087,0.83076087,126.0,128.0,85.0,0.817869141
TOX2,1,cg19593767,TOX2,0.885786802,0.885786802,57.0,57.0,67.0,0.793553032
TRH,1,cg01009664,TRH,0.931016775,0.931016775,20.0,19.0,22.0,0.924972004
TSSK6,1,cg25352836,TSSK6,0.625,0.625,337.0,336.0,343.0,0.849330774
TXNRD1,1,cg05741937,TXNRD1,0.882653061,0.882653061,60.0,60.0,50.0,0.760491655
USP44,1,cg07783282,USP44,0.580406091,0.580406091,351.0,349.0,336.0,0.942969125
UTF1,1,cg09053680,UTF1,0.57627551,0.57627551,352.0,350.0,359.0,0.869354237
VGLL4,1,cg27083087,VGLL4,0.81826087,0.81826087,146.0,144.0,144.0,0.910840932
VSTM2A,1,cg21179088,VSTM2A,0.79,0.79,187.0,186.0,159.0,0.762624647
WNT3A,1,cg26841013,WNT3A,0.915,0.915,31.0,31.0,46.0,0.732656108
AFAP1,1,cg23750206,AFAP1,0.710543478,0.710543478,284.0,284.0,264.0,0.725430598
AFAP1L1,1,cg09651145,AFAP1L1,0.809009309,0.809009309,155.0,152.0,283.0,0.880445795
NOL4,1,cg14002960,NOL4,0.801666667,0.801666667,165.0,162.0,120.5,0.835786274
RALYL,1,cg04842146,RALYL,0.89605236,0.89605236,45.0,44.0,36.0,0.795499387
SPHKAP,1,cg12001304,SPHKAP,0.8,0.8,169.5,168.5,149.5,0.783821255
TMEM132D,1,cg12122146,TMEM132D,0.855,0.855,91.0,91.0,77.0,0.695995307
KLHL35,1,cg05327192,KLHL35,0.925,0.925,25.0,24.0,19.0,0.814056418
PRR15,1,cg18451588,PRR15,0.5725,0.57,354.0,352.0,353.0,0.861382179
