Gene,Cluster,Probe_ID,gene,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
EBF1,1,cg16126280,EBF1,0.754565217,0.754565217,228,229,208,0.789233723
PHOX2A,1,cg18722841,PHOX2A,0.753317721,0.753317721,229,231,210,0.877192982
EOMES,1,cg15540820,EOMES,0.753106255,0.753106255,230,232,211,0.832933397
POU4F2,1,cg06083330,POU4F2,0.752467532,0.752467532,232,234,214,0.91070762
RARB,1,cg21646032,RARB,0.750555556,0.750555556,235,237,209,0.820135445
HOXA4,1,cg07317062,HOXA4,0.749319899,0.749319899,237,239,221,0.907508132
CUX1,1,cg06173663,CUX1,0.74,0.74,247.5,247.5,233,0.692129259
HOXD8,1,cg09238180,HOXD8,0.74,0.74,247.5,247.5,297,0.831253666
NKX2-2,1,cg22474464,NKX2-2,0.7375,0.739946809,252,249,341,0.767077268
ZSCAN18,1,cg14231297,ZSCAN18,0.7375,0.7375,252,252.5,271,0.769130272
PRDM14,1,cg13267264,PRDM14,0.737045455,0.737045455,256,256,280,0.705033861
PHLDB1,1,cg04142864,PHLDB1,0.735833333,0.735833333,257.5,257.5,234.5,0.802404949
IRF4,1,cg06392169,IRF4,0.7325,0.7325,259,260,223,0.566256066
PITX2,1,cg05835105,PITX2,0.726170213,0.726170213,267,268,245,0.71556551
EVX1,1,cg15564098,EVX1,0.7225,0.7225,273.5,274.5,222,0.722391084
CCDC8,1,cg03576469,CCDC8,0.72,0.72,278,279,239,0.70945982
SIM1,1,cg27252696,SIM1,0.71127551,0.698367347,283,296.5,289,0.895723351
MSC,1,cg23710218,MSC,0.707446809,0.707446809,287,287,294,0.828454114
STAG3,1,cg04778012,STAG3,0.702272727,0.702272727,292,292,254,0.813469845
ZBTB46,1,cg18369516,ZBTB46,0.701666667,0.701666667,293,293,252,0.857302832
CREB3L2,1,cg18091615,CREB3L2,0.699782609,0.699782609,294,294,270,0.678718072
NR1I2,1,cg12702981,NR1I2,0.698488372,0.698488372,296,295,258.5,0.784381166
ALX3,1,cg06215569,ALX3,0.698367347,0.698367347,297,296.5,272,0.784754439
PAX5,1,cg13482308,PAX5,0.694444444,0.694444444,299,299,274,0.816296059
IRX1,1,cg10530883,IRX1,0.689946809,0.689946809,304,304,323,0.828720738
FOXG1,1,cg07489048,FOXG1,0.687287234,0.687287234,308,307,281,0.723430918
ZNF521,1,cg21183523,ZNF521,0.684021739,0.684021739,309,309,296,0.835199701
PRDM13,1,cg17302155,PRDM13,0.67826087,0.67826087,313,312,295,0.70391404
SOX17,1,cg08044097,SOX17,0.675,0.675,314,313,291,0.751319789
GLI2,1,cg13713922,GLI2,0.662018048,0.662018048,318,317,324,0.863808457
OTX1,1,cg07974511,OTX1,0.6475,0.6475,325,324,332,0.806724257
SOX14,1,cg16428251,SOX14,0.645,0.645,326,325,287,0.761531488
HOXD11,1,cg11546137,HOXD11,0.643333333,0.643333333,328,327,306,0.86639471
SIX6,1,cg13019491,SIX6,0.636326531,0.636326531,333,332,312,0.748920173
SLITRK1,1,cg16727923,SLITRK1,0.623010204,0.623010204,338,337,317,0.809443822
ZFP42,1,cg06274159,ZFP42,0.620547945,0.608767123,341,346,329,0.884258519
AHRR,1,cg03604011,AHRR,0.609061662,0.609061662,347,345,328,0.926651736
PAX6,1,cg18372607,PAX6,0.607208672,0.607208672,348,347,330,0.84551805
PRR15,1,cg18451588,PRR15,0.5725,0.57,354,352,353,0.861382179
NKX2-1,1,cg23906738,NKX2-1,0.524895833,0.524895833,363,362,357,0.870767344
NR1H3,1,cg24909660,NR1H3,0.5225,0.5225,365,364,358,0.74756039
FAIM2,1,cg06947913,FAIM2,0.441020408,0.441020408,370,370,368,0.589372367
CFTR,2,cg00735923,CFTR,0.989769821,0.989769821,2,2,27,0.861648803
NLRP3,2,cg12280471,NLRP3,0.954750656,0.954750656,8,8,6,0.789340372
SERPING1,2,cg15918732,SERPING1,0.947368421,0.947368421,11,11,15,0.789260385
SSTR4,2,cg07676859,SSTR4,0.947166667,0.947166667,12,12,8,0.87660641
KCNE3,2,cg04574090,KCNE3,0.930666667,0.930666667,21,20,16,0.839865622
ADORA3,2,cg14669379,ADORA3,0.929919137,0.929919137,22,21,97,0.903908708
FCRL3,2,cg25259754,FCRL3,0.923564287,0.923564287,27,26,21,0.898976164
BCAT1,2,cg20399616,BCAT1,0.918367347,0.918367347,30,30,23,0.868661014
ADORA2B,2,cg07563400,ADORA2B,0.905128205,0.923076923,37,27,39,0.942329227
CACNA1E,2,cg11388802,CACNA1E,0.9,0.9,41,40,135,0.819708847
CNGA3,2,cg19370054,CNGA3,0.895774648,0.895774648,46,45,113,0.797819016
RAD54B,2,cg25305774,RAD54B,0.893013819,0.893013819,48,48,40,0.879219325
CHST2,2,cg17373442,CHST2,0.891867392,0.891867392,49,49,43,0.767930464
LILRA2,2,cg14575739,LILRA2,0.889347826,0.889347826,53,53,63,0.80008532
SLC6A3,2,cg14502484,SLC6A3,0.886831512,0.886831512,55,55,45,0.829227324
HS3ST2,2,cg08214995,HS3ST2,0.88078526,0.88078526,64,64,65,0.856049699
MIR196A1,2,cg01452847,MIR196A1,0.8775,0.8775,68,67,56,0.837865941
GALR1,2,cg03502002,GALR1,0.875,0.875,71,70,91,0.823094971
CYP1B1,2,cg09799983,CYP1B1,0.866734977,0.866734977,78,78,68,0.882072202
GRIA4,2,cg15603568,GRIA4,0.864779149,0.864779149,82,82,71,0.78998027
KCNIP4,2,cg06482428,KCNIP4,0.845,0.845,98,99.5,153,0.698128299
LPAR5,2,cg25136495,LPAR5,0.843537415,0.843537415,101,103,83,0.933050712
GRM1,2,cg08958294,GRM1,0.84,0.84,107,109.5,70,0.590492188
NPY,2,cg05158615,NPY,0.834281812,0.834281812,116,119,98,0.908867914
VOPP1,2,cg21959598,VOPP1,0.833342449,0.833342449,118,121,100,0.930277822
CMKLR1,2,cg08337166,CMKLR1,0.832061069,0.832061069,121,125,131,0.83829254
PTN,2,cg08991965,PTN,0.831521739,0.831521739,124,127,129,0.82829414
CSMD3,2,cg22052659,CSMD3,0.829145729,0.829145729,130,131,183,0.81530955
CRHBP,2,cg04306063,CRHBP,0.828201061,0.828201061,131,132,105,0.884365168
SSH1,2,cg19256314,SSH1,0.82772846,0.82772846,132,133,123,0.866074761
PTPRN2,2,cg14419740,PTPRN2,0.8275,0.8275,133.5,134,106,0.865994774
ST8SIA3,2,cg13096208,ST8SIA3,0.8225,0.8225,139,139,174,0.797072468
TMEM196,2,cg06896909,TMEM196,0.822278912,0.822278912,140,140,117,0.890817469
GALR3,2,cg07879739,GALR3,0.821018767,0.821018767,141,141,118,0.856476297
MIR124-2,2,cg07792478,MIR124-2,0.805,0.805,159.5,156.5,141,0.739828294
GRM6,2,cg00582971,GRM6,0.799416446,0.799416446,171,170,266,0.854023356
GRIN1,2,cg13759674,GRIN1,0.797446809,0.797446809,178,176,151,0.881458967
CACNA1C,2,cg12496211,CACNA1C,0.796521739,0.796521739,180,178,228,0.82152189
ACOT7,2,cg10976772,ACOT7,0.793986816,0.793986816,182,180,219,0.838025916
CACNA1B,2,cg05863502,CACNA1B,0.787777778,0.787777778,189,189,167,0.659574468
MIR129-2,2,cg14416371,MIR129-2,0.785,0.785,193.5,192.5,198,0.835599637
TAC1,2,cg17437939,TAC1,0.776223404,0.776223404,203,202,192,0.808377326
SLC12A5,2,cg06132069,SLC12A5,0.775,0.775,205,204,232,0.684957074
KCNK9,2,cg04849842,KCNK9,0.773513514,0.773513514,209,208,256,0.883858583
PPP1R14A,2,cg02571816,PPP1R14A,0.770867347,0.770867347,211,210,182,0.787127393
CD38,2,cg26043257,CD38,0.769318182,0.769318182,214,214,186,0.789393697
PTPRO,2,cg10646402,PTPRO,0.759166667,0.759166667,222,223,200,0.843278409
ITIH5,2,cg10119075,ITIH5,0.758055556,0.758055556,225,226,204,0.703967365
RYR2,2,cg07790615,RYR2,0.74127551,0.74127551,244,244,225,0.797259105
UNC5D,2,cg08754088,UNC5D,0.738903394,0.738903394,250,251,161,0.809577134
SGMS1,2,cg00936935,SGMS1,0.727684478,0.727684478,263,266,262,0.868207753
CHRNA4,2,cg22348992,CHRNA4,0.725277778,0.725277778,269,270,331,0.81885565
ENPP2,2,cg06998282,ENPP2,0.724864865,0.724864865,270,271,229,0.859435824
GHSR,2,cg17152757,GHSR,0.7175,0.7175,280.5,281.5,313,0.705033861
RECK,2,cg12717594,RECK,0.703884514,0.703884514,290,290,326,0.875139978
ATP4A,2,cg02770054,ATP4A,0.693333333,0.693333333,300.5,300.5,275,0.840478857
SSTR1,2,cg23248887,SSTR1,0.69,0.69,302.5,302.5,248,0.772569722
ADCYAP1R1,2,cg01556466,ADCYAP1R1,0.688333333,0.688333333,306,305,293,0.776675732
PLD5,2,cg12636785,PLD5,0.665,0.665,317,316,292,0.795845998
GRIA1,2,cg08578734,GRIA1,0.654946809,0.654946809,320,319,347,0.760811603
SLC2A2,2,cg14777768,SLC2A2,0.651598916,0.651598916,322,321,300,0.863488509
ACOT11,2,cg10266490,ACOT11,0.650742115,0.650742115,324,323,302,0.915826801
TIMP2,2,cg05306745,TIMP2,0.625901876,0.625901876,336,335,316,0.830560444
CACNA1I,2,cg00058879,CACNA1I,0.6125,0.6125,343.5,342,325,0.650989175
SEZ6L2,2,cg27267227,SEZ6L2,0.61,0.61,346,344,327,0.901189143
CACNA1A,2,cg00350503,CACNA1A,0.5975,0.6175,349,341,366.5,0.81219005
CYP26A1,2,cg17538572,CYP26A1,0.553863636,0.553863636,357,355,350,0.775582573
CA3,2,cg18674980,CA3,0.529602122,0.529602122,361,360,356,0.826774383
NT5E,2,cg13315970,NT5E,0.5225,0.5225,365,364,362,0.755079187
SLC13A5,2,cg13545212,SLC13A5,0.46,0.46,369,369,365,0.788327201
PPM1H,2,cg07699978,PPM1H,0.350612245,0.350612245,373,373,373,0.864021757
FAT4,3,cg17265829,FAT4,0.984496124,0.984496124,3,3,2,0.806244334
PLXNC1,3,cg00020799,PLXNC1,0.962162162,0.983783784,5,4,3,0.873380259
MMP9,3,cg26132320,MMP9,0.955357143,0.955357143,7,7,5,0.839305711
RAB11FIP1,3,cg14089503,RAB11FIP1,0.950405716,0.950405716,10,10,11,0.847011145
CYTL1,3,cg01114088,CYTL1,0.946091644,0.946091644,13,13,9,0.831040367
GSTA4,3,cg15925365,GSTA4,0.942169879,0.942169879,14,14,30,0.890284221
ABL1,3,cg13670057,ABL1,0.940414508,0.940414508,15,15,10,0.854743241
RAB22A,3,cg26029902,RAB22A,0.932249322,0.874579946,18,71,59,0.835999573
DGKI,3,cg00029246,DGKI,0.931216931,0.931216931,19,18,64,0.847117794
TRH,3,cg01009664,TRH,0.931016775,0.931016775,20,19,22,0.924972004
BDNF,3,cg11718030,BDNF,0.925813351,0.925813351,23,22,32,0.816909295
RGS2,3,cg05374271,RGS2,0.925531915,0.925531915,24,23,13,0.818642351
CD1B,3,cg04574507,CD1B,0.922680412,0.922680412,28,28,17,0.799045486
INA,3,cg24680586,INA,0.920918367,0.920918367,29,29,14,0.836986082
WNT3A,3,cg26841013,WNT3A,0.915,0.915,31,31,46,0.732656108
RGS12,3,cg19974227,RGS12,0.914036939,0.914036939,32,32,92,0.867514531
LIMD2,3,cg04918402,LIMD2,0.906005222,0.906005222,36,36,37,0.901855703
TGFBR3,3,cg17080882,TGFBR3,0.902857143,0.902857143,38,37,28,0.902308964
HOPX,3,cg21899596,HOPX,0.90032611,0.90032611,39,38,34,0.861115555
MAST1,3,cg26870725,MAST1,0.9,0.9,41,40,24,0.853170159
POLR1D,3,cg13799919,POLR1D,0.9,0.9,41,40,29,0.803924705
LNX1,3,cg02196651,LNX1,0.8975,0.8975,43,42,53,0.710446329
SRGAP3,3,cg00907288,SRGAP3,0.896704136,0.896704136,44,43,205,0.839998934
RALYL,3,cg04842146,RALYL,0.89605236,0.89605236,45,44,36,0.795499387
CLDN5,3,cg20486569,CLDN5,0.891472868,0.891472868,50,50,18,0.955393804
NDRG2,3,cg18081258,NDRG2,0.89077551,0.89077551,51,51,41,0.86850104
LOXL2,3,cg09535960,LOXL2,0.889460154,0.889460154,52,52,31,0.804911214
CIT,3,cg24973993,CIT,0.886010363,0.886010363,56,56,309,0.718631686
TOX2,3,cg19593767,TOX2,0.885786802,0.885786802,57,57,67,0.793553032
NEFM,3,cg23290344,NEFM,0.884816754,0.884816754,58,58,54,0.813629819
DLK1,3,cg02874376,DLK1,0.883152174,0.883152174,59,59,48,0.861435504
TXNRD1,3,cg05741937,TXNRD1,0.882653061,0.882653061,60,60,50,0.760491655
KIF5C,3,cg19053239,KIF5C,0.881136951,0.881136951,62,62,42,0.791393377
NKAPL,3,cg18675097,NKAPL,0.880880773,0.880880773,63,63,51,0.919532875
FLG,3,cg22719314,FLG,0.87755102,0.87755102,67,66,55,0.897803018
NES,3,cg06355129,NES,0.876455696,0.876455696,69,68,33,0.856156348
NPTX2,3,cg18952796,NPTX2,0.8725,0.8725,73,73,61,0.71823175
PRKCB,3,cg03306374,PRKCB,0.870786517,0.893726592,74,47,38,0.916386711
ACTN2,3,cg18770350,ACTN2,0.8675,0.8675,76,76,57,0.737135392
PDLIM3,3,cg25581330,PDLIM3,0.867032967,0.867032967,77,77,66,0.903908708
C4BPA,3,cg14856606,C4BPA,0.865869565,0.865869565,79,79,230,0.844051618
PLEKHF1,3,cg14945937,PLEKHF1,0.864661654,0.864661654,83,83,79,0.794512878
RBM47,3,cg10019467,RBM47,0.860526316,0.860526316,87,87,87,0.882338826
CDH4,3,cg07198552,CDH4,0.857881137,0.857881137,88,88,308,0.89337706
MYT1L,3,cg22511877,MYT1L,0.8575,0.8575,89,89,74,0.846984482
CRTC1,3,cg12034943,CRTC1,0.857109557,0.857109557,90,90,80,0.92081267
SPAG6,3,cg12377139,SPAG6,0.854219949,0.854219949,93,92,138,0.928331467
ASPG,3,cg20965743,ASPG,0.851744186,0.851744186,94,94,94,0.700047992
TACC1,3,cg14284618,TACC1,0.849536665,0.849536665,95,95,156,0.931877566
AIM2,3,cg11003133,AIM2,0.844166667,0.844166667,99,101,265,0.759345171
SEMA4A,3,cg05047401,SEMA4A,0.842922524,0.842922524,102,104,115,0.848317603
PCDH8,3,cg27360326,PCDH8,0.8425,0.8425,104,106,110,0.684157202
CDH5,3,cg00044665,CDH5,0.84,0.84,107,109.5,87,0.7985389
MPZ,3,cg10896862,MPZ,0.84,0.84,107,109.5,134,0.763717805
CDH23,3,cg15323528,CDH23,0.8375,0.8375,111,114,93,0.758865248
PLTP,3,cg24182521,PLTP,0.83702796,0.83702796,112,115,242,0.885138378
DPYS,3,cg16783744,DPYS,0.835760435,0.835760435,113,116,95,0.847357756
CLDN10,3,cg25032595,CLDN10,0.8354463,0.8354463,114,117,76,0.866767984
RBPMS,3,cg24586039,RBPMS,0.834021739,0.834021739,117,120,99,0.868207753
CDO1,3,cg02792792,CDO1,0.8325,0.8325,119,122.5,116,0.806697595
CRMP1,3,cg03544320,CRMP1,0.832446809,0.832446809,120,124,154,0.634858423
MGAT5B,3,cg04946749,MGAT5B,0.831683673,0.831683673,122,126,102,0.748173626
TNFAIP8L3,3,cg05905176,TNFAIP8L3,0.83076087,0.83076087,126,128,85,0.817869141
MAML3,3,cg00875805,MAML3,0.829772727,0.829772727,129,130,104,0.659974404
FLT4,3,cg00489401,FLT4,0.826890034,0.826890034,135,135,176,0.892257239
COL5A2,3,cg09211763,COL5A2,0.826371173,0.826371173,136,136,96,0.849250787
GALNT6,3,cg21253043,GALNT6,0.826225704,0.826225704,137,137,108,0.902922199
MAGI2,3,cg01158680,MAGI2,0.820508658,0.820508658,142,142,119,0.835279689
CD1C,3,cg09149672,CD1C,0.82,0.801521739,143,163,145,0.786514158
LEP,3,cg00840332,LEP,0.818342776,0.818342776,145,143,122,0.876553085
VGLL4,3,cg27083087,VGLL4,0.81826087,0.81826087,146,144,144,0.910840932
RNF216,3,cg21637392,RNF216,0.811083123,0.769017632,151,216,187,0.874660054
AFAP1L1,3,cg09651145,AFAP1L1,0.809009309,0.809009309,155,152,283,0.880445795
PMEPA1,3,cg10100887,PMEPA1,0.8075,0.8075,156,153,114,0.831760252
TGFB2,3,cg07810039,TGFB2,0.807291667,0.807291667,157,154,185,0.79941876
ITGAM,3,cg09743950,ITGAM,0.807005076,0.807005076,158,155,140,0.797819016
CRYM,3,cg16596604,CRYM,0.802792135,0.802792135,163,160,143,0.894576868
DLEU7,3,cg17241776,DLEU7,0.802272727,0.802272727,164,161,139,0.791180078
FRZB,3,cg04037038,FRZB,0.801356589,0.801356589,166,164,146,0.873406922
ADAMTS20,3,cg19619405,ADAMTS20,0.800555556,0.800555556,167.5,166.5,195,0.784727777
SPHKAP,3,cg12001304,SPHKAP,0.8,0.8,169.5,168.5,149.5,0.783821255
FCGRT,3,cg09293816,FCGRT,0.7975,0.7975,174.5,173,107,0.845091452
FES,3,cg26405020,FES,0.7975,0.7975,174.5,173,193,0.640110916
LTBP2,3,cg27317046,LTBP2,0.7975,0.7975,174.5,173,128,0.713165893
NOX4,3,cg12161228,NOX4,0.7975,0.7975,174.5,173,82,0.775715885
TBL1XR1,3,cg17578639,TBL1XR1,0.7975,0.783055556,174.5,194,171,0.698154962
DSC3,3,cg11814235,DSC3,0.7925,0.7925,184.5,183,127,0.567962459
LOXL1,3,cg10974980,LOXL1,0.7925,0.7925,184.5,183,109,0.826774383
TCERG1L,3,cg06304097,TCERG1L,0.790547798,0.790547798,186,185,162,0.841172079
VSTM2A,3,cg21179088,VSTM2A,0.79,0.79,187,186,159,0.762624647
CLDN6,3,cg02732252,CLDN6,0.789166667,0.789166667,188,188,164,0.842558524
SFRP2,3,cg05164933,SFRP2,0.7875,0.845,190,99.5,81,0.874420093
TNR,3,cg24932457,TNR,0.785,0.785,193.5,192.5,196,0.500693222
FGF18,3,cg07100000,FGF18,0.781666667,0.781666667,195,196,278,0.660294353
APCS,3,cg21291134,APCS,0.78,0.78,197.5,198,253,0.676345118
DOCK2,3,cg08862890,DOCK2,0.78,0.78,197.5,198,212,0.612541993
GALNT7,3,cg21739530,GALNT7,0.78,0.7925,197.5,183,157,0.846931158
RUSC1,3,cg22877509,RUSC1,0.77826087,0.77826087,201,200,166,0.809550472
BVES,3,cg20624391,BVES,0.775,0.775,205,204,175,0.728203487
MPPED2,3,cg13342435,MPPED2,0.774710744,0.774710744,207,206,180,0.910094385
COL11A1,3,cg03520644,COL11A1,0.770569106,0.770569106,212,211,184,0.689089746
RGS20,3,cg03348397,RGS20,0.77,0.77,213,212.5,213,0.821601877
CD40,3,cg06571407,CD40,0.769183673,0.769183673,215,215,263,0.735775609
SPTBN1,3,cg15602548,SPTBN1,0.768043478,0.768043478,216,217,188,0.808910574
TCL1A,3,cg07445246,TCL1A,0.7675,0.7675,217,218,179,0.80464459
CAV2,3,cg16260298,CAV2,0.765543478,0.765543478,219,220,191,0.74766704
CPXM1,3,cg07113642,CPXM1,0.762393617,0.762393617,220,221,194,0.78587426
ITPKA,3,cg08680048,ITPKA,0.760721649,0.760721649,221,222,197,0.918199755
PDE4B,3,cg16294013,PDE4B,0.758333333,0.758333333,224,225,202.5,0.682904069
NCOR2,3,cg00765705,NCOR2,0.755,0.77,226.5,212.5,218,0.787180718
PPP1R7,3,cg16751493,PPP1R7,0.755,0.755,226.5,228,206,0.632298832
SCARB2,3,cg13870520,SCARB2,0.7525,0.7525,231,233,258.5,0.743267744
ID4,3,cg23165899,ID4,0.751521739,0.751521739,234,236,216,0.788780462
SHF,3,cg18582992,SHF,0.750188964,0.750188964,236,238,207,0.777608916
WWP2,3,cg26860604,WWP2,0.749160305,0.749160305,238,240,199,0.869860822
SRRM4,3,cg15341350,SRRM4,0.7475,0.7475,239,241,320,0.803498107
NID2,3,cg22881914,NID2,0.74505102,0.74505102,240,242,286,0.833280009
CARTPT,3,cg08351336,CARTPT,0.745,0.757777778,241,227,202.5,0.723910841
PPP1R13L,3,cg07517893,PPP1R13L,0.744166667,0.728333333,242,265,276,0.814509678
SST,3,cg02164046,SST,0.742189207,0.742189207,243,243,224,0.848690876
RGS22,3,cg24848035,RGS22,0.741126761,0.741126761,245,245,314,0.83485309
PIP4K2A,3,cg06974428,PIP4K2A,0.74076087,0.74076087,246,246,226,0.779155335
C1QL1,3,cg00164949,C1QL1,0.739174596,0.739174596,249,250,227,0.851490428
GNG4,3,cg09649610,GNG4,0.7375,0.7375,252,252.5,285,0.693755666
ADAMTS16,3,cg22784954,ADAMTS16,0.737340426,0.737340426,254,254,231,0.675358609
CADM3,3,cg06203976,CADM3,0.737091837,0.737091837,255,255,220,0.796512558
LEPR,3,cg00630958,LEPR,0.735833333,0.735833333,257.5,257.5,234.5,0.677518264
ACVR1,3,cg09499849,ACVR1,0.732393617,0.732393617,260,261,241,0.793393057
RPTOR,3,cg04191427,RPTOR,0.730862944,0.730862944,261,262,257,0.837999253
BMP7,3,cg18759209,BMP7,0.729333333,0.729333333,262,264,243,0.823228283
CDK6,3,cg07469637,CDK6,0.7275,0.730277778,264,263,290,0.805524449
FLRT2,3,cg01537995,FLRT2,0.726486486,0.726486486,266,267,244,0.819548872
ADAMTS12,3,cg26573704,ADAMTS12,0.725786447,0.725786447,268,269,246,0.857969392
F7,3,cg03338754,F7,0.724642857,0.724642857,271,272,247,0.849357436
ADCYAP1,3,cg11859607,ADCYAP1,0.722919937,0.722919937,272,273,338,0.839492348
PDE4C,3,cg15215348,PDE4C,0.7225,0.7225,273.5,274.5,217,0.735402336
SH3PXD2A,3,cg06276663,SH3PXD2A,0.722282609,0.722282609,275,276,249,0.680984376
SFRP5,3,cg22831607,SFRP5,0.721666667,0.721666667,276,277,239,0.812909934
SIAH2,3,cg13590228,SIAH2,0.720555556,0.735555556,277,259,236,0.780381806
CLEC14A,3,cg05057720,CLEC14A,0.719782609,0.719782609,279,280,337,0.671225937
