Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
CD38,2,cg26043257,CD38,0.769318182,0.769318182,214.0,214.0,186.0,0.789393697
PTPRO,2,cg10646402,PTPRO,0.759166667,0.759166667,222.0,223.0,200.0,0.843278409
ITIH5,2,cg10119075,ITIH5,0.758055556,0.758055556,225.0,226.0,204.0,0.703967365
RYR2,2,cg07790615,RYR2,0.74127551,0.74127551,244.0,244.0,225.0,0.797259105
UNC5D,2,cg08754088,UNC5D,0.738903394,0.738903394,250.0,251.0,161.0,0.809577134
SGMS1,2,cg00936935,SGMS1,0.727684478,0.727684478,263.0,266.0,262.0,0.868207753
CHRNA4,2,cg22348992,CHRNA4,0.725277778,0.725277778,269.0,270.0,331.0,0.81885565
ENPP2,2,cg06998282,ENPP2,0.724864865,0.724864865,270.0,271.0,229.0,0.859435824
GHSR,2,cg17152757,GHSR,0.7175,0.7175,280.5,281.5,313.0,0.705033861
RECK,2,cg12717594,RECK,0.703884514,0.703884514,290.0,290.0,326.0,0.875139978
ATP4A,2,cg02770054,ATP4A,0.693333333,0.693333333,300.5,300.5,275.0,0.840478857
SSTR1,2,cg23248887,SSTR1,0.69,0.69,302.5,302.5,248.0,0.772569722
ADCYAP1R1,2,cg01556466,ADCYAP1R1,0.688333333,0.688333333,306.0,305.0,293.0,0.776675732
GRIA1,2,cg08578734,GRIA1,0.654946809,0.654946809,320.0,319.0,347.0,0.760811603
SLC2A2,2,cg14777768,SLC2A2,0.651598916,0.651598916,322.0,321.0,300.0,0.863488509
ACOT11,2,cg10266490,ACOT11,0.650742115,0.650742115,324.0,323.0,302.0,0.915826801
TIMP2,2,cg05306745,TIMP2,0.625901876,0.625901876,336.0,335.0,316.0,0.830560444
CACNA1I,2,cg00058879,CACNA1I,0.6125,0.6125,343.5,342.0,325.0,0.650989175
SEZ6L2,2,cg27267227,SEZ6L2,0.61,0.61,346.0,344.0,327.0,0.901189143
CACNA1A,2,cg00350503,CACNA1A,0.5975,0.6175,349.0,341.0,366.5,0.81219005
CYP26A1,2,cg17538572,CYP26A1,0.553863636,0.553863636,357.0,355.0,350.0,0.775582573
CA3,2,cg18674980,CA3,0.529602122,0.529602122,361.0,360.0,356.0,0.826774383
NT5E,2,cg13315970,NT5E,0.5225,0.5225,365.0,364.0,362.0,0.755079187
SLC13A5,2,cg13545212,SLC13A5,0.46,0.46,369.0,369.0,365.0,0.788327201
PPM1H,2,cg07699978,PPM1H,0.350612245,0.350612245,373.0,373.0,373.0,0.864021757
VOPP1,2,cg21959598,VOPP1,0.833342449,0.833342449,118.0,121.0,100.0,0.930277822
TMEM196,2,cg06896909,TMEM196,0.822278912,0.822278912,140.0,140.0,117.0,0.890817469
PLD5,2,cg12636785,PLD5,0.665,0.665,317.0,316.0,292.0,0.795845998
