Unnamed: 0,dbeta,gene,feature
cg07572251,-0.007472987357785837,ADRA1A,Body
cg16162590,-0.013826338848548681,ADRA1B,Body
cg05238375,0.006824948921998524,ADRA2A,TSS200
cg02599338,-0.006525589103601532,ADRA2B,1stExon
cg06065164,-0.007281578784431874,ADRA2C,TSS1500
cg17868942,0.005068604910184395,ADRB1,1stExon
cg09150633,0.007859353047605256,ADRB2,1stExon
cg00432461,-0.007054858325087303,ADRB3,TSS1500
cg21842689,-0.0058020224502892135,ADRM1,Body
cg08495088,-0.009236680937817371,AEBP1,TSS1500
cg00151271,-0.01639399016751556,AFAP1,Body
cg13926347,-0.011769662955171175,AFAP1L1,Body
cg05120428,-0.010409650540247617,AFAP1L2,Body
cg26245086,-0.05008437554955968,AFF1,5'UTR
cg01649623,-0.018042367976083794,AFF3,Body
cg00797183,-0.006906086754584655,AFM,3'UTR
cg10778295,-0.004292801319228902,AFP,TSS1500
cg07536998,0.0076098113672163825,AGA,1stExon
cg14845962,0.010671533128124161,AGAP2,3'UTR
cg23836814,-0.00654811213093203,AGBL2,3'UTR
cg04933135,0.005226377399216828,AGER,Body
cg01963464,-0.00797694420989171,AGFG1,Body
cg22553641,0.007119238822573699,AGFG2,TSS200
cg02435812,0.00854527110139481,AGGF1,1stExon
cg10994314,0.007799323436908711,AGK,1stExon
cg06086933,0.006036267500369913,AGL,TSS1500
cg01540571,0.007619094156178252,AGMAT,Body
cg14083554,-0.006092110267132671,AGPAT2,Body
cg19655704,-0.00446554959451504,AGPS,Body
cg24426405,-0.007627329869325445,AGR2,TSS200
cg11039314,-0.008858813633393196,AGR3,TSS200
cg06285333,0.008388155402426836,AGRP,Body
cg26882410,-0.010411038693394142,AGT,TSS1500
cg13528513,-0.006207421877656283,AGTR1,5'UTR
cg00326183,-0.011273850555834282,AGXT,1stExon
cg04543510,-0.009174656995008868,AGXT2,Body
cg16269943,-0.006349865970057937,AHCYL1,Body
cg21071512,0.004136371779959815,AHI1,5'UTR
cg03274456,0.010584695129730065,AHNAK,Body
cg25706683,-0.007538317727356475,AHR,Body
cg07599136,-0.03666713298314024,AHRR,Body
cg17598875,0.0016129224311473434,AHSA1,TSS1500
cg08929133,-0.014027393910061997,AHSG,TSS1500
cg07999668,-0.003711330168623578,AICDA,Body
cg04812347,-0.005273056339169086,AIF1,Body
cg17470095,-0.014751595825146147,AIFM3,TSS1500
cg08612271,-0.0065384992781343226,AIG1,Body
cg27296413,-0.007640060299301134,AIM2,Body
cg10347265,0.0022235564205422215,AIMP1,5'UTR
cg11684826,-0.0027538945143740414,AIMP2,Body
cg06607866,0.008452362879071145,AIP,Body
cg15955655,-0.008261073550837718,AIRE,TSS1500
cg02482718,-0.012555268152697691,AJAP1,Body
cg11254053,-0.003651965488208116,AK2,Body
cg05778424,0.009262854754273237,AKAP1,5'UTR
cg06292146,-0.005253973128604198,AKAP10,Body
cg21047322,-0.014083421699207547,AKAP12,Body
cg22527572,-0.006849837788710432,AKAP3,Body
cg16037806,0.003860612643956961,AKAP9,TSS200
cg04486013,0.007149528526969413,AKR1A1,Body
cg26925463,0.00446223745024809,AKR1B1,Body
cg25171118,-0.0026491649113394578,AKR1B10,1stExon
cg26678705,-0.009626440851763448,AKR1C1,Body
cg19648686,-0.005576972001221337,AKR1C2,Body
cg11894854,-0.011077574450862633,AKR1C4,TSS1500
cg16675581,0.03527104065890191,AKR7A2,Body
cg07037032,-0.004073330164842051,AKR7A3,Body
cg19831386,-0.014231190362323223,AKT1,3'UTR
cg02859537,-0.0078927007773349,AKT1S1,5'UTR
cg13351352,-0.005970727333371007,AKT2,Body
cg04221461,0.014454002851395802,AKT3,Body
cg02027010,0.0040366563323902035,ALAD,5'UTR
cg07598930,0.0076053674368642835,ALAS1,Body
cg10890681,-0.010396938573225357,ALB,Body
cg24002522,-0.01150887410642561,ALCAM,Body
cg12304200,-0.01799309680963562,ALDH18A1,5'UTR
cg19619909,-0.012573222941573883,ALDH1A2,Body
cg23191950,-0.013835598096094932,ALDH1A3,TSS1500
cg00467553,-0.012768911284723659,ALDH1B1,TSS1500
cg07445258,-0.01100166465319455,ALDH1L1,Body
cg21470387,0.009675673302205094,ALDH2,5'UTR
cg23392390,0.00850427649300777,ALDH3A1,TSS1500
cg19551232,0.0029938800785714345,ALDH7A1,1stExon
cg23166955,0.010970670557258151,ALDOA,5'UTR
cg00577167,-0.006625081859200728,ALDOB,5'UTR
cg04931453,0.006962086685452039,ALG2,Body
cg11326134,0.0026123593160013456,ALG3,Body
cg09942743,-0.01371946405276885,ALK,Body
cg15046735,0.002701219716141413,ALKBH1,1stExon
cg20156187,-0.008206613285063327,ALKBH2,Body
cg20009641,0.004445960182549762,ALKBH3,TSS200
cg24318076,-0.00792729499412039,ALKBH5,Body
cg23275064,-0.009939035957998606,ALLC,Body
cg02493798,0.014294017092708243,ALOX12,Body
cg12786765,-0.007471356834576313,ALOX15,3'UTR
cg13852234,-0.009812961979509463,ALOX15B,3'UTR
cg07355189,0.013837326379126491,ALOX5,Body
cg26848724,-0.005894693094660788,ALOX5AP,Body
cg22094845,-0.014797105649563321,ALPI,3'UTR
cg10855342,-0.008375961712751744,ALPK1,5'UTR
cg25407077,0.007255051646034637,ALPK2,TSS1500
cg14781605,0.02435941767441794,ALPL,5'UTR
cg19654061,-0.009113668980859788,ALPP,1stExon
cg13916459,-0.004910092312751285,ALX1,TSS1500
cg25973580,-0.008431643129395257,ALX3,3'UTR
cg19495444,-0.009746886411494663,ALX4,Body
cg04596544,0.004335315390802863,AMACR,Body
cg14322040,-0.009277874038444527,AMBN,TSS200
cg13783957,-0.01612081827188639,AMBP,Body
cg16371518,0.014042833044017329,AMBRA1,Body
cg10769157,0.004030101875134614,AMD1,5'UTR
cg02691360,0.0062630861010744355,AMFR,3'UTR
cg26659805,-0.0064579835271215864,AMH,Body
cg20910352,-0.00831951775066843,AMHR2,TSS200
cg05838358,-0.014046711679619605,AMIGO2,3'UTR
cg06920667,-0.009011514929203318,AMN,Body
cg14028143,-0.017588253633335917,AMOTL1,Body
cg15740508,-0.010593647639660015,AMPD1,TSS1500
cg26363634,0.009904238761724127,AMPD2,1stExon
cg09986736,0.00635752158529048,AMPD3,5'UTR
cg14085012,-0.012748088992213486,AMPH,Body
cg18797923,-0.012137562427779061,AMT,TSS1500
cg01400750,0.0016826860027173037,ANAPC10,Body
cg08184047,0.01115324281488053,ANAPC11,5'UTR
cg14604065,-0.008774021599805311,ANAPC2,Body
cg16154578,-0.005830158614956681,ANG,5'UTR
cg24810735,-0.011808897419767126,ANGPT1,Body
cg03459920,-0.010131215940004637,ANGPT2,Body
cg03218374,-0.018628449159835688,ANGPT4,TSS200
cg13662634,0.004590844746120931,ANGPTL2,1stExon
cg06620911,0.007762153615624727,ANGPTL4,5'UTR
cg00593900,-0.011039984935224251,ANGPTL6,Body
cg21223353,0.0006662833534451448,ANGPTL7,1stExon
cg05977053,-0.013935159306932808,ANK1,Body
cg09291474,-0.00866003486892285,ANKDD1A,Body
cg19955402,0.00839944869791962,ANKHD1,TSS200
cg08981980,-0.01028654419975745,ANKLE2,3'UTR
cg20178924,-0.007724301017948128,ANKRD1,Body
cg05356511,0.018098356227621997,ANKRD11,Body
cg22468803,0.009860879416902444,ANKRD12,TSS1500
cg10315333,-0.0044551582872091105,ANKRD17,Body
cg01561719,0.009325479081104619,ANKRD22,TSS200
cg24668150,0.005533452333854928,ANKRD26,1stExon
cg20211778,-0.009959583423159474,ANKRD30A,Body
cg12053065,0.011688406126483473,ANKRD33,TSS200
cg05996326,-0.0014261834846193088,ANKRD49,5'UTR
cg18997422,0.006243537699735304,ANKRD9,TSS200
cg10075976,-0.017479943469516094,ANKS1B,Body
cg06207722,-0.010072200589548927,ANKS4B,TSS1500
cg19529675,0.005862788247954941,ANLN,Body
cg00557996,-0.016708955916738426,ANO1,Body
cg21281007,0.014662160094255354,ANO2,Body
cg06703469,-0.012373143155252113,ANO5,3'UTR
cg21185662,0.007450468521758342,ANO6,Body
cg07297111,-0.0146039562011534,ANO7,Body
cg08362102,-0.009253798762167361,ANP32A,Body
cg14503783,0.006648619731166386,ANP32B,TSS1500
cg25286711,-0.004107606159324096,ANP32D,TSS200
cg14475772,0.004534315085489366,ANP32E,Body
cg13042288,-0.010475447989516069,ANPEP,5'UTR
cg10803714,-0.011225189354943193,ANTXR1,Body
cg12784997,0.005327763072586438,ANTXR2,5'UTR
cg01894895,-0.004431761981549002,ANXA1,TSS1500
cg03730709,-0.007945659223730285,ANXA11,5'UTR
cg26241746,-0.011377252295060036,ANXA13,TSS1500
cg02072495,-0.0184777502402965,ANXA2,5'UTR
cg01807770,-0.007297363491836225,ANXA3,TSS1500
cg06635952,0.010928940537718937,ANXA4,Body
cg02484274,0.006298433613744076,ANXA5,TSS200
cg15512961,0.0026693460203086844,ANXA6,TSS1500
cg27090985,0.0038904594782605355,ANXA7,TSS200
cg13912599,-0.007394732326037161,ANXA9,Body
cg16066544,-0.011708570189318384,AOC3,1stExon
cg01217071,0.008016656535188639,AOX1,TSS1500
cg16977751,0.008638044585684164,AP1B1,Body
cg07947869,-0.00820533834924353,AP2A1,Body
cg09144769,0.004610881393176817,AP2B1,3'UTR
cg20632863,0.007325696729888808,APAF1,TSS1500
cg14631997,-0.009951729957510501,APBA1,Body
cg03433728,-0.02000378060970672,APBA2,3'UTR
cg01089800,-0.0021159248608863873,APBA3,Body
cg16492341,-0.006268381076717485,APBB1IP,Body
cg02995853,0.0054492582749486665,APBB3,TSS200
cg23497707,0.010826247068575424,APC,5'UTR
cg10094078,0.007853009971393739,APC2,Body
cg03396005,-0.012411935528777179,APCDD1,Body
cg21291134,-0.005117587696562796,APCS,3'UTR
cg01978534,-0.01913398232284004,APEH,TSS1500
cg22438324,0.005325080958278462,APEX1,TSS1500
cg18107697,-0.0029136613799658376,APH1A,TSS1500
cg07613278,-0.0046583273700453445,API5,TSS200
cg03995951,-0.002526196108523341,APIP,Body
cg00074348,-0.010139524450271808,APLNR,TSS1500
cg06613111,0.007177965415020498,APLP1,TSS200
cg24860589,0.012043225045759255,APLP2,Body
cg15896978,-0.01080129625372008,APOA1,TSS1500
cg13287979,-0.012149394412231014,APOB,Body
cg11304383,-0.016696748355208638,APOBEC1,TSS200
cg08709276,-0.004240035303050593,APOBEC2,TSS1500
cg18746774,-0.00982398462525081,APOBEC3A,TSS1500
cg10316474,0.002951923118907638,APOBEC3C,TSS200
cg26082280,-0.0029554996608875776,APOBEC3G,TSS1500
cg03582215,-0.007890338055125286,APOBEC3H,3'UTR
cg24795932,-0.00957870389796543,APOC1,3'UTR
cg08121984,-0.009212050172158669,APOC1P1,TSS200
cg20090143,-0.014062768639557792,APOC2,Body
cg04351793,-0.009407474169807849,APOD,TSS1500
cg06750524,-0.013269281189317191,APOE,Body
cg17095279,-0.00833255117508755,APOH,Body
cg15132055,-0.010091189266310419,APOM,Body
cg26153954,-0.011113154925467831,APP,TSS1500
cg12955299,0.005102340210266707,APPBP2,1stExon
cg05963604,-0.012044354971922194,APPL1,Body
cg23826435,-0.006114467118244831,APPL2,Body
cg08079136,0.0074307041734986735,APRT,TSS1500
cg23234510,0.004450403444226409,APTX,5'UTR
cg00622010,-0.008350084768596545,AQP1,TSS1500
cg21592521,-0.009981801852523455,AQP4,3'UTR
cg03339560,-0.011726565661918613,AQP5,Body
cg07034276,-0.010550489314116361,AQP6,TSS200
cg05186188,-0.010929588076692991,AQP8,Body
cg11098259,0.008676264785732381,AQP9,TSS200
cg16267577,-0.011162274182256553,AQR,Body
cg00992297,-0.010241795345300715,ARAP3,TSS200
cg24450303,-0.012441528715124337,ARC,1stExon
cg06625004,0.008912255693675573,ARF1,5'UTR
cg12595990,0.005720372188341655,ARF3,TSS200
cg14377205,0.005774332549220161,ARF6,TSS200
cg03059876,-0.01124285066681357,ARFGAP1,5'UTR
cg03346041,0.006767004004067375,ARFGEF1,TSS200
cg04639555,-0.003087081266095151,ARG1,TSS1500
cg11752250,-0.006071447354556961,ARG2,Body
cg17420619,-0.004222971034488122,ARHGAP1,Body
cg14780276,-0.009717048331662323,ARHGAP10,Body
cg07621645,0.007271079529348188,ARHGAP15,Body
cg05737718,-0.011080240282208947,ARHGAP17,Body
cg14575356,0.006020873651617403,ARHGAP18,Body
cg18325841,0.0064378848159941885,ARHGAP21,Body
cg02394698,0.00937770864079536,ARHGAP24,Body
cg17262755,-0.010123143548885846,ARHGAP26,Body
cg00715050,0.009714353131908693,ARHGAP27,Body
cg06165470,-0.010107278030709725,ARHGAP28,Body
cg24049050,-0.009174518665584098,ARHGAP29,5'UTR
cg07837534,0.001406568325001174,ARHGAP30,Body
cg21076271,0.008585887557267875,ARHGAP5,1stExon
cg06015525,0.006362559480536095,ARHGAP9,Body
cg08816869,0.008597493252630985,ARHGDIA,TSS1500
cg06395232,-0.010219683273706957,ARHGDIB,5'UTR
cg22338446,-0.009008001345451965,ARHGEF1,5'UTR
cg25389250,-0.013398306914244033,ARHGEF10,Body
cg11804604,-0.01757605716336831,ARHGEF11,3'UTR
cg06767612,-0.008630391271008644,ARHGEF12,Body
cg18216292,-0.009919157597341357,ARHGEF2,Body
cg21952686,-0.002910953378394772,ARHGEF5,Body
cg23919844,-0.014511507902780755,ARHGEF7,Body
cg22042546,-0.007376634208408788,ARID1A,Body
cg03561416,0.011421771694103291,ARID1B,Body
cg10617091,-0.010250881886865537,ARID2,Body
cg02384859,0.005721040828636482,ARID3B,Body
cg14077301,0.0034107120692439766,ARID4A,5'UTR
cg01730064,-0.006732820732443363,ARID4B,Body
cg13344587,-0.010160391848181731,ARID5B,Body
cg20046875,0.0069172896491287725,ARIH1,TSS200
cg24125767,-0.010668436470268874,ARL11,3'UTR
cg21070272,-0.008480289082984763,ARL13B,TSS1500
cg02035603,-0.011452550241796464,ARL15,Body
cg19393605,-0.008403877177577146,ARL2,Body
cg08219183,-0.005526689150295243,ARL2BP,Body
cg15235893,0.009661325509147563,ARL4C,TSS1500
cg02136628,0.007518321505651696,ARL4D,5'UTR
cg11879577,0.0077051084577536245,ARL6IP1,TSS1500
cg15166900,-0.016057504871784502,ARL6IP5,TSS1500
cg10451425,0.02636548759395389,ARMC5,3'UTR
cg09886243,0.00523991170385381,ARMC8,5'UTR
cg14044375,-0.012924477977117264,ARMC9,Body
cg17942553,-0.00934811392972186,ARNT,TSS1500
cg01446731,-0.014324977134932177,ARNT2,Body
cg12537728,-0.009135692229730846,ARNTL,5'UTR
cg26165146,-0.009906060322060293,ARNTL2,TSS1500
cg05715492,0.016629009433282063,ARPC1B,Body
cg13027571,0.006240192923546742,ARPC2,TSS1500
cg00427086,0.007362458411735286,ARPP19,TSS200
cg10359006,-0.006830726249553382,ARRB1,Body
cg02286380,0.008635279346553441,ARRB2,Body
cg13741304,0.008916713622666222,ARRDC1,Body
cg19431963,0.0014443858955000524,ARRDC3,5'UTR
cg23060735,0.006005015999409028,ARSA,TSS1500
cg14855378,-0.010550065201242185,ARSI,TSS1500
cg21407055,-0.00964256842334024,ART1,5'UTR
cg09037726,-0.010108091201469197,ART3,TSS1500
cg01041284,-0.0127007986672399,ARTN,TSS1500
cg19938277,0.005055470835370379,ASAH1,1stExon
cg14653216,-0.010340295364887848,ASAP1,Body
cg21748874,-0.012418747160885134,ASAP2,Body
cg14602641,-0.00845692767475461,ASB4,Body
cg15586341,-0.0072054989366169145,ASCC1,Body
cg01242484,0.0029138125965874483,ASCC2,TSS200
cg22356339,0.007724287915266475,ASCL1,1stExon
cg02964724,0.012502025775092776,ASCL2,TSS200
cg09532575,-0.005488826100865638,ASF1A,Body
cg07756148,0.00575267159964077,ASF1B,TSS200
cg14270193,-0.014803810085178655,ASGR1,Body
cg13855589,0.00946443131072565,ASH1L,Body
cg08240466,-0.015920956778233682,ASIP,TSS1500
cg23625466,-0.012470388227553255,ASL,Body
cg08114476,0.0054786100866684746,ASNS,TSS200
cg12317815,-0.01460994838760407,ASPA,TSS200
cg24003028,-0.009663453212615155,ASPG,Body
cg00168967,-0.011996849319359178,ASPH,Body
cg14212631,0.0032833283004568615,ASPM,1stExon
cg07093539,0.01582896979760957,ASPSCR1,Body
cg06720214,-0.006195154510457159,ASRGL1,TSS1500
cg13835114,-0.010941553592146148,ASS1,5'UTR
cg13433881,-0.011679068451491945,ASTL,TSS1500
cg01377358,-0.011832943820930536,ASXL1,Body
cg12246996,0.006407943220129562,ASXL2,Body
cg16780568,0.0044338021390252814,ATAD1,TSS200
cg22721186,0.008520165069658747,ATAD2,TSS1500
cg11103442,0.003910639771046116,ATAD3A,TSS1500
cg10228629,0.004318424165200406,ATAD3B,TSS1500
cg23905935,0.004567834215200745,ATAD5,1stExon
cg12126796,0.006919733451602521,ATE1,1stExon
cg11775492,0.008003777577768798,ATF1,5'UTR
cg01575818,-0.00797305951910147,ATF2,5'UTR
cg01064286,-0.009800161149970663,ATF3,5'UTR
cg04122974,0.0059523921691946305,ATF4,TSS200
cg18476478,0.005553814207861129,ATF5,3'UTR
cg19735514,-0.016259349375207947,ATF6,Body
cg26637901,-0.0075008234395974125,ATF7IP,TSS200
cg15153141,-0.010066957188880033,ATG10,Body
cg16542392,0.008387637984021,ATG12,1stExon
cg23339656,-0.009484047551712498,ATG16L1,TSS1500
cg15868208,-0.009470962566462179,ATG16L2,Body
cg12507129,0.004090238084780056,ATG3,5'UTR
cg11574665,0.03161483306199892,ATG4B,Body
cg01279933,-0.009268866776200571,ATG4D,3'UTR
cg21148531,0.0058323360276634146,ATG5,TSS1500
cg12198254,-0.007487503844438685,ATG7,Body
cg02756706,0.005129533801183529,ATG9A,1stExon
cg21512817,0.005885074348218984,ATIC,1stExon
cg19990483,-0.011050201914386562,ATL1,Body
cg03092399,0.009127534683520592,ATM,Body
cg00291054,-0.007013862759707125,ATMIN,Body
cg07242901,0.004282669363598455,ATN1,Body
cg22604636,0.010845594782649496,ATOH1,1stExon
cg26337070,0.008690595317147274,ATOH8,Body
cg03585795,-0.00965386124243338,ATP11B,3'UTR
cg05719720,0.00403717168539471,ATP12A,Body
cg10442913,0.005068119457026233,ATP1A1,TSS1500
cg16703333,0.005106257146384579,ATP1A3,3'UTR
cg11025609,-0.012017047182409627,ATP2A2,Body
cg23181573,0.008268018363145809,ATP2A3,Body
cg20235117,-0.015127564449925314,ATP2B2,3'UTR
cg01948978,0.01680536044735808,ATP2B4,3'UTR
cg06308857,0.004473738437875284,ATP2C1,TSS200
cg06123346,-0.014686130779615576,ATP4A,1stExon
cg06064098,-0.010233505098849653,ATP4B,Body
cg19538722,0.005518133607682543,ATP6V0A2,Body
cg05483509,0.010785512892970417,ATP6V0C,TSS1500
cg07231738,-0.01331094421697994,ATP6V0D1,3'UTR
cg08462478,-0.008808036910468817,ATP6V0D2,Body
cg23420841,0.0115077227931743,ATP6V1C1,5'UTR
cg15567853,-0.010749690815348885,ATP7B,3'UTR
cg00911981,0.010144543067203799,ATR,TSS200
cg05349356,0.00795917535307518,ATRN,TSS200
cg18864804,-0.013819633082584451,ATRNL1,Body
cg22274117,-0.01272789870722939,ATXN1,5'UTR
cg24463309,0.0029111450392708335,ATXN2,1stExon
