ID,dbeta,UCSC_RefGene_Name,UCSC_RefGene_Group
cg22915945,-0.4938325849906073,ADAM28,1stExon
cg16870595,0.432021276721151,ADAM29,TSS200
cg05789704,-0.4601942907215986,ADAM32,TSS200
cg17759443,-0.4977371217599661,ADAM33,1stExon
cg03899708,0.3925942545655666,ADAM6,TSS200
cg15460093,-0.5081212344091106,ADAM8,1stExon
cg20621463,-0.5155335001479427,ADAM9,TSS200
cg02855633,-0.5059576385088844,ADAMTS1,TSS1500
ch.5.731560F,-0.49707320876806554,ADAMTS12,Body
cg04674581,-0.5109359580635241,ADAMTS13,Body
cg08337623,-0.5049314128920201,ADAMTS14,TSS1500
cg15325978,-0.5157485881636719,ADAMTS15,TSS200
cg06843687,-0.49285472618419846,ADAMTS16,Body
cg05523056,-0.4905528732125281,ADAMTS18,Body
cg14409941,-0.5061323820323516,ADAMTS2,Body
cg11751806,-0.446928525334833,ADAMTS20,1stExon
cg24329783,0.03398658821951204,ADAMTS4,3'UTR
cg07942598,-0.49538020088369167,ADAMTS5,TSS1500
cg24166172,-0.5127645135368263,ADAMTS6,TSS200
cg16453560,-0.508340407366079,ADAMTS8,TSS1500
cg01336855,-0.5058155226670696,ADAMTS9,TSS1500
cg09371439,-0.5014872342181317,ADAMTSL3,TSS1500
cg15823180,-0.502257044494887,ADAMTSL4,TSS200
cg20705565,-0.5190902010662123,ADAR,5'UTR
cg25559103,-0.509001362533593,ADARB1,TSS1500
cg14590817,-0.5124440705976325,ADARB2,TSS200
cg03051439,-0.517714943873169,ADAT2,Body
cg24461337,0.458521924762542,ADCY10,5'UTR
cg08599266,-0.5054940066349177,ADCY3,TSS1500
cg16696270,-0.49068502065820985,ADCY8,TSS200
cg11771234,-0.5019931709297177,ADCYAP1,Body
cg20165074,-0.5092297882936644,ADCYAP1R1,TSS1500
cg01682615,-0.5133876894305955,ADD1,TSS1500
cg05098590,-0.5153596874454777,ADD3,5'UTR
cg03806087,0.38567062272809155,ADH1A,TSS1500
cg24368912,0.36668691440436235,ADH1B,TSS1500
cg15785860,0.2858695750676978,ADH1C,TSS1500
cg12011299,0.12258845342902233,ADH4,TSS200
cg00268009,-0.5178018184385473,ADH5,TSS1500
cg06518271,0.43782564125639706,ADH6,5'UTR
cg18065361,-0.517087516304723,ADHFE1,TSS200
cg10209223,-0.51351704449655,ADI1,TSS200
cg05050884,-0.47877132921108356,ADIPOQ,5'UTR
cg13198269,-0.5162983481122103,ADIPOR1,1stExon
cg24669694,-0.5197659394249836,ADIPOR2,TSS200
cg06545189,-0.517795351676374,ADK,5'UTR
cg13441983,-0.5147277915960514,ADM,5'UTR
cg26137971,-0.5097589677645712,ADM2,5'UTR
cg20858341,-0.5119182717412506,ADNP,TSS1500
cg12452010,-0.5153694025033266,ADO,TSS200
cg16293981,-0.5011092726324327,ADORA1,5'UTR
cg23763137,-0.5046121535791519,ADORA2A,TSS200
cg23694114,-0.5118675668897698,ADORA2B,TSS200
cg07833779,-0.5166805948853513,ADORA3,Body
cg16016176,-0.5151361547908409,ADPRH,TSS200
cg03651608,-0.49639103657256806,ADRA1A,TSS1500
cg05963618,-0.48854614940557933,ADRA1B,TSS1500
cg16886188,-0.5144164267789283,ADRA2A,TSS1500
cg27606288,-0.5092617488469707,ADRA2B,TSS1500
cg05394500,-0.5021091018075489,ADRA2C,TSS200
cg15849403,-0.51018323927105,ADRB1,TSS1500
cg19110523,-0.5165618682307234,ADRB2,1stExon
cg27498114,-0.4969827656551331,ADRB3,1stExon
cg10679147,-0.5154789611240038,ADRM1,TSS200
cg14249876,-0.5074208639479624,AEBP1,1stExon
cg21786465,-0.5068312745338198,AFAP1,Body
cg00582881,-0.5110004544747779,AFAP1L1,TSS200
cg04070533,-0.4985395096092948,AFAP1L2,Body
cg09987789,-0.518280447148878,AFF1,Body
cg23497683,-0.5099156521275797,AFF3,TSS200
cg07801506,0.4474797754206159,AFM,TSS1500
cg10778295,0.42566831285646556,AFP,TSS1500
cg04514020,-0.5127049787643887,AGA,Body
cg22199080,-0.5224967991201717,AGAP2,1stExon
cg04217927,-0.5106427250416893,AGBL2,TSS1500
cg27580693,0.44779842394526703,AGER,Body
cg13430298,-0.5186540948082635,AGFG1,1stExon
cg22553641,-0.5100570125826944,AGFG2,TSS200
cg02435812,-0.507648659092864,AGGF1,1stExon
cg02905066,-0.5106437807235654,AGK,5'UTR
cg13229494,-0.5160453433335573,AGL,TSS1500
cg01540571,-0.5109356090404947,AGMAT,Body
cg25537774,-0.5055614618159698,AGPAT2,1stExon
cg01395754,0.44407381283783764,AGPS,3'UTR
cg21201572,0.4444317854119733,AGR2,5'UTR
cg11039314,0.43271556566737013,AGR3,TSS200
cg10368536,0.42232920304460625,AGRP,TSS1500
cg27401395,0.43680719401761103,AGT,TSS1500
cg22082709,-0.453533214187922,AGTR1,TSS200
cg10775488,0.4323615112018122,AGXT,Body
cg15664442,0.428419008007341,AGXT2,3'UTR
cg12020639,-0.5150473033830846,AHCYL1,TSS200
cg08231603,-0.5147135644008298,AHI1,TSS200
cg11489918,-0.5036211215367886,AHNAK,5'UTR
cg04935903,-0.5156357951713192,AHR,Body
cg16896326,-0.4952674377008235,AHRR,Body
cg15452479,-0.5149904070406262,AHSA1,TSS1500
cg04127903,-0.5188364069866365,AHSG,Body
cg06193723,-0.47294655438419925,AICDA,Body
cg21440587,-0.49398859275404794,AIF1,TSS1500
cg06985578,-0.4987752930794015,AIFM3,Body
cg15185286,-0.5121272159707586,AIG1,TSS1500
cg24659501,0.4523397644611994,AIM2,5'UTR
cg15750102,-0.5132082617341052,AIMP1,5'UTR
cg18282264,-0.4869319342426737,AIMP2,1stExon
cg26108683,-0.5046838733514847,AIP,1stExon
cg00495713,-0.49456494669258666,AIRE,3'UTR
cg04027805,-0.5026783862302093,AJAP1,5'UTR
cg06394897,-0.516453326361967,AK2,1stExon
ch.17.1457304R,-0.5149996190517269,AKAP1,Body
cg01934962,-0.5114826488471409,AKAP10,5'UTR
cg10118925,-0.5071264611195424,AKAP12,TSS1500
cg03148419,0.457656602263063,AKAP3,TSS1500
cg02582136,-0.5172238698347976,AKAP9,TSS200
cg08614813,0.4287738600478439,AKIRIN2,3'UTR
cg22350160,-0.5118044353148584,AKR1A1,1stExon
cg13056495,-0.5169781580579492,AKR1B1,Body
cg06133921,0.4388383021895979,AKR1B10,TSS1500
cg26678705,0.44115061744255235,AKR1C1,Body
cg19648686,0.4265440776740252,AKR1C2,Body
cg12530994,-0.4610269970593714,AKR1C3,Body
cg06573570,0.4439961756037843,AKR1C4,TSS1500
cg12219123,-0.5015207192205999,AKR7A2,1stExon
cg16126458,-0.49952530517461924,AKR7A3,TSS200
cg06895316,-0.5139576622076193,AKT1,TSS200
cg03813033,-0.5171998324540412,AKT1S1,5'UTR
cg14260485,-0.5162370596949056,AKT2,TSS1500
cg22637834,0.4489512832158127,AKT3,TSS1500
cg02027010,-0.5041064100804766,ALAD,5'UTR
cg26786147,-0.5010073131165391,ALAS1,TSS200
cg13077930,0.43192529548150305,ALB,TSS1500
cg02582608,-0.5188881010421985,ALCAM,5'UTR
ch.10.2027377R,-0.5193615870953652,ALDH18A1,Body
cg14447733,0.18459168299237924,ALDH1A1,Body
cg19890277,-0.5016001604537592,ALDH1A2,TSS1500
cg15671705,-0.5102013080041621,ALDH1A3,TSS1500
cg13521538,-0.5075066200349125,ALDH1B1,TSS1500
cg16312163,-0.4934260758726296,ALDH1L1,5'UTR
cg10449070,-0.5088335861832861,ALDH2,5'UTR
cg04209650,-0.51088293983697,ALDH3A1,Body
cg05689600,-0.4998857463374268,ALDH7A1,Body
cg04306817,-0.5221081901830684,ALDOA,TSS200
cg00577167,0.4295785482000024,ALDOB,5'UTR
cg15492003,-0.5202073317292248,ALG2,TSS200
cg22089899,-0.5117027906832855,ALG3,TSS1500
ch.2.740763F,-0.5269723784274619,ALK,Body
cg23074119,-0.5190746851984336,ALKBH1,TSS1500
cg24432432,-0.517123402008529,ALKBH2,TSS200
cg03342084,-0.5142419812953828,ALKBH3,TSS200
cg05395061,-0.5192483126255716,ALKBH5,TSS200
cg26143053,0.4467180709339187,ALLC,5'UTR
cg08870757,0.4511750158688806,ALOX12,Body
cg06222638,-0.49113538467056583,ALOX15,Body
cg18308285,-0.452167052787616,ALOX15B,1stExon
cg27608999,-0.5119685462272937,ALOX5,Body
cg20103124,-0.4808929995216944,ALOX5AP,TSS200
cg04920535,0.45152812976785145,ALPI,Body
cg17445830,-0.49550768091697356,ALPK1,TSS200
cg15210127,0.43747061614477545,ALPK2,3'UTR
cg07162257,-0.5093934166883719,ALPL,TSS200
cg09760618,0.43986301400734695,ALPP,TSS200
cg14996220,-0.49964870425483354,ALX1,TSS1500
cg06215569,-0.5079339416606876,ALX3,Body
cg08914623,-0.517316750098856,ALX4,Body
cg01091448,-0.5198307277643427,AMACR,5'UTR
cg16360777,-0.44596095025210053,AMBN,Body
cg13737776,0.45580365967399905,AMBP,Body
cg24374161,-0.49722113206640567,AMBRA1,5'UTR
cg04128563,-0.5164656858522201,AMD1,TSS1500
cg11323230,-0.5068876557764028,AMFR,1stExon
cg11616651,-0.4940721720754363,AMH,Body
cg17088290,0.44539519793895893,AMHR2,Body
cg00920818,-0.5150866432835184,AMIGO2,5'UTR
cg25577023,-0.5048005919741052,AMN,Body
ch.11.1980478F,-0.5211990825544135,AMOTL1,Body
cg13485061,0.43191335689297106,AMPD1,Body
cg26839284,-0.5205696940386906,AMPD2,TSS1500
cg12318400,-0.5153280710816814,AMPD3,TSS200
cg02383130,-0.5078825648906302,AMPH,5'UTR
cg07266350,0.44509137548918215,AMT,TSS1500
cg22215192,0.4215388009824308,AMY2A,Body
cg07571180,-0.4695799471658228,ANAPC10,5'UTR
cg21639988,-0.5176543258486807,ANAPC11,TSS200
cg10467681,-0.5066536418259647,ANAPC2,TSS1500
cg04838709,-0.5129033528609075,ANG,TSS1500
cg11745019,-0.5058379553162154,ANGPT1,1stExon
cg21743914,0.4609169400845797,ANGPT2,Body
cg04650271,-0.4286185510583234,ANGPT4,TSS200
cg07044282,0.3278233782434386,ANGPTL1,1stExon
cg13662634,-0.38699227519365065,ANGPTL2,1stExon
cg02505409,-0.5118502348848768,ANGPTL4,5'UTR
cg14870062,-0.500406139774702,ANGPTL6,Body
cg21223353,0.452720447053945,ANGPTL7,1stExon
cg03596181,-0.5200633696534692,ANK1,Body
cg23498748,-0.5085142013199705,ANKDD1A,TSS200
cg20541601,-0.5196594245055686,ANKHD1,TSS1500
cg05954266,0.4504901325241691,ANKHD1-EIF4EBP3,Body
cg11156286,-0.5099396933315219,ANKLE2,1stExon
cg16562913,0.4484040690309898,ANKRD1,TSS1500
cg27641820,-0.5189840474761998,ANKRD11,TSS1500
cg26015190,-0.5195441799899063,ANKRD12,5'UTR
cg15614628,-0.5184055684908948,ANKRD17,5'UTR
cg14942495,-0.5015601867608523,ANKRD22,Body
cg00290924,-0.5158671865730804,ANKRD26,TSS200
cg19219503,0.43438951624559297,ANKRD30A,1stExon
cg15434398,0.4258991903208152,ANKRD33,3'UTR
cg06584912,-0.5102558849409844,ANKRD36B,1stExon
cg03693064,-0.5081741565559081,ANKRD49,5'UTR
cg05879919,-0.5201797119801076,ANKRD9,TSS1500
cg20228119,-0.5082322450456136,ANKS1B,Body
cg26937434,0.424185858012853,ANKS4B,1stExon
cg04826663,-0.5143080974548245,ANLN,Body
cg07776163,-0.4957441745570063,ANO1,TSS200
cg00282706,-0.5005972545183137,ANO2,TSS200
cg19639184,-0.49785353718224834,ANO5,5'UTR
cg24949344,-0.5181112053050017,ANO6,TSS1500
cg09448654,-0.5187545860354527,ANO7,Body
cg01944087,-0.5168680956493852,ANP32A,Body
cg07560534,-0.5188941633669315,ANP32B,TSS200
cg13003163,0.44401817199770477,ANP32D,1stExon
cg22377939,-0.5187720857212959,ANP32E,TSS200
cg19405555,-0.5145550613664833,ANPEP,TSS1500
cg02304863,-0.5155963039460323,ANTXR1,5'UTR
cg08174504,-0.5054934230337332,ANTXR2,5'UTR
cg01894895,0.4454492442402249,ANXA1,TSS1500
cg03359508,-0.5167496432247336,ANXA11,5'UTR
cg00283535,0.44148396128898676,ANXA13,1stExon
cg00155593,-0.512198924214779,ANXA2,TSS200
cg18787914,-0.5120229455049927,ANXA3,5'UTR
cg21960922,-0.5130228103266863,ANXA4,5'UTR
cg03354519,-0.5191104199053048,ANXA5,TSS1500
cg23481438,-0.5157801688571988,ANXA6,TSS200
cg06731162,-0.5164890895745031,ANXA7,TSS200
cg25468058,0.44359786507268417,ANXA9,TSS1500
cg19055390,0.43367883947515945,AOC3,1stExon
cg08952506,-0.5083429995837462,AOX1,TSS200
cg21882650,-0.5202904949576707,AP1B1,TSS200
cg08072574,-0.514563471052825,AP2A1,TSS200
cg14526166,-0.5191059424818275,AP2B1,TSS200
cg04891495,-0.5176286109401754,APAF1,5'UTR
cg15623573,-0.5139243807232627,APBA1,TSS1500
cg01650818,-0.48289077371748607,APBA2,5'UTR
cg01083711,0.45464284255527,APBA3,Body
cg25501099,-0.5150444986568921,APBB1IP,5'UTR
cg20021244,-0.5201527827463096,APBB3,1stExon
cg07003745,-0.5189555525981044,APC,TSS200
cg12400781,-0.5099073292225904,APC2,3'UTR
cg05627083,-0.4933827335601806,APCDD1,5'UTR
cg01443488,0.44986132332974493,APCS,TSS200
cg16953475,-0.5124880297372885,APEH,Body
cg01213928,-0.5149194498448277,APEX1,TSS200
cg24004330,-0.512720729529646,APH1A,TSS200
cg19844635,-0.5162921193939773,API5,TSS200
cg03995951,0.45180088449440176,APIP,Body
cg15355388,-0.4965124693344411,APLNR,Body
cg23388371,-0.5043253731415874,APLP1,1stExon
cg03881961,-0.5143296589721807,APLP2,Body
cg00142925,-0.47710958543428034,APOA1,Body
cg19459542,-0.5084879413339817,APOB,Body
cg20597842,0.4268955160161687,APOBEC1,TSS200
cg12253732,0.45015931909154394,APOBEC2,3'UTR
cg02869653,0.45174154879656553,APOBEC3A,TSS1500
cg25787886,-0.502543104184821,APOBEC3B,TSS200
cg04835613,-0.5108390801407294,APOBEC3C,1stExon
cg23896816,-0.5100185652677618,APOBEC3G,5'UTR
cg09135399,-0.49810691467786095,APOBEC3H,TSS200
cg11337525,-0.5022550236312403,APOC1,Body
cg24084606,0.31422352870059383,APOC1P1,Body
cg14723423,0.4210424860769554,APOC2,TSS1500
cg18765133,0.44950640768670114,APOD,TSS1500
cg08955609,-0.5043888527547599,APOE,5'UTR
cg09732045,0.44192193030283694,APOH,3'UTR
cg17634401,0.4545743514605725,APOM,TSS1500
ch.21.228978R,-0.5160798332034456,APP,Body
cg04394902,-0.5167048817812586,APPBP2,Body
cg26107590,-0.515810799315961,APPL1,TSS1500
cg00702030,-0.5145115081403563,APPL2,5'UTR
cg27322556,-0.5217995351940476,APRT,TSS200
cg21157115,-0.5237431544550225,APTX,5'UTR
cg26923410,-0.4687804399038827,AQP1,TSS200
cg21962450,-0.4980542332262051,AQP4,Body
cg15336765,-0.49787887036219736,AQP5,1stExon
cg07034276,0.4365075617573273,AQP6,TSS200
cg03547812,0.44691111537618927,AQP8,Body
cg09732282,-0.47937652155717875,AQP9,Body
cg26215437,-0.5121556004203809,AQR,1stExon
ch.5.2638848F,-0.5175888566899477,ARAP3,Body
cg01509843,-0.4967045205968933,ARC,5'UTR
cg02009651,-0.21879175670580397,AREG,TSS1500
cg21282883,-0.515889952188388,ARF1,5'UTR
cg10346242,-0.510725027451402,ARF3,TSS1500
cg03976895,-0.5186072437284635,ARF6,TSS200
cg14071762,-0.5191305584607976,ARFGAP1,TSS200
cg04947838,-0.5097151748024854,ARFGEF1,TSS1500
cg16178743,0.4289210025759696,ARG1,Body
cg12934804,-0.5172847711847669,ARG2,TSS200
cg15384392,-0.5149592584577349,ARHGAP1,5'UTR
cg18583381,-0.5148899326625769,ARHGAP10,Body
cg04351205,-0.5157175841166729,ARHGAP15,TSS1500
cg08488529,-0.516541674935072,ARHGAP17,Body
cg22882090,-0.5159012828442482,ARHGAP18,5'UTR
cg09892390,-0.5204444470869456,ARHGAP21,TSS1500
cg07209546,-0.4987080981719936,ARHGAP24,1stExon
cg03328750,-0.5143312635663445,ARHGAP26,1stExon
cg24349819,0.45412132058529864,ARHGAP27,Body
cg00402547,0.43051088769085943,ARHGAP28,5'UTR
cg17490932,-0.5135553633216459,ARHGAP29,1stExon
cg00045607,-0.5147665436758682,ARHGAP30,1stExon
cg16370660,-0.5069607720848496,ARHGAP5,5'UTR
cg16164619,-0.5106148611947434,ARHGAP9,Body
cg23522862,-0.508778408853469,ARHGDIA,TSS200
cg22614759,-0.5107699387147149,ARHGDIB,5'UTR
cg13194341,-0.5080807924375791,ARHGEF1,TSS200
cg06076323,-0.48831232065632557,ARHGEF10,TSS200
cg15074869,-0.5003079772342985,ARHGEF11,TSS1500
cg22276271,-0.5120436856274022,ARHGEF12,TSS200
cg20632873,-0.5032876106421614,ARHGEF2,Body
cg20173637,0.4429656723075242,ARHGEF5,3'UTR
ch.13.1810252F,-0.5159267261305033,ARHGEF7,Body
ch.1.893309F,-0.5190548551292133,ARID1A,Body
cg23191292,-0.5182745818537091,ARID1B,1stExon
cg18829183,-0.5142499212414043,ARID2,Body
ch.15.1197129R,-0.5218493243071827,ARID3B,Body
cg14077301,-0.4950986538311671,ARID4A,5'UTR
cg25994883,-0.497408190269662,ARID4B,5'UTR
cg13467605,-0.517016204700507,ARID5B,Body
cg12251884,-0.5183627040958417,ARIH1,5'UTR
cg11827082,-0.5133525460995982,ARL11,TSS200
cg22812516,-0.5152608139207963,ARL13B,TSS1500
cg01196404,-0.5128522471473019,ARL15,TSS200
cg19017420,-0.5214063347655973,ARL2,TSS1500
cg22136326,-0.5211980334166127,ARL2BP,TSS1500
cg13539030,-0.5115571155403572,ARL4C,TSS1500
cg25673373,-0.51749642073304,ARL4D,5'UTR
cg00981594,-0.5127150403214956,ARL6IP1,TSS1500
cg04645049,-0.526776607840857,ARL6IP5,TSS200
cg04349810,-0.5119111064892045,ARMC5,TSS1500
cg12529055,-0.5160285027129425,ARMC8,TSS200
cg00713605,-0.5176267601765883,ARMC9,1stExon
cg05806577,-0.5120363488710605,ARNT,1stExon
cg05201477,-0.50802214827301,ARNT2,TSS1500
cg22322535,-0.5175497663127435,ARNTL,5'UTR
cg22952210,-0.5153496120654395,ARNTL2,TSS1500
cg13043150,-0.5168209681101582,ARPC1B,TSS200
cg12684684,-0.5212518818404163,ARPC2,TSS200
cg07893813,-0.5128216141440108,ARPP19,1stExon
cg02536026,-0.4893649852421995,ARRB1,TSS1500
cg13376290,-0.5158581941774656,ARRB2,Body
cg20393975,-0.5050674331604899,ARRDC1,TSS1500
cg19431963,-0.5082770214702872,ARRDC3,5'UTR
cg11297817,-0.5175056300613301,ARSA,TSS200
cg26530201,-0.4810296156924569,ARSI,TSS200
cg27321017,0.4470400344547867,ART1,5'UTR
cg21097698,0.4599352753472714,ART3,5'UTR
cg20452714,-0.48576429761226164,ARTN,1stExon
cg13563405,-0.5198675134815957,ASAH1,TSS200
ch.8.2599852F,-0.52242973656973,ASAP1,Body
cg22190705,-0.5135343597368536,ASAP2,TSS1500
cg00361343,-0.476741547313001,ASB4,Body
cg06105085,-0.515286534309524,ASCC1,TSS1500
cg01242484,-0.5186898100121773,ASCC2,TSS200
cg22154024,-0.5105205607330151,ASCL1,TSS1500
cg09894698,-0.5128948016843268,ASCL2,1stExon
cg09532575,0.44046569499174715,ASF1A,Body
cg01545242,-0.5143155248225775,ASF1B,TSS1500
cg08304478,-0.5054209846108549,ASGR1,Body
cg24312492,-0.5176530956731232,ASH1L,TSS200
cg21416181,0.4434189108120546,ASIP,Body
cg23500774,-0.5152519191451431,ASL,5'UTR
cg08114476,-0.5110399581795222,ASNS,TSS200
cg07732644,0.4449086766054343,ASPA,TSS1500
cg10038250,-0.46686981620157436,ASPG,Body
cg14405873,-0.5082941473250568,ASPH,TSS200
cg12528753,-0.5143576948924122,ASPM,TSS200
cg02609742,-0.5159736921460306,ASPSCR1,Body
cg13799206,-0.5146551458353726,ASRGL1,5'UTR
cg23282771,-0.5077746447152383,ASS1,5'UTR
cg03832227,0.4534670012135405,ASTL,Body
cg00174466,-0.5216557378373154,ASXL1,TSS1500
cg19084174,-0.5146328437518668,ASXL2,TSS200
cg24552431,-0.5186177192177812,ATAD1,5'UTR
cg04864666,-0.5156258930235577,ATAD2,Body
cg11103442,-0.5154922186571081,ATAD3A,TSS1500
cg10240778,-0.5191155203852476,ATAD3B,1stExon
cg23905935,-0.5165172675522661,ATAD5,1stExon
cg15093003,-0.5195777507516187,ATE1,TSS200
cg20456276,-0.5109909696209364,ATF1,TSS200
cg19447671,-0.5181493961538053,ATF2,5'UTR
cg17080534,-0.5184695237103302,ATF3,TSS1500
cg00577588,-0.5133352790663023,ATF4,TSS200
cg18476478,0.3935222751104589,ATF5,3'UTR
cg07804963,-0.5175584269729253,ATF6,TSS200
cg00236831,-0.5159297933166608,ATF7IP,1stExon
cg10987792,-0.5120203017256462,ATG10,TSS200
cg07263984,-0.513091050299505,ATG12,TSS1500
ch.2.4702176R,-0.5202392119488107,ATG16L1,Body
cg25034908,-0.5208009234005511,ATG16L2,Body
cg06116495,-0.5105321066883922,ATG3,TSS1500
cg14400079,-0.518878782961182,ATG4B,TSS1500
cg00031663,-0.518227075992832,ATG4D,TSS200
cg16950012,-0.5145482563286092,ATG5,5'UTR
cg04788249,-0.5139912141759043,ATG7,5'UTR
cg00112723,-0.516918125492674,ATG9A,TSS1500
cg10535143,-0.5216684729546927,ATIC,TSS200
cg21107197,-0.5029962520559702,ATL1,Body
cg06053805,-0.5217801112397206,ATM,TSS200
