Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
CPXM1,2,cg07113642,CPXM1,0.762393617,0.762393617,220.0,221.0,194.0,0.78587426
CRHBP,2,cg04306063,CRHBP,0.828201061,0.828201061,131.0,132.0,105.0,0.884365168
CSMD3,2,cg22052659,CSMD3,0.829145729,0.829145729,130.0,131.0,183.0,0.81530955
CYP1B1,2,cg09799983,CYP1B1,0.866734977,0.866734977,78.0,78.0,68.0,0.882072202
CYP26A1,2,cg17538572,CYP26A1,0.553863636,0.553863636,357.0,355.0,350.0,0.775582573
DLK1,2,cg02874376,DLK1,0.883152174,0.883152174,59.0,59.0,48.0,0.861435504
DSC3,2,cg11814235,DSC3,0.7925,0.7925,184.5,183.0,127.0,0.567962459
EFEMP1,2,cg05385513,EFEMP1,0.505185185,0.505185185,367.0,366.0,333.0,0.865221565
ENPP2,2,cg06998282,ENPP2,0.724864865,0.724864865,270.0,271.0,229.0,0.859435824
F7,2,cg03338754,F7,0.724642857,0.724642857,271.0,272.0,247.0,0.849357436
FAT4,2,cg17265829,FAT4,0.984496124,0.984496124,3.0,3.0,2.0,0.806244334
FCRL3,2,cg25259754,FCRL3,0.923564287,0.923564287,27.0,26.0,21.0,0.898976164
FLG,2,cg22719314,FLG,0.87755102,0.87755102,67.0,66.0,55.0,0.897803018
GALNT6,2,cg21253043,GALNT6,0.826225704,0.826225704,137.0,137.0,108.0,0.902922199
GALNT7,2,cg21739530,GALNT7,0.78,0.7925,197.5,183.0,157.0,0.846931158
GALR1,2,cg03502002,GALR1,0.875,0.875,71.0,70.0,91.0,0.823094971
GALR3,2,cg07879739,GALR3,0.821018767,0.821018767,141.0,141.0,118.0,0.856476297
GHSR,2,cg17152757,GHSR,0.7175,0.7175,280.5,281.5,313.0,0.705033861
GRIA1,2,cg08578734,GRIA1,0.654946809,0.654946809,320.0,319.0,347.0,0.760811603
GRIA4,2,cg15603568,GRIA4,0.864779149,0.864779149,82.0,82.0,71.0,0.78998027
GRIN1,2,cg13759674,GRIN1,0.797446809,0.797446809,178.0,176.0,151.0,0.881458967
GRM1,2,cg08958294,GRM1,0.84,0.84,107.0,109.5,70.0,0.590492188
GRM6,2,cg00582971,GRM6,0.799416446,0.799416446,171.0,170.0,266.0,0.854023356
HS3ST2,2,cg08214995,HS3ST2,0.88078526,0.88078526,64.0,64.0,65.0,0.856049699
KCNE3,2,cg04574090,KCNE3,0.930666667,0.930666667,21.0,20.0,16.0,0.839865622
KCNIP4,2,cg06482428,KCNIP4,0.845,0.845,98.0,99.5,153.0,0.698128299
KCNK9,2,cg04849842,KCNK9,0.773513514,0.773513514,209.0,208.0,256.0,0.883858583
LILRA2,2,cg14575739,LILRA2,0.889347826,0.889347826,53.0,53.0,63.0,0.80008532
LNX1,2,cg02196651,LNX1,0.8975,0.8975,43.0,42.0,53.0,0.710446329
LOXL1,2,cg10974980,LOXL1,0.7925,0.7925,184.5,183.0,109.0,0.826774383
LOXL2,2,cg09535960,LOXL2,0.889460154,0.889460154,52.0,52.0,31.0,0.804911214
LPAR5,2,cg25136495,LPAR5,0.843537415,0.843537415,101.0,103.0,83.0,0.933050712
LTBP2,2,cg27317046,LTBP2,0.7975,0.7975,174.5,173.0,128.0,0.713165893
MMP9,2,cg26132320,MMP9,0.955357143,0.955357143,7.0,7.0,5.0,0.839305711
MYT1,2,cg21367256,MYT1,0.694642857,0.694642857,298.0,298.0,273.0,0.806404309
MYT1L,2,cg22511877,MYT1L,0.8575,0.8575,89.0,89.0,74.0,0.846984482
NID2,2,cg22881914,NID2,0.74505102,0.74505102,240.0,242.0,286.0,0.833280009
NPTX2,2,cg18952796,NPTX2,0.8725,0.8725,73.0,73.0,61.0,0.71823175
NT5E,2,cg13315970,NT5E,0.5225,0.5225,365.0,364.0,362.0,0.755079187
PCDH17,2,cg26444528,PCDH17,0.7175,0.7175,280.5,281.5,239.0,0.754732576
PCDH8,2,cg27360326,PCDH8,0.8425,0.8425,104.0,106.0,110.0,0.684157202
PDE4B,2,cg16294013,PDE4B,0.758333333,0.758333333,224.0,225.0,202.5,0.682904069
PDE4C,2,cg15215348,PDE4C,0.7225,0.7225,273.5,274.5,217.0,0.735402336
PPM1H,2,cg07699978,PPM1H,0.350612245,0.350612245,373.0,373.0,373.0,0.864021757
PTPRN2,2,cg14419740,PTPRN2,0.8275,0.8275,133.5,134.0,106.0,0.865994774
PTPRO,2,cg10646402,PTPRO,0.759166667,0.759166667,222.0,223.0,200.0,0.843278409
RNF216,2,cg21637392,RNF216,0.811083123,0.769017632,151.0,216.0,187.0,0.874660054
RYR2,2,cg07790615,RYR2,0.74127551,0.74127551,244.0,244.0,225.0,0.797259105
SEZ6L2,2,cg27267227,SEZ6L2,0.61,0.61,346.0,344.0,327.0,0.901189143
SGMS1,2,cg00936935,SGMS1,0.727684478,0.727684478,263.0,266.0,262.0,0.868207753
SIAH2,2,cg13590228,SIAH2,0.720555556,0.735555556,277.0,259.0,236.0,0.780381806
SLC12A5,2,cg06132069,SLC12A5,0.775,0.775,205.0,204.0,232.0,0.684957074
SLC13A5,2,cg13545212,SLC13A5,0.46,0.46,369.0,369.0,365.0,0.788327201
SLC2A2,2,cg14777768,SLC2A2,0.651598916,0.651598916,322.0,321.0,300.0,0.863488509
SLC6A3,2,cg14502484,SLC6A3,0.886831512,0.886831512,55.0,55.0,45.0,0.829227324
SSH1,2,cg19256314,SSH1,0.82772846,0.82772846,132.0,133.0,123.0,0.866074761
SSTR1,2,cg23248887,SSTR1,0.69,0.69,302.5,302.5,248.0,0.772569722
SSTR4,2,cg07676859,SSTR4,0.947166667,0.947166667,12.0,12.0,8.0,0.87660641
ST8SIA3,2,cg13096208,ST8SIA3,0.8225,0.8225,139.0,139.0,174.0,0.797072468
STIM1,2,cg13782615,STIM1,0.611734694,0.611734694,345.0,343.0,348.0,0.799578734
TNR,2,cg24932457,TNR,0.785,0.785,193.5,192.5,196.0,0.500693222
TRIM71,2,cg12338417,TRIM71,0.699473684,0.69,295.0,302.5,267.0,0.82485469
UNC5D,2,cg08754088,UNC5D,0.738903394,0.738903394,250.0,251.0,161.0,0.809577134
WWP2,2,cg26860604,WWP2,0.749160305,0.749160305,238.0,240.0,199.0,0.869860822
PLD5,2,cg12636785,PLD5,0.665,0.665,317.0,316.0,292.0,0.795845998
TMEM196,2,cg06896909,TMEM196,0.822278912,0.822278912,140.0,140.0,117.0,0.890817469
VOPP1,2,cg21959598,VOPP1,0.833342449,0.833342449,118.0,121.0,100.0,0.930277822
MPPED2,2,cg13342435,MPPED2,0.774710744,0.774710744,207.0,206.0,180.0,0.910094385
