Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
ZIC1,1,cg04738965,ZIC1,0.814249364,0.814249364,150.0,148.0,90.0,0.890070922
NFIL3,1,cg07084627,NFIL3,0.810277778,0.810277778,152.0,149.0,165.0,0.813843118
FOXE1,1,cg13791254,FOXE1,0.810089532,0.810089532,153.0,150.0,136.0,0.926785048
ZIC4,1,cg16768018,ZIC4,0.81,0.81,154.0,151.0,120.5,0.800005332
PBX1,1,cg26026748,PBX1,0.805,0.805,159.5,156.5,137.0,0.757185517
ZIC5,1,cg20985450,ZIC5,0.804281984,0.804281984,161.0,158.0,269.0,0.826214472
FOXA2,1,cg03774514,FOXA2,0.803676843,0.803676843,162.0,159.0,142.0,0.919639524
HOXA10,1,cg14625175,HOXA10,0.800555556,0.800555556,167.5,166.5,148.0,0.784994401
PRR5,1,cg26995244,PRR5,0.8,0.8,169.5,168.5,149.5,0.854316643
HOXD10,1,cg10364040,HOXD10,0.7975,0.7975,174.5,173.0,158.0,0.760491655
GCM2,1,cg05452406,GCM2,0.796818182,0.796818182,179.0,177.0,152.0,0.879859223
TBX15,1,cg02177231,TBX15,0.795,0.795,181.0,179.0,130.0,0.808563963
PAX9,1,cg04415798,PAX9,0.787282609,0.787282609,191.0,190.0,172.0,0.762651309
POU4F1,1,cg08097882,POU4F1,0.786358913,0.786358913,192.0,191.0,168.0,0.912360689
SIX3,1,cg00097146,SIX3,0.78,0.78,197.5,198.0,277.0,0.659254519
TLX2,1,cg21185289,TLX2,0.779183673,0.80127551,200.0,165.0,147.0,0.874766704
SMYD3,1,cg25025181,SMYD3,0.777045455,0.777045455,202.0,201.0,177.0,0.780488455
PDX1,1,cg26299169,PDX1,0.775,0.775,205.0,204.0,169.0,0.71001973
GAS1,1,cg14416311,GAS1,0.774456522,0.774456522,208.0,207.0,304.0,0.891084093
OPCML,1,cg18710784,OPCML,0.772122251,0.772122251,210.0,209.0,47.0,0.887191383
HOXA1,1,cg09420439,HOXA1,0.766005222,0.766005222,218.0,219.0,190.0,0.922065803
FOXD3,1,cg18279094,FOXD3,0.758367347,0.758367347,223.0,224.0,201.0,0.804484616
EBF1,1,cg16126280,EBF1,0.754565217,0.754565217,228.0,229.0,208.0,0.789233723
PHOX2A,1,cg18722841,PHOX2A,0.753317721,0.753317721,229.0,231.0,210.0,0.877192982
EOMES,1,cg15540820,EOMES,0.753106255,0.753106255,230.0,232.0,211.0,0.832933397
POU4F2,1,cg06083330,POU4F2,0.752467532,0.752467532,232.0,234.0,214.0,0.91070762
RARB,1,cg21646032,RARB,0.750555556,0.750555556,235.0,237.0,209.0,0.820135445
HOXA4,1,cg07317062,HOXA4,0.749319899,0.749319899,237.0,239.0,221.0,0.907508132
CUX1,1,cg06173663,CUX1,0.74,0.74,247.5,247.5,233.0,0.692129259
HOXD8,1,cg09238180,HOXD8,0.74,0.74,247.5,247.5,297.0,0.831253666
NKX2-2,1,cg22474464,NKX2-2,0.7375,0.739946809,252.0,249.0,341.0,0.767077268
ZSCAN18,1,cg14231297,ZSCAN18,0.7375,0.7375,252.0,252.5,271.0,0.769130272
PRDM14,1,cg13267264,PRDM14,0.737045455,0.737045455,256.0,256.0,280.0,0.705033861
PHLDB1,1,cg04142864,PHLDB1,0.735833333,0.735833333,257.5,257.5,234.5,0.802404949
IRF4,1,cg06392169,IRF4,0.7325,0.7325,259.0,260.0,223.0,0.566256066
PITX2,1,cg05835105,PITX2,0.726170213,0.726170213,267.0,268.0,245.0,0.71556551
EVX1,1,cg15564098,EVX1,0.7225,0.7225,273.5,274.5,222.0,0.722391084
CCDC8,1,cg03576469,CCDC8,0.72,0.72,278.0,279.0,239.0,0.70945982
SIM1,1,cg27252696,SIM1,0.71127551,0.698367347,283.0,296.5,289.0,0.895723351
MSC,1,cg23710218,MSC,0.707446809,0.707446809,287.0,287.0,294.0,0.828454114
STAG3,1,cg04778012,STAG3,0.702272727,0.702272727,292.0,292.0,254.0,0.813469845
ZBTB46,1,cg18369516,ZBTB46,0.701666667,0.701666667,293.0,293.0,252.0,0.857302832
CREB3L2,1,cg18091615,CREB3L2,0.699782609,0.699782609,294.0,294.0,270.0,0.678718072
NR1I2,1,cg12702981,NR1I2,0.698488372,0.698488372,296.0,295.0,258.5,0.784381166
ALX3,1,cg06215569,ALX3,0.698367347,0.698367347,297.0,296.5,272.0,0.784754439
PAX5,1,cg13482308,PAX5,0.694444444,0.694444444,299.0,299.0,274.0,0.816296059
IRX1,1,cg10530883,IRX1,0.689946809,0.689946809,304.0,304.0,323.0,0.828720738
FOXG1,1,cg07489048,FOXG1,0.687287234,0.687287234,308.0,307.0,281.0,0.723430918
ZNF521,1,cg21183523,ZNF521,0.684021739,0.684021739,309.0,309.0,296.0,0.835199701
PRDM13,1,cg17302155,PRDM13,0.67826087,0.67826087,313.0,312.0,295.0,0.70391404
SOX17,1,cg08044097,SOX17,0.675,0.675,314.0,313.0,291.0,0.751319789
GLI2,1,cg13713922,GLI2,0.662018048,0.662018048,318.0,317.0,324.0,0.863808457
OTX1,1,cg07974511,OTX1,0.6475,0.6475,325.0,324.0,332.0,0.806724257
SOX14,1,cg16428251,SOX14,0.645,0.645,326.0,325.0,287.0,0.761531488
HOXD11,1,cg11546137,HOXD11,0.643333333,0.643333333,328.0,327.0,306.0,0.86639471
SIX6,1,cg13019491,SIX6,0.636326531,0.636326531,333.0,332.0,312.0,0.748920173
SLITRK1,1,cg16727923,SLITRK1,0.623010204,0.623010204,338.0,337.0,317.0,0.809443822
ZFP42,1,cg06274159,ZFP42,0.620547945,0.608767123,341.0,346.0,329.0,0.884258519
AHRR,1,cg03604011,AHRR,0.609061662,0.609061662,347.0,345.0,328.0,0.926651736
PAX6,1,cg18372607,PAX6,0.607208672,0.607208672,348.0,347.0,330.0,0.84551805
NKX2-1,1,cg23906738,NKX2-1,0.524895833,0.524895833,363.0,362.0,357.0,0.870767344
NR1H3,1,cg24909660,NR1H3,0.5225,0.5225,365.0,364.0,358.0,0.74756039
FAIM2,1,cg06947913,FAIM2,0.441020408,0.441020408,370.0,370.0,368.0,0.589372367
TMEM132D,1,cg12122146,TMEM132D,0.855,0.855,91.0,91.0,77.0,0.695995307
NOL4,1,cg14002960,NOL4,0.801666667,0.801666667,165.0,162.0,120.5,0.835786274
BHLHE23,1,cg26492446,BHLHE23,0.79326087,0.79326087,183.0,181.0,250.0,0.801551752
KLHL35,1,cg05327192,KLHL35,0.925,0.925,25.0,24.0,19.0,0.814056418
PRR15,1,cg18451588,PRR15,0.5725,0.57,354.0,352.0,353.0,0.861382179
