ID,dbeta,UCSC_RefGene_Name
cg19958696,-0.5151718585180568,ACAT1
cg05886574,-0.5208693602449134,ACBD5
cg12287025,-0.5161460088527633,ACCS
cg05322697,-0.5194560036156936,ACD
cg09920557,-0.5080184169713915,ACE
cg04674056,-0.513682591168298,ACER2
cg27220968,-0.5142874170411827,ACHE
cg25140501,-0.5172077428436236,ACIN1
cg11610739,-0.5154359392776771,ACLY
cg15714041,-0.5163907545924042,ACO1
cg05593780,-0.5180185209253186,ACO2
cg26045205,0.44457659129873867,ACOT11
cg17236617,-0.5152825875226276,ACOT7
cg15269548,-0.5189129146897848,ACOX1
cg03468349,-0.5123898053142187,ACP1
cg00487737,-0.5083449316532711,ACP5
cg08423507,0.42957576290483285,ACR
cg12007596,-0.4349965622256512,ACRBP
cg14517390,0.4386551665123523,ACSBG1
cg19487718,-0.5136301905917485,ACSL1
cg00022688,-0.5106765608471336,ACSL5
cg01573938,-0.5137134898963318,ACSL6
cg21644826,-0.5124805439438446,ACSM3
cg15273280,-0.5192618828425123,ACSS1
cg13777294,-0.4952730837128236,ACSS2
cg25358039,-0.49976712917634536,ACSS3
cg05347845,-0.46680850620787234,ACTA1
cg02356111,-0.5148701560041583,ACTB
cg22108809,0.45755679144933953,ACTBL2
cg00671759,-0.519452130624439,ACTG1
cg24691835,0.42625030447148304,ACTG2
cg01568846,-0.5152250504550676,ACTL6A
cg21350283,-0.5101408086915922,ACTN1
cg18770350,-0.45883869895094664,ACTN2
cg24224907,-0.5108732007079986,ACTN4
cg10739033,-0.5209979138372482,ACTR10
cg13781389,-0.514742992382206,ACTR1B
cg23158051,-0.5140381376852722,ACTR2
cg15517836,-0.5214563179029907,ACTR3
cg10896886,-0.5195481416068694,ACTR3B
cg22893248,-0.5093267194339822,ACTR3C
cg01956267,-0.5130179964306562,ACVR1
cg17389218,-0.5187002807498274,ACVR1B
cg18004523,-0.5138286442162621,ACVR1C
cg16081228,-0.5184076890835742,ACVR2A
cg25352216,-0.5087331045254466,ACVR2B
cg10999429,-0.5018962220205763,ACVRL1
cg01458759,-0.5147256360927234,ACY1
cg23879118,-0.464142198772792,ACY3
cg04620717,-0.5130719169745849,ACYP2
cg08283932,-0.5165665376577071,ADA
cg06253734,-0.5205673787970057,ADAM10
cg04776990,-0.5121349921357954,ADAM11
cg02953302,-0.5140749984186249,ADAM12
cg16095542,-0.5157232790288196,ADAM15
cg17603321,-0.5218774494359282,ADAM17
cg07540118,-0.5039499270440835,ADAM19
cg03512208,0.4232054809603992,ADAM21
cg27410756,-0.518852840911594,ADAM22
cg07319626,-0.5092140485832981,ADAM23
cg22915945,-0.4938325849906073,ADAM28
cg16870595,0.432021276721151,ADAM29
cg05789704,-0.4601942907215986,ADAM32
cg17759443,-0.4977371217599661,ADAM33
cg03899708,0.3925942545655666,ADAM6
cg15460093,-0.5081212344091106,ADAM8
cg20621463,-0.5155335001479427,ADAM9
cg02855633,-0.5059576385088844,ADAMTS1
ch.5.731560F,-0.49707320876806554,ADAMTS12
cg04674581,-0.5109359580635241,ADAMTS13
cg08337623,-0.5049314128920201,ADAMTS14
cg15325978,-0.5157485881636719,ADAMTS15
cg06843687,-0.49285472618419846,ADAMTS16
cg05523056,-0.4905528732125281,ADAMTS18
cg14409941,-0.5061323820323516,ADAMTS2
cg11751806,-0.446928525334833,ADAMTS20
cg24329783,0.03398658821951204,ADAMTS4
cg07942598,-0.49538020088369167,ADAMTS5
cg24166172,-0.5127645135368263,ADAMTS6
cg16453560,-0.508340407366079,ADAMTS8
cg01336855,-0.5058155226670696,ADAMTS9
cg09371439,-0.5014872342181317,ADAMTSL3
cg15823180,-0.502257044494887,ADAMTSL4
cg20705565,-0.5190902010662123,ADAR
cg25559103,-0.509001362533593,ADARB1
cg14590817,-0.5124440705976325,ADARB2
cg03051439,-0.517714943873169,ADAT2
cg24461337,0.458521924762542,ADCY10
cg08599266,-0.5054940066349177,ADCY3
cg16696270,-0.49068502065820985,ADCY8
cg11771234,-0.5019931709297177,ADCYAP1
cg20165074,-0.5092297882936644,ADCYAP1R1
cg01682615,-0.5133876894305955,ADD1
cg05098590,-0.5153596874454777,ADD3
cg03806087,0.38567062272809155,ADH1A
cg24368912,0.36668691440436235,ADH1B
cg15785860,0.2858695750676978,ADH1C
cg12011299,0.12258845342902233,ADH4
cg00268009,-0.5178018184385473,ADH5
cg06518271,0.43782564125639706,ADH6
cg18065361,-0.517087516304723,ADHFE1
cg10209223,-0.51351704449655,ADI1
cg05050884,-0.47877132921108356,ADIPOQ
cg13198269,-0.5162983481122103,ADIPOR1
cg24669694,-0.5197659394249836,ADIPOR2
cg06545189,-0.517795351676374,ADK
cg13441983,-0.5147277915960514,ADM
cg26137971,-0.5097589677645712,ADM2
cg20858341,-0.5119182717412506,ADNP
cg12452010,-0.5153694025033266,ADO
cg16293981,-0.5011092726324327,ADORA1
cg23763137,-0.5046121535791519,ADORA2A
cg23694114,-0.5118675668897698,ADORA2B
cg07833779,-0.5166805948853513,ADORA3
cg16016176,-0.5151361547908409,ADPRH
cg03651608,-0.49639103657256806,ADRA1A
cg05963618,-0.48854614940557933,ADRA1B
cg16886188,-0.5144164267789283,ADRA2A
cg27606288,-0.5092617488469707,ADRA2B
cg05394500,-0.5021091018075489,ADRA2C
cg15849403,-0.51018323927105,ADRB1
cg19110523,-0.5165618682307234,ADRB2
cg27498114,-0.4969827656551331,ADRB3
cg10679147,-0.5154789611240038,ADRM1
cg14249876,-0.5074208639479624,AEBP1
cg21786465,-0.5068312745338198,AFAP1
cg00582881,-0.5110004544747779,AFAP1L1
cg04070533,-0.4985395096092948,AFAP1L2
cg09987789,-0.518280447148878,AFF1
cg23497683,-0.5099156521275797,AFF3
cg07801506,0.4474797754206159,AFM
cg10778295,0.42566831285646556,AFP
cg04514020,-0.5127049787643887,AGA
cg22199080,-0.5224967991201717,AGAP2
cg04217927,-0.5106427250416893,AGBL2
cg27580693,0.44779842394526703,AGER
cg13430298,-0.5186540948082635,AGFG1
cg22553641,-0.5100570125826944,AGFG2
cg02435812,-0.507648659092864,AGGF1
cg02905066,-0.5106437807235654,AGK
cg13229494,-0.5160453433335573,AGL
cg01540571,-0.5109356090404947,AGMAT
cg25537774,-0.5055614618159698,AGPAT2
cg01395754,0.44407381283783764,AGPS
cg21201572,0.4444317854119733,AGR2
cg11039314,0.43271556566737013,AGR3
cg10368536,0.42232920304460625,AGRP
cg27401395,0.43680719401761103,AGT
cg22082709,-0.453533214187922,AGTR1
cg10775488,0.4323615112018122,AGXT
cg15664442,0.428419008007341,AGXT2
cg12020639,-0.5150473033830846,AHCYL1
cg08231603,-0.5147135644008298,AHI1
cg11489918,-0.5036211215367886,AHNAK
cg04935903,-0.5156357951713192,AHR
cg16896326,-0.4952674377008235,AHRR
cg15452479,-0.5149904070406262,AHSA1
cg04127903,-0.5188364069866365,AHSG
cg06193723,-0.47294655438419925,AICDA
cg21440587,-0.49398859275404794,AIF1
cg06985578,-0.4987752930794015,AIFM3
cg15185286,-0.5121272159707586,AIG1
cg24659501,0.4523397644611994,AIM2
cg15750102,-0.5132082617341052,AIMP1
cg18282264,-0.4869319342426737,AIMP2
cg26108683,-0.5046838733514847,AIP
cg00495713,-0.49456494669258666,AIRE
cg04027805,-0.5026783862302093,AJAP1
cg06394897,-0.516453326361967,AK2
ch.17.1457304R,-0.5149996190517269,AKAP1
cg01934962,-0.5114826488471409,AKAP10
cg10118925,-0.5071264611195424,AKAP12
cg03148419,0.457656602263063,AKAP3
cg02582136,-0.5172238698347976,AKAP9
cg08614813,0.4287738600478439,AKIRIN2
cg22350160,-0.5118044353148584,AKR1A1
cg13056495,-0.5169781580579492,AKR1B1
cg06133921,0.4388383021895979,AKR1B10
cg26678705,0.44115061744255235,AKR1C1
cg19648686,0.4265440776740252,AKR1C2
cg12530994,-0.4610269970593714,AKR1C3
cg06573570,0.4439961756037843,AKR1C4
cg12219123,-0.5015207192205999,AKR7A2
cg16126458,-0.49952530517461924,AKR7A3
cg06895316,-0.5139576622076193,AKT1
cg03813033,-0.5171998324540412,AKT1S1
cg14260485,-0.5162370596949056,AKT2
cg22637834,0.4489512832158127,AKT3
cg02027010,-0.5041064100804766,ALAD
cg26786147,-0.5010073131165391,ALAS1
cg13077930,0.43192529548150305,ALB
cg02582608,-0.5188881010421985,ALCAM
ch.10.2027377R,-0.5193615870953652,ALDH18A1
cg14447733,0.18459168299237924,ALDH1A1
cg19890277,-0.5016001604537592,ALDH1A2
cg15671705,-0.5102013080041621,ALDH1A3
cg13521538,-0.5075066200349125,ALDH1B1
cg16312163,-0.4934260758726296,ALDH1L1
cg10449070,-0.5088335861832861,ALDH2
cg04209650,-0.51088293983697,ALDH3A1
cg05689600,-0.4998857463374268,ALDH7A1
cg04306817,-0.5221081901830684,ALDOA
cg00577167,0.4295785482000024,ALDOB
cg15492003,-0.5202073317292248,ALG2
cg22089899,-0.5117027906832855,ALG3
ch.2.740763F,-0.5269723784274619,ALK
cg23074119,-0.5190746851984336,ALKBH1
cg24432432,-0.517123402008529,ALKBH2
cg03342084,-0.5142419812953828,ALKBH3
cg05395061,-0.5192483126255716,ALKBH5
cg26143053,0.4467180709339187,ALLC
cg08870757,0.4511750158688806,ALOX12
cg06222638,-0.49113538467056583,ALOX15
cg18308285,-0.452167052787616,ALOX15B
cg27608999,-0.5119685462272937,ALOX5
cg20103124,-0.4808929995216944,ALOX5AP
cg04920535,0.45152812976785145,ALPI
cg17445830,-0.49550768091697356,ALPK1
cg15210127,0.43747061614477545,ALPK2
cg07162257,-0.5093934166883719,ALPL
cg09760618,0.43986301400734695,ALPP
cg14996220,-0.49964870425483354,ALX1
cg06215569,-0.5079339416606876,ALX3
cg08914623,-0.517316750098856,ALX4
cg01091448,-0.5198307277643427,AMACR
cg16360777,-0.44596095025210053,AMBN
cg13737776,0.45580365967399905,AMBP
cg24374161,-0.49722113206640567,AMBRA1
cg04128563,-0.5164656858522201,AMD1
cg11323230,-0.5068876557764028,AMFR
cg11616651,-0.4940721720754363,AMH
cg17088290,0.44539519793895893,AMHR2
cg00920818,-0.5150866432835184,AMIGO2
cg25577023,-0.5048005919741052,AMN
ch.11.1980478F,-0.5211990825544135,AMOTL1
cg13485061,0.43191335689297106,AMPD1
cg26839284,-0.5205696940386906,AMPD2
cg12318400,-0.5153280710816814,AMPD3
cg02383130,-0.5078825648906302,AMPH
cg07266350,0.44509137548918215,AMT
cg22215192,0.4215388009824308,AMY2A
cg07571180,-0.4695799471658228,ANAPC10
cg21639988,-0.5176543258486807,ANAPC11
cg10467681,-0.5066536418259647,ANAPC2
cg04838709,-0.5129033528609075,ANG
cg11745019,-0.5058379553162154,ANGPT1
cg21743914,0.4609169400845797,ANGPT2
cg04650271,-0.4286185510583234,ANGPT4
cg07044282,0.3278233782434386,ANGPTL1
cg13662634,-0.38699227519365065,ANGPTL2
cg02505409,-0.5118502348848768,ANGPTL4
cg14870062,-0.500406139774702,ANGPTL6
cg21223353,0.452720447053945,ANGPTL7
cg03596181,-0.5200633696534692,ANK1
cg23498748,-0.5085142013199705,ANKDD1A
cg20541601,-0.5196594245055686,ANKHD1
cg05954266,0.4504901325241691,ANKHD1-EIF4EBP3
cg11156286,-0.5099396933315219,ANKLE2
cg16562913,0.4484040690309898,ANKRD1
cg27641820,-0.5189840474761998,ANKRD11
cg26015190,-0.5195441799899063,ANKRD12
cg15614628,-0.5184055684908948,ANKRD17
cg14942495,-0.5015601867608523,ANKRD22
cg00290924,-0.5158671865730804,ANKRD26
cg19219503,0.43438951624559297,ANKRD30A
cg15434398,0.4258991903208152,ANKRD33
cg06584912,-0.5102558849409844,ANKRD36B
cg03693064,-0.5081741565559081,ANKRD49
cg05879919,-0.5201797119801076,ANKRD9
cg20228119,-0.5082322450456136,ANKS1B
cg26937434,0.424185858012853,ANKS4B
cg04826663,-0.5143080974548245,ANLN
cg07776163,-0.4957441745570063,ANO1
cg00282706,-0.5005972545183137,ANO2
cg19639184,-0.49785353718224834,ANO5
cg24949344,-0.5181112053050017,ANO6
cg09448654,-0.5187545860354527,ANO7
cg01944087,-0.5168680956493852,ANP32A
cg07560534,-0.5188941633669315,ANP32B
cg13003163,0.44401817199770477,ANP32D
cg22377939,-0.5187720857212959,ANP32E
cg19405555,-0.5145550613664833,ANPEP
cg02304863,-0.5155963039460323,ANTXR1
cg08174504,-0.5054934230337332,ANTXR2
cg01894895,0.4454492442402249,ANXA1
cg03359508,-0.5167496432247336,ANXA11
cg00283535,0.44148396128898676,ANXA13
cg00155593,-0.512198924214779,ANXA2
cg18787914,-0.5120229455049927,ANXA3
cg21960922,-0.5130228103266863,ANXA4
cg03354519,-0.5191104199053048,ANXA5
cg23481438,-0.5157801688571988,ANXA6
cg06731162,-0.5164890895745031,ANXA7
cg25468058,0.44359786507268417,ANXA9
cg19055390,0.43367883947515945,AOC3
cg08952506,-0.5083429995837462,AOX1
cg21882650,-0.5202904949576707,AP1B1
cg08072574,-0.514563471052825,AP2A1
cg14526166,-0.5191059424818275,AP2B1
cg04891495,-0.5176286109401754,APAF1
cg15623573,-0.5139243807232627,APBA1
cg01650818,-0.48289077371748607,APBA2
cg01083711,0.45464284255527,APBA3
cg25501099,-0.5150444986568921,APBB1IP
cg20021244,-0.5201527827463096,APBB3
cg07003745,-0.5189555525981044,APC
cg12400781,-0.5099073292225904,APC2
cg05627083,-0.4933827335601806,APCDD1
cg01443488,0.44986132332974493,APCS
cg16953475,-0.5124880297372885,APEH
cg01213928,-0.5149194498448277,APEX1
cg24004330,-0.512720729529646,APH1A
cg19844635,-0.5162921193939773,API5
cg03995951,0.45180088449440176,APIP
cg15355388,-0.4965124693344411,APLNR
cg23388371,-0.5043253731415874,APLP1
cg03881961,-0.5143296589721807,APLP2
cg00142925,-0.47710958543428034,APOA1
cg19459542,-0.5084879413339817,APOB
cg20597842,0.4268955160161687,APOBEC1
cg12253732,0.45015931909154394,APOBEC2
cg02869653,0.45174154879656553,APOBEC3A
cg25787886,-0.502543104184821,APOBEC3B
cg04835613,-0.5108390801407294,APOBEC3C
cg23896816,-0.5100185652677618,APOBEC3G
cg09135399,-0.49810691467786095,APOBEC3H
cg11337525,-0.5022550236312403,APOC1
cg24084606,0.31422352870059383,APOC1P1
cg14723423,0.4210424860769554,APOC2
cg18765133,0.44950640768670114,APOD
cg08955609,-0.5043888527547599,APOE
cg09732045,0.44192193030283694,APOH
cg17634401,0.4545743514605725,APOM
ch.21.228978R,-0.5160798332034456,APP
cg04394902,-0.5167048817812586,APPBP2
cg26107590,-0.515810799315961,APPL1
cg00702030,-0.5145115081403563,APPL2
cg27322556,-0.5217995351940476,APRT
cg21157115,-0.5237431544550225,APTX
cg26923410,-0.4687804399038827,AQP1
cg21962450,-0.4980542332262051,AQP4
cg15336765,-0.49787887036219736,AQP5
cg07034276,0.4365075617573273,AQP6
cg03547812,0.44691111537618927,AQP8
cg09732282,-0.47937652155717875,AQP9
cg26215437,-0.5121556004203809,AQR
ch.5.2638848F,-0.5175888566899477,ARAP3
cg01509843,-0.4967045205968933,ARC
cg02009651,-0.21879175670580397,AREG
cg21282883,-0.515889952188388,ARF1
cg10346242,-0.510725027451402,ARF3
cg03976895,-0.5186072437284635,ARF6
cg14071762,-0.5191305584607976,ARFGAP1
cg04947838,-0.5097151748024854,ARFGEF1
cg16178743,0.4289210025759696,ARG1
cg12934804,-0.5172847711847669,ARG2
cg15384392,-0.5149592584577349,ARHGAP1
cg18583381,-0.5148899326625769,ARHGAP10
cg04351205,-0.5157175841166729,ARHGAP15
cg08488529,-0.516541674935072,ARHGAP17
cg22882090,-0.5159012828442482,ARHGAP18
cg09892390,-0.5204444470869456,ARHGAP21
cg07209546,-0.4987080981719936,ARHGAP24
cg03328750,-0.5143312635663445,ARHGAP26
cg24349819,0.45412132058529864,ARHGAP27
cg00402547,0.43051088769085943,ARHGAP28
cg17490932,-0.5135553633216459,ARHGAP29
cg00045607,-0.5147665436758682,ARHGAP30
cg16370660,-0.5069607720848496,ARHGAP5
cg16164619,-0.5106148611947434,ARHGAP9
cg23522862,-0.508778408853469,ARHGDIA
cg22614759,-0.5107699387147149,ARHGDIB
cg13194341,-0.5080807924375791,ARHGEF1
cg06076323,-0.48831232065632557,ARHGEF10
cg15074869,-0.5003079772342985,ARHGEF11
cg22276271,-0.5120436856274022,ARHGEF12
cg20632873,-0.5032876106421614,ARHGEF2
cg20173637,0.4429656723075242,ARHGEF5
ch.13.1810252F,-0.5159267261305033,ARHGEF7
ch.1.893309F,-0.5190548551292133,ARID1A
cg23191292,-0.5182745818537091,ARID1B
cg18829183,-0.5142499212414043,ARID2
ch.15.1197129R,-0.5218493243071827,ARID3B
cg14077301,-0.4950986538311671,ARID4A
cg25994883,-0.497408190269662,ARID4B
cg13467605,-0.517016204700507,ARID5B
cg12251884,-0.5183627040958417,ARIH1
cg11827082,-0.5133525460995982,ARL11
cg22812516,-0.5152608139207963,ARL13B
cg01196404,-0.5128522471473019,ARL15
cg19017420,-0.5214063347655973,ARL2
cg22136326,-0.5211980334166127,ARL2BP
cg13539030,-0.5115571155403572,ARL4C
cg25673373,-0.51749642073304,ARL4D
cg00981594,-0.5127150403214956,ARL6IP1
cg04645049,-0.526776607840857,ARL6IP5
cg04349810,-0.5119111064892045,ARMC5
cg12529055,-0.5160285027129425,ARMC8
cg00713605,-0.5176267601765883,ARMC9
cg05806577,-0.5120363488710605,ARNT
cg05201477,-0.50802214827301,ARNT2
cg22322535,-0.5175497663127435,ARNTL
cg22952210,-0.5153496120654395,ARNTL2
cg13043150,-0.5168209681101582,ARPC1B
cg12684684,-0.5212518818404163,ARPC2
cg07893813,-0.5128216141440108,ARPP19
cg02536026,-0.4893649852421995,ARRB1
cg13376290,-0.5158581941774656,ARRB2
cg20393975,-0.5050674331604899,ARRDC1
cg19431963,-0.5082770214702872,ARRDC3
cg11297817,-0.5175056300613301,ARSA
cg26530201,-0.4810296156924569,ARSI
cg27321017,0.4470400344547867,ART1
cg21097698,0.4599352753472714,ART3
cg20452714,-0.48576429761226164,ARTN
cg13563405,-0.5198675134815957,ASAH1
ch.8.2599852F,-0.52242973656973,ASAP1
cg22190705,-0.5135343597368536,ASAP2
cg00361343,-0.476741547313001,ASB4
cg06105085,-0.515286534309524,ASCC1
cg01242484,-0.5186898100121773,ASCC2
cg22154024,-0.5105205607330151,ASCL1
cg09894698,-0.5128948016843268,ASCL2
cg09532575,0.44046569499174715,ASF1A
cg01545242,-0.5143155248225775,ASF1B
cg08304478,-0.5054209846108549,ASGR1
cg24312492,-0.5176530956731232,ASH1L
cg21416181,0.4434189108120546,ASIP
cg23500774,-0.5152519191451431,ASL
cg08114476,-0.5110399581795222,ASNS
cg07732644,0.4449086766054343,ASPA
cg10038250,-0.46686981620157436,ASPG
cg14405873,-0.5082941473250568,ASPH
cg12528753,-0.5143576948924122,ASPM
cg02609742,-0.5159736921460306,ASPSCR1
cg13799206,-0.5146551458353726,ASRGL1
cg23282771,-0.5077746447152383,ASS1
cg03832227,0.4534670012135405,ASTL
cg00174466,-0.5216557378373154,ASXL1
cg19084174,-0.5146328437518668,ASXL2
cg24552431,-0.5186177192177812,ATAD1
cg04864666,-0.5156258930235577,ATAD2
cg11103442,-0.5154922186571081,ATAD3A
cg10240778,-0.5191155203852476,ATAD3B
cg23905935,-0.5165172675522661,ATAD5
cg15093003,-0.5195777507516187,ATE1
cg20456276,-0.5109909696209364,ATF1
cg19447671,-0.5181493961538053,ATF2
cg17080534,-0.5184695237103302,ATF3
cg00577588,-0.5133352790663023,ATF4
cg18476478,0.3935222751104589,ATF5
cg07804963,-0.5175584269729253,ATF6
cg00236831,-0.5159297933166608,ATF7IP
cg10987792,-0.5120203017256462,ATG10
cg07263984,-0.513091050299505,ATG12
ch.2.4702176R,-0.5202392119488107,ATG16L1
cg25034908,-0.5208009234005511,ATG16L2
cg06116495,-0.5105321066883922,ATG3
cg14400079,-0.518878782961182,ATG4B
cg00031663,-0.518227075992832,ATG4D
cg16950012,-0.5145482563286092,ATG5
cg04788249,-0.5139912141759043,ATG7
cg00112723,-0.516918125492674,ATG9A
cg10535143,-0.5216684729546927,ATIC
cg21107197,-0.5029962520559702,ATL1
cg06053805,-0.5217801112397206,ATM
cg03251054,-0.5204397178157254,ATMIN
ch.12.206169F,-0.5240123298006626,ATN1
cg04796189,-0.4903663784155946,ATOH1
cg18815025,-0.5100615227322178,ATOH8
cg18868788,-0.5208687770165277,ATP11B
cg12228659,-0.5044127984847151,ATP12A
cg06851900,-0.5156528501602774,ATP1A1
cg23920441,-0.5150777996195689,ATP1A3
cg25593258,-0.5180836225157252,ATP2A2
cg15443822,-0.5086323488686625,ATP2A3
cg14808132,-0.5014242946570011,ATP2B2
ch.1.3947147F,-0.5233735391939431,ATP2B4
cg25611880,-0.5176666281575867,ATP2C1
cg27212234,-0.5090215093289766,ATP4A
cg13980446,0.45524684034703694,ATP4B
cg02062348,-0.5186047541431528,ATP6V0A2
cg19983815,-0.517334533384126,ATP6V0C
cg15301525,-0.5228343191293956,ATP6V0D1
cg08462478,0.4361163248534095,ATP6V0D2
cg04778331,-0.5155248411823952,ATP6V1C1
cg19751179,-0.506612663844167,ATP7B
cg15480357,-0.5097110714797988,ATR
cg11948421,-0.516257613397728,ATRN
cg23764381,-0.507242257621229,ATRNL1
cg10487127,-0.5148549409186166,ATXN1
cg23818228,-0.5113056539517594,ATXN2
cg25718732,-0.5083937897268377,ATXN7L3
cg21763021,-0.5223347466260794,AURKA
cg04612488,-0.5145236725394545,AURKB
cg15128510,0.4339852799349661,AURKC
cg25105066,-0.5082968912427615,AUTS2
cg08722720,-0.5063783759618037,AVEN
cg11491381,-0.5165315866756608,AVP
cg04633513,-0.5035406225138979,AVPR1B
cg25023245,-0.5121629859585433,AXIN1
cg11316592,-0.5121985477643497,AXIN2
cg26521562,-0.49488584733032737,AXL
cg26680675,0.43365492829126495,AZGP1
cg17385753,-0.5165168681541903,AZIN1
cg24123679,-0.3604931573577744,AZU1
cg19721944,-0.5205885175721617,B2M
cg20841906,-0.5127834634323,B3GALNT1
cg03224364,-0.514972401232433,B3GALNT2
cg05445632,-0.5141452541313034,B3GAT1
cg10834721,-0.5128051626091196,B3GAT3
cg02602480,-0.5157244630042712,B3GNT2
cg06514344,-0.49186668209226064,B3GNT3
cg05476483,-0.4770118865262756,B3GNT6
cg01826354,-0.511460580563938,B3GNTL1
cg22929808,-0.5180620938346411,B4GALNT1
cg01147550,-0.5036333575109354,B4GALNT2
cg02354413,-0.506014257823181,B4GALT1
cg17752960,-0.5140954924046474,B4GALT3
cg10916625,-0.5087317389344698,B4GALT5
cg08284801,-0.511252859318393,B9D1
cg05770171,0.40904243841242777,BAAT
cg00734483,-0.5088475072135054,BACE2
cg10106363,-0.514099900795875,BACH1
cg14127398,-0.5196873052175041,BACH2
cg02228329,-0.5142603453984205,BAD
cg13636373,-0.5168401464192874,BAG2
cg15055039,-0.5179380779176241,BAG3
cg05370861,-0.5159546479275027,BAG4
cg15569512,-0.5151892386012482,BAG5
cg18652248,0.3731831968908711,BAGE
cg05038757,0.2627487287407012,BAGE4
cg17341933,-0.5156934533450145,BAIAP2
cg23043780,-0.4942647245261129,BAIAP2L1
cg12453485,-0.514847148097642,BAK1
cg05750029,-0.4966992804269387,BAMBI
cg04264417,-0.5059160978503473,BANF1
cg06423975,-0.5153595223463922,BANP
cg10956904,-0.4990846771646055,BAP1
cg02172142,-0.5090172165873244,BARD1
cg21697198,-0.504862683935109,BARX2
cg24731635,-0.4889782486783199,BASP1
cg17022914,-0.49016760054890324,BATF2
cg21421701,-0.5097165808566638,BATF3
cg05513979,-0.504677835653071,BAX
cg14093368,-0.521328396852277,BAZ1B
cg25736645,-0.5137459800975697,BBC3
cg10332972,-0.5132930060708751,BBS1
cg13097319,-0.5135284014897492,BBS2
cg11648062,-0.4825258787162979,BCAM
cg23657274,-0.5074508288536538,BCAN
cg05923587,-0.5109452803681329,BCAR1
cg05694761,0.4482329491857201,BCAR4
cg13130201,-0.5165426522415896,BCAS2
cg07834876,-0.5132748204566464,BCAS3
cg23930313,-0.5176845203451006,BCAT1
cg18873530,-0.5099169323277173,BCAT2
cg24770856,-0.5161145376397915,BCCIP
cg16102247,-0.17825149706515575,BCHE
cg15256539,-0.517410410870209,BCKDHB
cg12660800,-0.5129650195936059,BCL10
cg26386740,-0.5135389191011754,BCL11A
cg00859112,-0.5194546708150571,BCL11B
cg05858920,-0.5213551042367562,BCL2
cg27177709,0.3945642808713114,BCL2A1
cg03816593,-0.5188271855719047,BCL2L1
cg15190747,0.4617770455801149,BCL2L10
cg10239074,-0.5200024709894194,BCL2L11
cg27183495,-0.5105156984447182,BCL2L12
cg03887534,-0.5231345707367087,BCL2L13
cg04542489,-0.4403936117757857,BCL2L2
cg01141252,-0.5162772003495322,BCL3
cg03552156,-0.5223717220672076,BCL6
cg07139087,-0.5070937673910652,BCL6B
cg01357263,-0.5168735152325377,BCL7A
cg24575065,-0.518002152386142,BCL7B
cg21788473,-0.5132603628931199,BCL9
ch.11.2451667R,-0.5147461890927136,BCL9L
cg10459515,-0.5233699082825476,BCLAF1
cg03289681,-0.4974252564679374,BCO2
cg25555137,-0.5157262569799472,BCR
cg12747301,-0.49672911968176214,BCS1L
cg24869195,-0.5132873699360345,BDH1
cg05493561,-0.4766652224653999,BDH2
cg23864202,0.4452183209445914,BDKRB1
