Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
105,"",tumor_TNBC,"",200514090099,R06C02
106,"",tumor_TNBC,"",200514090099,R06C02
107,"",tumor_TNBC,"",200514090099,R02C01
108,"",tumor_TNBC,"",200514090099,R02C01
109,"",tumor_TNBC,"",200514090096,R02C02
110,"",tumor_TNBC,"",200514090096,R02C02
111,"",tumor_TNBC,"",200514090100,R05C01
112,"",tumor_TNBC,"",200514090100,R05C01
113,"",tumor_TNBC,"",200514090095,R04C01
114,"",tumor_TNBC,"",200514090095,R04C01
115,"",tumor_TNBC,"",200514090100,R01C01
116,"",tumor_TNBC,"",200514090100,R01C01
117,"",tumor_TNBC,"",200514090095,R03C01
118,"",tumor_TNBC,"",200514090095,R03C01
119,"",tumor_TNBC,"",200514090099,R04C02
120,"",tumor_TNBC,"",200514090099,R04C02
121,"",tumor_TNBC,"",200514090096,R05C02
122,"",tumor_TNBC,"",200514090096,R05C02
123,"",tumor_TNBC,"",200514090099,R06C01
124,"",tumor_TNBC,"",200514090099,R06C01
125,"",tumor_TNBC,"",200514090099,R01C02
126,"",tumor_TNBC,"",200514090099,R01C02
127,"",tumor_TNBC,"",200514090099,R05C01
128,"",tumor_TNBC,"",200514090099,R05C01
129,"",tumor_TNBC,"",200514090095,R01C01
130,"",tumor_TNBC,"",200514090095,R01C01
131,"",tumor_TNBC,"",200514090096,R03C02
132,"",tumor_TNBC,"",200514090096,R03C02
133,"",tumor_TNBC,"",200514090096,R03C01
134,"",tumor_TNBC,"",200514090096,R03C01
135,"",tumor_TNBC,"",200514090094,R03C02
136,"",tumor_TNBC,"",200514090094,R03C02
137,"",tumor_TNBC,"",200514090094,R04C02
138,"",tumor_TNBC,"",200514090094,R04C02
139,"",tumor_TNBC,"",200514090100,R01C02
140,"",tumor_TNBC,"",200514090100,R01C02
141,"",tumor_TNBC,"",200514090096,R04C02
142,"",tumor_TNBC,"",200514090096,R04C02
143,"",tumor_TNBC,"",200514090099,R04C01
144,"",tumor_TNBC,"",200514090099,R04C01
145,"",tumor_TNBC,"",200514090095,R01C02
146,"",tumor_TNBC,"",200514090095,R01C02
147,"",tumor_TNBC,"",200514090100,R04C02
148,"",tumor_TNBC,"",200514090100,R04C02
149,"",tumor_TNBC,"",200514090099,R05C02
150,"",tumor_TNBC,"",200514090099,R05C02
151,"",tumor_TNBC,"",200514090099,R03C02
152,"",tumor_TNBC,"",200514090099,R03C02
153,"",tumor_TNBC,"",200514090099,R03C01
154,"",tumor_TNBC,"",200514090099,R03C01
155,"",tumor_TNBC,"",200514090095,R02C02
156,"",tumor_TNBC,"",200514090095,R02C02
157,"",tumor_TNBC,"",200514090096,R05C01
158,"",tumor_TNBC,"",200514090096,R05C01
159,"",tumor_TNBC,"",200514090096,R01C01
160,"",tumor_TNBC,"",200514090096,R01C01
161,"",tumor_TNBC,"",200514090095,R05C01
162,"",tumor_TNBC,"",200514090095,R05C01
163,"",tumor_TNBC,"",200514090099,R02C02
164,"",tumor_TNBC,"",200514090099,R02C02
165,"",tumor_TNBC,"",200514090096,R04C01
166,"",tumor_TNBC,"",200514090096,R04C01
167,"",tumor_TNBC,"",200514090100,R03C01
168,"",tumor_TNBC,"",200514090100,R03C01
169,"",tumor_TNBC,"",200514090095,R04C02
170,"",tumor_TNBC,"",200514090095,R04C02
171,"",tumor_TNBC,"",200514090094,R06C02
172,"",tumor_TNBC,"",200514090094,R06C02
173,"",tumor_TNBC,"",200514090100,R03C02
174,"",tumor_TNBC,"",200514090100,R03C02
175,"",tumor_TNBC,"",200514090096,R06C01
176,"",tumor_TNBC,"",200514090096,R06C01
177,"",tumor_TNBC,"",200514090100,R02C02
178,"",tumor_TNBC,"",200514090100,R02C02
179,"",tumor_TNBC,"",200514090100,R06C02
180,"",tumor_TNBC,"",200514090100,R06C02
181,"",tumor_TNBC,"",200514090096,R02C01
182,"",tumor_TNBC,"",200514090096,R02C01
183,"",tumor_TNBC,"",200514090095,R03C02
184,"",tumor_TNBC,"",200514090095,R03C02
185,"",tumor_TNBC,"",200514090095,R02C01
186,"",tumor_TNBC,"",200514090095,R02C01
187,"",tumor_TNBC,"",200514090095,R06C02
188,"",tumor_TNBC,"",200514090095,R06C02
189,"",tumor_TNBC,"",200514090094,R05C02
190,"",tumor_TNBC,"",200514090094,R05C02
191,"",tumor_TNBC,"",200514090095,R06C01
192,"",tumor_TNBC,"",200514090095,R06C01
193,"",tumor_TNBC,"",200514090095,R05C02
194,"",tumor_TNBC,"",200514090095,R05C02
195,"",tumor_TNBC,"",200514090096,R06C02
196,"",tumor_TNBC,"",200514090096,R06C02
197,"",tumor_TNBC,"",200514090100,R04C01
198,"",tumor_TNBC,"",200514090100,R04C01
