gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
SYN2,cg02700894,0.372823,TSS1500,cg20888142,0.319267,TSS200,4
SYT6,cg19901801,0.353743,TSS1500,cg19901801,0.268942,TSS1500,4
TBX20,cg17985646,0.3518,TSS200,cg17985646,0.3061,TSS200,3
TFF1,cg02643667,-0.339366,TSS200,cg02643667,-0.269346,TSS200,4
TLX3,cg26517714,0.380935,TSS200,cg26844246,0.301098,TSS200,3
TMEM132B,cg20624941,-0.378311,TSS200,cg20624941,-0.378692,TSS200,4
TMEM196,cg04111071,0.444058,TSS1500,cg04111071,0.297523,TSS1500,1
USP44,cg07783282,0.403212,TSS1500,cg13879483,0.305952,TSS1500,3
WDR8,cg04021697,0.365985,TSS1500,cg04021697,0.26323,TSS1500,3
WISP1,cg04683149,0.349584,TSS200,cg04683149,0.271968,TSS200,4
ZNF177,cg09578475,0.528785,TSS200,cg09578475,0.332115,TSS200,3
ZSCAN18,cg18693673,0.417534,TSS200,cg17408527,0.341578,TSS200,3
