Feature,Cluster
PHLDB1,-1
PHOX2A,0
PIP4K2A,2
PITX1,0
PITX2,0
PLEKHF1,2
PLTP,1
PLXNC1,2
PMEPA1,2
POLR1D,2
POU4F1,0
POU4F2,0
PPM1H,2
PPP1R13L,2
PPP1R14A,1
PPP1R7,2
PRDM13,-1
PRDM14,2
PRDM16,-1
PRKCB,2
PROCA1,2
PRR5,-1
PTF1A,0
PTN,2
PTPRN2,1
PTPRO,2
RAB11FIP1,2
RAB22A,2
RAD54B,2
RARB,0
RARRES2,2
RASSF1,2
RBM47,2
RBPMS,2
RECK,2
RFX1,0
RGS12,2
RGS17,2
RGS2,2
RGS20,2
RGS22,-1
RGS7,2
RNF216,2
RPTOR,2
RUNX1,0
RUSC1,2
RYR2,2
SALL1,0
SALL2,0
SALL3,0
SCARB2,2
SCT,2
SEMA4A,2
SERPING1,2
SEZ6L2,2
SFRP2,2
SFRP5,-1
SGMS1,1
SH3PXD2A,2
SHF,2
SHISA3,-1
SIAH2,2
SIM1,0
SIX3,0
SIX6,0
SLC12A5,1
SLC13A5,2
SLC27A3,1
SLC2A2,1
SLC39A11,1
SLC6A3,2
SLITRK1,-1
SMYD3,2
SOX1,0
SOX14,0
SOX17,0
SOX8,0
SPAG6,2
SPARC,2
SPTBN1,2
SRGAP3,2
SRRM4,2
SSH1,2
SST,2
SSTR1,2
SSTR4,2
ST7,-1
ST8SIA3,2
STAG3,2
STAT5A,0
STIM1,2
SYN2,2
TAC1,2
TACC1,2
TBL1XR1,2
TBX15,0
TBX18,0
TCERG1L,2
TCF7L1,0
TCL1A,2
TGFB2,2
TGFBR3,2
TIMP2,2
TLX1,0
TLX2,0
TLX3,0
TMEM45B,-1
TNFAIP8L3,2
TNR,2
TOX2,-1
TRH,2
TRIM71,2
TSSK6,2
TXNRD1,2
UNC5D,2
USP44,2
UTF1,2
VCAM1,2
VGLL4,2
VSTM2A,-1
WNT3A,2
WT1,0
WWP2,2
ZBTB46,0
ZFP42,0
ZIC1,0
ZIC4,0
ZIC5,0
ZNF521,0
ZSCAN18,0
AFAP1,2
AFAP1L1,2
BHLHE23,0
NOL4,-1
PLD5,2
RALYL,2
SPHKAP,2
TMEM132D,-1
TMEM196,2
VOPP1,2
KLHL35,-1
MPPED2,2
PRR15,-1
