Feature,Cluster
HOXA10,1
HOXA4,0
HOXA9,1
HOXC4,1
HOXD10,1
HOXD11,0
HOXD8,1
HOXD9,0
HS3ST2,3
ID4,3
IGF1,3
IGF2BP1,3
IGFBP4,3
INA,3
IRF4,1
IRX1,0
ITGAM,3
ITIH5,3
ITPKA,3
KCNE3,3
KCNIP4,3
KCNK9,3
KCNQ1DN,3
KIF5C,3
L1TD1,3
LAMA4,3
LEMD2,2
LEP,3
LEPR,3
LHX1,1
LHX2,1
LHX6,1
LILRA2,3
LIMD2,3
LNX1,3
LOXL1,3
LOXL2,3
LPAR5,3
LTBP2,3
MAGI2,3
MAML3,3
MAP3K11,3
MAST1,3
MGAT5B,3
MIR124-2,3
MIR129-2,3
MIR196A1,3
MMP9,3
MPZ,3
MSC,1
MYF6,0
MYH11,3
MYT1,0
MYT1L,0
NBEAL2,3
NCOR2,3
NDRG2,3
NEFM,3
NES,3
NEUROD1,1
NFIL3,1
NID2,3
NKAPL,3
NKX2-1,1
NKX2-2,1
NKX2-8,0
NKX6-2,0
NLRP3,3
NOTCH3,3
NOX4,3
NPTX2,3
NPY,3
NR1H3,1
NR1I2,1
NR5A2,1
NT5E,3
NTM,2
ONECUT2,0
OPCML,2
OTX1,1
OTX2,1
PACS2,3
PAX2,1
PAX3,1
PAX5,1
PAX6,1
PAX9,1
PBX1,1
PCDH17,3
PCDH8,3
PDE4B,3
PDE4C,3
PDLIM2,3
PDLIM3,3
PDPN,3
PDX1,0
PENK,3
PHLDB1,2
PHOX2A,1
PIP4K2A,3
PITX1,1
PITX2,1
PLEKHF1,3
PLTP,3
PLXNC1,3
PMEPA1,3
POLR1D,3
POU4F1,1
POU4F2,1
PPM1H,3
PPP1R13L,3
PPP1R14A,3
PPP1R7,3
PRDM13,3
PRDM14,3
PRDM16,1
PRKCB,3
PROCA1,3
PRR5,2
PTF1A,0
PTN,3
PTPRN2,3
PTPRO,3
RAB11FIP1,3
RAB22A,3
RAD54B,3
RARB,0
RARRES2,3
RASSF1,3
RBM47,3
RBPMS,3
RECK,3
RFX1,1
RGS12,3
RGS17,3
RGS2,3
RGS20,3
RGS22,2
RGS7,3
RNF216,3
RPTOR,3
RUNX1,1
RUSC1,3
RYR2,3
SALL1,1
SALL2,1
SALL3,0
SCARB2,3
SCT,3
SEMA4A,3
SERPING1,3
SEZ6L2,3
SFRP2,3
SFRP5,2
SGMS1,3
SH3PXD2A,3
SHF,3
SHISA3,2
SIAH2,3
SIM1,1
SIX3,1
SIX6,0
SLC12A5,3
SLC13A5,3
SLC27A3,3
SLC2A2,3
SLC39A11,3
SLC6A3,3
SLITRK1,2
SMYD3,3
SOX1,1
SOX14,1
SOX17,1
SOX8,0
SPAG6,3
SPARC,3
SPTBN1,3
SRGAP3,3
SRRM4,3
SSH1,3
SST,3
SSTR1,3
SSTR4,3
ST7,2
ST8SIA3,3
STAG3,3
STAT5A,1
STIM1,3
SYN2,3
TAC1,3
TACC1,3
TBL1XR1,3
TBX15,1
TBX18,1
TCERG1L,3
TCF7L1,1
TCL1A,3
TGFB2,3
TGFBR3,3
TIMP2,3
TLX1,1
TLX2,1
TLX3,1
TMEM45B,2
TNFAIP8L3,3
TNR,3
TOX2,3
TRH,3
TRIM71,3
TSSK6,3
TXNRD1,3
UNC5D,3
USP44,3
UTF1,3
VCAM1,3
VGLL4,3
VSTM2A,2
WNT3A,3
WT1,1
WWP2,3
ZBTB46,0
ZFP42,1
ZIC1,1
ZIC4,0
ZIC5,0
ZNF521,1
ZSCAN18,1
AFAP1,3
AFAP1L1,3
BHLHE23,1
NOL4,3
PLD5,3
RALYL,3
SPHKAP,3
TMEM132D,2
TMEM196,3
VOPP1,3
KLHL35,2
MPPED2,3
PRR15,2
