gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
SLC6A15,cg18023283,0.613513,TSS1500,cg03064067,0.459502,TSS1500,3
SLITRK5,cg25081106,0.53136,TSS1500,cg15778745,0.501955,TSS1500,4
SORCS1,cg24403845,0.573519,TSS200,cg24403845,0.445498,TSS200,2
SOX17,cg24928391,0.494733,TSS200,cg24928391,0.363322,TSS200,1
SOX21,cg27442308,0.519173,TSS1500,cg23111830,0.36292,TSS200,1
ST6GALNAC5,cg13823136,0.539703,TSS200,cg15100100,0.38004,TSS200,2
SUB1,cg18721397,-0.424597,TSS1500,cg04225902,-0.36105,TSS1500,1
TBX5,cg03843000,0.436018,TSS1500,cg26196480,0.359102,TSS200,1
THBS4,cg10784386,0.416167,TSS200,cg10784386,0.382681,TSS200,2
TMEM196,cg18505401,0.477489,TSS200,cg18505401,0.374904,TSS200,2
TRDN,cg14462830,-0.407154,TSS1500,cg14462830,-0.389757,TSS1500,2
TRPC6,cg23650423,0.480799,TSS200,cg27296293,0.385911,TSS200,3
TWIST1,cg00240432,0.557915,TSS200,cg04917226,0.429755,TSS1500,1
TYR,cg25941151,-0.436443,TSS200,cg09125508,-0.418349,TSS1500,2
UNC5C,cg12584684,0.611823,TSS1500,cg20377606,0.462576,TSS200,4
UNC5D,cg08000065,0.410333,TSS200,cg13561879,0.385917,TSS1500,4
UNCX,cg20870512,0.469277,TSS200,cg20870512,0.367171,TSS200,1
VSTM2B,cg18802754,0.426994,TSS1500,cg18802754,0.404056,TSS1500,2
WDR8,cg04021697,0.40731,TSS1500,cg04021697,0.403241,TSS1500,2
ZNF132,cg03735888,0.482796,TSS200,cg13877915,0.441011,TSS200,1
ZNF135,cg08701621,0.509551,TSS200,cg08701621,0.492388,TSS200,1
ZNF229,cg09896900,0.487901,TSS200,cg09896900,0.361157,TSS200,1
ZNF334,cg27385032,0.50984,TSS200,cg07139762,0.402121,TSS200,1
ZNF793,cg14732998,0.475885,TSS200,cg17332326,0.37578,TSS1500,1
